quote_date,paper,exch,open,high,low,close,volume,value
20171006,AKA,Oslo Børs,18.00,18.00,16.80,17.00,145171,2504703
20171005,AKA,Oslo Børs,17.80,17.90,17.30,17.50,292058,5122369
20171004,AKA,Oslo Børs,18.10,18.10,17.70,17.80,193428,3450183
20171003,AKA,Oslo Børs,17.40,18.10,17.30,17.80,641591,11411764
20171002,AKA,Oslo Børs,17.40,17.50,17.20,17.30,94636,1640788
20170929,AKA,Oslo Børs,17.40,17.50,16.80,17.40,260549,4480639
20170928,AKA,Oslo Børs,16.70,17.50,16.70,17.40,701276,12084182
20170927,AKA,Oslo Børs,16.80,16.90,16.70,16.70,143098,2409077
20170926,AKA,Oslo Børs,16.80,17.00,16.70,16.80,232126,3917231
20170925,AKA,Oslo Børs,16.40,16.70,16.30,16.70,332710,5530326
20170922,AKA,Oslo Børs,16.30,16.50,16.30,16.30,71438,1170614
20170921,AKA,Oslo Børs,16.60,16.80,16.40,16.40,190511,3170329
20170920,AKA,Oslo Børs,16.30,16.80,16.20,16.30,334199,5514665
20170919,AKA,Oslo Børs,16.50,16.60,16.20,16.30,140624,2312833
20170918,AKA,Oslo Børs,16.30,16.60,15.90,16.40,268948,4427671
20170915,AKA,Oslo Børs,16.30,16.50,15.90,16.10,294365,4808498
20170914,AKA,Oslo Børs,16.90,17.00,16.20,16.20,147993,2474821
20170913,AKA,Oslo Børs,16.40,16.80,16.30,16.80,891003,14786840
20170912,AKA,Oslo Børs,16.10,16.30,15.80,16.20,1749360,28202661
20170911,AKA,Oslo Børs,15.90,16.10,15.60,16.00,305724,4887640
20170908,AKA,Oslo Børs,15.70,16.00,15.70,16.00,210523,3350409
20170907,AKA,Oslo Børs,15.80,15.90,15.60,15.70,179500,2842553
20170906,AKA,Oslo Børs,15.70,15.80,15.50,15.80,112564,1764715
20170905,AKA,Oslo Børs,15.10,15.80,15.10,15.50,78758,1220006
20170904,AKA,Oslo Børs,15.00,15.30,15.00,15.10,15304,232749
20170901,AKA,Oslo Børs,15.30,15.30,15.10,15.30,51985,794510
20170831,AKA,Oslo Børs,14.95,15.30,14.85,15.30,65471,992817
20170830,AKA,Oslo Børs,15.40,15.40,14.90,15.00,30736,463518
20170829,AKA,Oslo Børs,15.10,15.30,14.90,15.20,118345,1788451
20170828,AKA,Oslo Børs,15.10,15.20,14.95,15.10,16253,244940
20170825,AKA,Oslo Børs,14.90,15.30,14.85,15.10,38678,585868
20170824,AKA,Oslo Børs,15.30,15.30,14.75,14.85,370712,5561705
20170823,AKA,Oslo Børs,15.30,15.30,15.00,15.30,245281,3682656
20170822,AKA,Oslo Børs,15.20,15.30,14.80,14.85,108664,1639205
20170821,AKA,Oslo Børs,15.00,15.40,15.00,15.20,37029,564508
20170818,AKA,Oslo Børs,15.20,15.50,15.00,15.00,681504,10490571
20170817,AKA,Oslo Børs,15.50,15.60,15.30,15.40,41187,638738
20170816,AKA,Oslo Børs,15.00,15.60,15.00,15.50,413828,6398722
20170815,AKA,Oslo Børs,15.20,15.20,14.50,15.00,32849,493111
20170814,AKA,Oslo Børs,13.00,15.20,13.00,15.10,58166,838925
20170811,AKA,Oslo Børs,15.20,15.30,14.70,15.00,61471,922844
20170810,AKA,Oslo Børs,15.20,15.50,15.10,15.30,38382,587959
20170809,AKA,Oslo Børs,15.20,15.40,15.00,15.20,574546,7376947
20170808,AKA,Oslo Børs,15.10,15.30,15.10,15.30,16264,247856
20170807,AKA,Oslo Børs,15.30,15.60,15.00,15.10,32298,491819
20170804,AKA,Oslo Børs,15.60,15.60,15.20,15.30,33838,520857
20170803,AKA,Oslo Børs,15.60,15.60,15.20,15.30,30788,472769
20170802,AKA,Oslo Børs,15.30,16.00,15.30,15.40,116391,1824631
20170801,AKA,Oslo Børs,16.00,16.00,15.60,15.60,23440,370323
20170731,AKA,Oslo Børs,15.10,16.10,15.10,16.00,198446,3149621
20170728,AKA,Oslo Børs,15.70,15.70,15.20,15.50,36987,573941
20170727,AKA,Oslo Børs,15.40,15.50,15.20,15.40,148302,2271317
20170726,AKA,Oslo Børs,15.20,15.40,14.80,14.80,65853,988126
