quote_date,paper,exch,open,high,low,close,volume,value
20171013,BAKKA,Oslo Børs,385.00,391.80,384.60,390.00,83937,32637838
20171012,BAKKA,Oslo Børs,386.20,389.90,380.20,385.90,131415,50545128
20171011,BAKKA,Oslo Børs,385.00,392.50,382.10,386.20,110556,42759714
20171010,BAKKA,Oslo Børs,374.60,387.90,374.60,385.70,111410,42753228
20171009,BAKKA,Oslo Børs,371.20,376.20,370.80,374.60,57016,21320562
20171006,BAKKA,Oslo Børs,376.00,378.30,369.50,371.20,53596,19935120
20171005,BAKKA,Oslo Børs,379.50,382.50,372.60,376.00,99421,37465476
20171004,BAKKA,Oslo Børs,374.00,384.30,374.00,380.00,189378,72009893
20171003,BAKKA,Oslo Børs,360.50,376.90,360.50,371.80,132205,49124890
20171002,BAKKA,Oslo Børs,365.90,371.70,360.40,370.00,104985,38700013
20170929,BAKKA,Oslo Børs,363.90,366.90,359.20,365.90,96880,35238380
20170928,BAKKA,Oslo Børs,355.10,364.70,353.50,364.00,98920,35704127
20170927,BAKKA,Oslo Børs,357.80,360.50,351.30,355.30,95763,33960075
20170926,BAKKA,Oslo Børs,365.00,365.30,359.10,359.60,90948,32918682
20170925,BAKKA,Oslo Børs,360.00,367.90,359.00,366.60,78183,28596528
20170922,BAKKA,Oslo Børs,362.50,367.40,355.10,366.40,153938,54476283
20170921,BAKKA,Oslo Børs,368.40,369.70,358.50,362.50,102218,37044975
20170920,BAKKA,Oslo Børs,370.60,370.60,366.50,368.70,35918,13244961
20170919,BAKKA,Oslo Børs,369.80,375.80,369.40,371.40,54547,20317099
20170918,BAKKA,Oslo Børs,367.30,372.00,366.50,370.10,107701,39879258
20170915,BAKKA,Oslo Børs,365.30,370.50,365.10,367.40,127368,46857475
20170914,BAKKA,Oslo Børs,372.20,374.30,365.70,369.40,143622,52951870
20170913,BAKKA,Oslo Børs,380.00,380.00,371.50,375.50,90225,33831261
20170912,BAKKA,Oslo Børs,376.00,382.60,371.40,379.80,140590,53364357
20170911,BAKKA,Oslo Børs,370.00,377.20,370.00,376.00,110913,41647423
20170908,BAKKA,Oslo Børs,373.80,373.80,366.70,370.20,101997,37624519
20170907,BAKKA,Oslo Børs,375.30,378.70,369.60,373.80,169163,63276470
20170906,BAKKA,Oslo Børs,373.40,375.40,369.50,373.70,95214,35520637
20170905,BAKKA,Oslo Børs,360.00,375.00,360.00,374.20,135225,50224995
20170904,BAKKA,Oslo Børs,370.00,370.00,360.50,362.70,154128,56010288
20170901,BAKKA,Oslo Børs,360.70,372.70,358.20,372.70,247065,90981379
20170831,BAKKA,Oslo Børs,354.90,362.20,351.70,362.20,183120,65547646
20170830,BAKKA,Oslo Børs,351.80,355.60,350.90,354.90,97023,34348013
20170829,BAKKA,Oslo Børs,356.00,356.90,350.20,351.60,366781,129532194
20170828,BAKKA,Oslo Børs,353.80,358.30,346.00,358.30,75964,26929145
20170825,BAKKA,Oslo Børs,347.80,357.30,342.90,353.90,176930,62248709
20170824,BAKKA,Oslo Børs,336.80,349.70,333.60,348.00,193383,66709557
20170823,BAKKA,Oslo Børs,335.80,341.40,327.60,336.80,195196,65693659
20170822,BAKKA,Oslo Børs,343.50,343.50,325.90,337.00,264028,88536622
20170821,BAKKA,Oslo Børs,340.00,349.40,338.40,345.70,257088,88498736
20170818,BAKKA,Oslo Børs,327.00,338.00,325.00,337.70,150213,49914766
20170817,BAKKA,Oslo Børs,329.70,330.50,326.80,328.90,88896,29213001
20170816,BAKKA,Oslo Børs,327.30,330.90,327.30,330.00,147064,48477004
20170815,BAKKA,Oslo Børs,328.70,330.70,326.00,329.00,66084,21740930
20170814,BAKKA,Oslo Børs,320.50,329.10,320.50,328.90,59803,19508604
20170811,BAKKA,Oslo Børs,320.70,327.30,320.50,322.20,74848,24207493
20170810,BAKKA,Oslo Børs,329.00,329.60,324.30,326.40,66186,21622886
20170809,BAKKA,Oslo Børs,327.20,331.70,324.90,329.70,106006,34903989
20170808,BAKKA,Oslo Børs,329.50,329.50,323.00,327.50,39805,13023521
20170807,BAKKA,Oslo Børs,334.90,335.00,320.30,330.40,161620,52571875
20170804,BAKKA,Oslo Børs,331.20,338.20,330.50,336.40,115124,38677857
20170803,BAKKA,Oslo Børs,321.70,331.60,320.20,330.30,155344,50914756
20170802,BAKKA,Oslo Børs,320.60,323.00,316.10,320.50,88190,28193842
20170801,BAKKA,Oslo Børs,309.00,322.90,309.00,320.50,155311,49515698
20170731,BAKKA,Oslo Børs,310.20,310.40,304.20,308.90,97368,29985974
20170728,BAKKA,Oslo Børs,312.20,315.90,308.50,310.20,60717,18898701
20170727,BAKKA,Oslo Børs,313.90,317.00,310.60,310.60,68638,21456795
20170726,BAKKA,Oslo Børs,309.90,315.00,309.90,314.00,67313,21082815
20170725,BAKKA,Oslo Børs,303.50,313.00,303.50,309.90,69282,21445044
20170724,BAKKA,Oslo Børs,303.90,306.50,303.90,304.70,39220,11959346
20170721,BAKKA,Oslo Børs,308.70,310.80,303.80,303.90,73353,22475742
20170720,BAKKA,Oslo Børs,306.00,309.70,306.00,308.70,100548,30991604
20170719,BAKKA,Oslo Børs,309.00,309.90,304.30,306.00,84307,25844025
20170718,BAKKA,Oslo Børs,315.20,315.70,307.90,309.00,112298,35060843
20170717,BAKKA,Oslo Børs,308.70,315.70,306.70,315.50,127013,39655316
20170714,BAKKA,Oslo Børs,305.60,309.40,304.70,306.80,80152,24588573
20170713,BAKKA,Oslo Børs,306.90,308.60,302.80,305.60,80506,24540025
20170712,BAKKA,Oslo Børs,300.00,306.00,299.70,305.50,126175,38327788
20170711,BAKKA,Oslo Børs,301.00,301.10,296.80,298.20,99053,29585242
20170710,BAKKA,Oslo Børs,301.80,302.90,299.00,301.10,86559,26069192
20170707,BAKKA,Oslo Børs,297.00,302.00,296.10,300.00,131536,39356430
20170706,BAKKA,Oslo Børs,304.50,305.70,296.30,296.50,117749,35260334
20170705,BAKKA,Oslo Børs,310.00,311.00,304.10,304.80,117161,35960967
20170704,BAKKA,Oslo Børs,315.20,315.70,309.20,312.00,109683,34251568
20170703,BAKKA,Oslo Børs,314.40,315.80,308.60,309.00,102309,31752300
20170630,BAKKA,Oslo Børs,310.00,317.50,308.20,314.40,116645,36452031
20170629,BAKKA,Oslo Børs,319.70,320.00,309.10,310.80,203336,63790841
20170628,BAKKA,Oslo Børs,316.00,321.50,312.70,316.00,149490,47268663
20170627,BAKKA,Oslo Børs,326.00,327.70,314.00,315.80,177768,56740098
20170626,BAKKA,Oslo Børs,325.00,330.50,324.00,326.00,137760,45099976
20170623,BAKKA,Oslo Børs,325.00,331.70,325.00,327.70,137813,45180371
20170622,BAKKA,Oslo Børs,332.40,336.00,324.30,326.10,185083,61176031
20170621,BAKKA,Oslo Børs,331.90,335.00,328.80,332.70,166688,55331781
20170620,BAKKA,Oslo Børs,318.80,332.90,318.80,331.50,202885,66400193
20170619,BAKKA,Oslo Børs,324.40,324.40,317.90,318.80,46531,14857994
20170616,BAKKA,Oslo Børs,316.10,320.00,314.90,320.00,316484,98682622
20170615,BAKKA,Oslo Børs,318.00,318.00,312.40,316.10,121103,38186017
20170614,BAKKA,Oslo Børs,318.70,323.80,317.90,318.00,143162,45790836
20170613,BAKKA,Oslo Børs,324.60,325.60,317.20,318.70,213332,68420597
20170612,BAKKA,Oslo Børs,323.20,324.90,318.60,324.60,91749,29601828
20170609,BAKKA,Oslo Børs,324.00,326.40,320.20,322.20,102475,33093503
20170608,BAKKA,Oslo Børs,328.30,328.30,323.00,324.00,198080,64508317
20170607,BAKKA,Oslo Børs,324.40,331.50,322.10,326.50,147773,48378465
20170606,BAKKA,Oslo Børs,324.80,325.00,319.20,324.40,104665,33701844
20170602,BAKKA,Oslo Børs,321.00,326.60,319.60,324.30,152195,49332348
20170601,BAKKA,Oslo Børs,313.00,321.60,312.60,321.00,321289,101846365
20170531,BAKKA,Oslo Børs,309.40,313.30,305.00,313.00,159757,49622091
20170530,BAKKA,Oslo Børs,303.40,310.30,299.40,308.90,148495,45417685
20170529,BAKKA,Oslo Børs,300.80,304.50,299.30,303.50,93232,28155296
20170526,BAKKA,Oslo Børs,306.40,306.40,301.40,303.30,332374,100752965
20170524,BAKKA,Oslo Børs,308.00,310.00,301.10,304.80,169186,51501799
20170523,BAKKA,Oslo Børs,301.00,311.30,294.40,308.80,472825,143243726
20170522,BAKKA,Oslo Børs,317.90,317.90,310.30,312.90,111697,34976110
20170519,BAKKA,Oslo Børs,311.80,318.70,306.60,317.40,398311,119588140
