quote_date,paper,exch,open,high,low,close,volume,value
20171010,BGBIO,Oslo Børs,22.50,22.50,21.40,22.20,40305,875541
20171009,BGBIO,Oslo Børs,23.00,23.00,22.40,22.50,19981,451594
20171006,BGBIO,Oslo Børs,22.80,22.80,22.60,22.80,14455,328693
20171005,BGBIO,Oslo Børs,23.70,23.70,22.40,22.80,51112,1165234
20171004,BGBIO,Oslo Børs,23.10,24.00,23.10,23.30,78216,1836100
20171003,BGBIO,Oslo Børs,22.90,25.00,22.80,23.00,265607,6290766
20171002,BGBIO,Oslo Børs,21.30,22.60,21.20,22.40,207374,4604552
20170929,BGBIO,Oslo Børs,20.10,20.50,20.10,20.20,34915,705911
20170928,BGBIO,Oslo Børs,19.80,21.00,19.60,20.10,111303,2240479
20170927,BGBIO,Oslo Børs,19.40,19.70,19.20,19.20,6099,119569
20170926,BGBIO,Oslo Børs,19.90,19.90,19.20,19.20,492752,9605681
20170925,BGBIO,Oslo Børs,19.40,19.60,19.30,19.30,6640,128476
20170922,BGBIO,Oslo Børs,18.90,19.30,18.90,19.20,4839,92538
20170921,BGBIO,Oslo Børs,18.70,19.00,18.60,18.80,14027,261816
20170920,BGBIO,Oslo Børs,19.40,19.60,18.70,18.70,34819,664780
20170919,BGBIO,Oslo Børs,19.50,19.50,19.30,19.30,3328,64372
20170918,BGBIO,Oslo Børs,19.60,19.60,19.50,19.50,9326,182559
20170915,BGBIO,Oslo Børs,19.80,20.00,19.40,19.60,25535,502471
20170914,BGBIO,Oslo Børs,19.80,19.90,19.50,19.70,7281,143075
20170913,BGBIO,Oslo Børs,20.00,20.00,19.60,19.60,27858,556828
20170912,BGBIO,Oslo Børs,19.90,20.00,19.50,19.50,12141,242488
20170911,BGBIO,Oslo Børs,20.00,20.00,19.90,19.90,26464,529200
20170908,BGBIO,Oslo Børs,19.90,20.00,19.70,20.00,19233,383524
20170907,BGBIO,Oslo Børs,20.00,20.00,20.00,20.00,22972,459440
20170906,BGBIO,Oslo Børs,21.50,21.50,20.00,20.00,41859,853095
20170905,BGBIO,Oslo Børs,21.90,21.90,20.20,20.20,34672,742643
20170904,BGBIO,Oslo Børs,19.80,19.80,19.40,19.70,5217,102243
20170901,BGBIO,Oslo Børs,20.00,20.00,19.60,19.70,4207,82753
20170831,BGBIO,Oslo Børs,19.40,20.00,19.40,20.00,36163,719703
20170830,BGBIO,Oslo Børs,19.40,19.90,19.40,19.40,14806,287954
20170829,BGBIO,Oslo Børs,19.50,19.70,19.40,19.40,991,19388
20170828,BGBIO,Oslo Børs,19.50,19.50,19.10,19.10,4467,85977
20170825,BGBIO,Oslo Børs,19.60,20.00,19.50,19.50,63757,1249775
20170824,BGBIO,Oslo Børs,19.80,20.00,19.60,19.60,11611,230865
20170823,BGBIO,Oslo Børs,19.30,19.60,19.30,19.60,7907,153825
20170822,BGBIO,Oslo Børs,19.70,19.70,19.00,19.10,35539,691059
20170821,BGBIO,Oslo Børs,21.10,21.10,19.50,19.70,21112,422059
20170818,BGBIO,Oslo Børs,20.70,20.70,20.40,20.40,13554,278135
20170817,BGBIO,Oslo Børs,21.30,21.50,20.60,20.60,13989,295516
20170816,BGBIO,Oslo Børs,21.50,21.80,21.20,21.20,3144,67863
20170815,BGBIO,Oslo Børs,21.50,22.00,21.40,21.80,6585,142504
