quote_date,paper,exch,open,high,low,close,volume,value
20171013,BOUVET,Oslo Børs,161.00,162.50,161.00,162.50,1504,242452
20171012,BOUVET,Oslo Børs,162.50,162.50,156.50,159.00,1256,201127
20171011,BOUVET,Oslo Børs,161.00,162.50,161.00,162.50,767,124386
20171010,BOUVET,Oslo Børs,161.00,163.00,161.00,163.00,1790,291197
20171009,BOUVET,Oslo Børs,163.00,163.00,163.00,163.00,440,71720
20171006,BOUVET,Oslo Børs,161.50,161.50,161.50,161.50,548,88502
20171004,BOUVET,Oslo Børs,161.50,161.50,161.50,161.50,129,20833
20171003,BOUVET,Oslo Børs,163.00,164.00,161.00,161.00,7107,1161970
20171002,BOUVET,Oslo Børs,161.50,163.00,156.00,163.00,1344,216777
20170929,BOUVET,Oslo Børs,160.00,161.50,156.00,161.50,437,70011
20170928,BOUVET,Oslo Børs,159.00,159.50,159.00,159.50,249,39667
20170927,BOUVET,Oslo Børs,163.00,163.00,162.00,163.00,73,11895
20170926,BOUVET,Oslo Børs,163.00,163.00,162.00,163.00,280,45557
20170925,BOUVET,Oslo Børs,163.00,163.00,163.00,163.00,17,2771
20170922,BOUVET,Oslo Børs,163.00,163.00,163.00,163.00,457,74491
20170921,BOUVET,Oslo Børs,163.00,163.00,163.00,163.00,22,3586
20170920,BOUVET,Oslo Børs,155.00,160.00,155.00,160.00,2671,421725
20170919,BOUVET,Oslo Børs,156.50,156.50,152.50,155.00,444,69356
20170918,BOUVET,Oslo Børs,158.50,160.00,156.50,156.50,268,42308
20170915,BOUVET,Oslo Børs,160.00,160.00,158.50,158.50,596,95086
20170914,BOUVET,Oslo Børs,160.50,162.50,159.50,161.00,1225,196489
20170913,BOUVET,Oslo Børs,160.00,160.50,160.00,160.50,1231,197459
20170911,BOUVET,Oslo Børs,160.00,163.00,160.00,163.00,435,69855
20170908,BOUVET,Oslo Børs,160.50,163.00,160.50,163.00,30712,5005151
20170907,BOUVET,Oslo Børs,161.00,161.00,161.00,161.00,192,30912
20170906,BOUVET,Oslo Børs,160.00,162.00,160.00,160.00,475,76591
20170905,BOUVET,Oslo Børs,164.00,164.00,164.00,164.00,10,1640
20170904,BOUVET,Oslo Børs,162.00,162.00,162.00,162.00,433,70146
20170901,BOUVET,Oslo Børs,162.00,162.00,162.00,162.00,1360,220320
20170831,BOUVET,Oslo Børs,162.00,162.00,162.00,162.00,372,60264
20170830,BOUVET,Oslo Børs,164.00,164.00,162.00,162.50,741,121296
20170829,BOUVET,Oslo Børs,163.00,163.00,163.00,163.00,108,17604
20170828,BOUVET,Oslo Børs,162.00,163.00,161.50,163.00,329,53447
20170825,BOUVET,Oslo Børs,162.00,163.00,162.00,162.00,927,150184
20170824,BOUVET,Oslo Børs,164.00,164.00,162.50,163.00,38244,6234823
20170823,BOUVET,Oslo Børs,164.00,164.00,163.50,164.00,778,127587
20170822,BOUVET,Oslo Børs,163.00,164.00,163.00,164.00,338,55362
20170821,BOUVET,Oslo Børs,163.00,163.00,162.00,162.50,1490,242181
20170818,BOUVET,Oslo Børs,161.00,161.00,161.00,161.00,31200,5054350
