quote_date,paper,exch,open,high,low,close,volume,value
20171011,BRG,Oslo Børs,91.75,92.00,91.00,91.75,76977,7074820
20171010,BRG,Oslo Børs,92.50,92.50,90.75,91.75,94550,8650025
20171009,BRG,Oslo Børs,94.00,94.00,92.25,92.50,73607,6860654
20171006,BRG,Oslo Børs,93.50,93.75,93.25,93.75,71611,6694148
20171005,BRG,Oslo Børs,91.00,93.75,91.00,93.50,97227,9054637
20171004,BRG,Oslo Børs,90.25,91.25,90.25,91.00,41042,3729067
20171003,BRG,Oslo Børs,90.00,91.50,90.00,91.00,95986,8728885
20171002,BRG,Oslo Børs,89.25,90.75,89.00,90.00,75468,6799463
20170929,BRG,Oslo Børs,89.50,89.50,88.75,89.25,160277,14282818
20170928,BRG,Oslo Børs,90.25,90.25,89.00,89.00,88015,7850924
20170927,BRG,Oslo Børs,90.25,90.25,89.25,89.50,61357,5509529
20170926,BRG,Oslo Børs,90.75,90.75,89.50,90.00,181424,16391697
20170925,BRG,Oslo Børs,89.00,90.50,89.00,90.25,49723,4476391
20170922,BRG,Oslo Børs,89.75,90.25,89.00,89.00,135079,12092036
20170921,BRG,Oslo Børs,88.50,89.50,88.25,89.25,144732,12896725
20170920,BRG,Oslo Børs,89.00,89.75,88.75,88.75,258351,23009325
20170919,BRG,Oslo Børs,88.50,89.25,88.50,89.00,39488,3512960
20170918,BRG,Oslo Børs,89.25,89.75,88.75,88.75,78685,7021494
20170915,BRG,Oslo Børs,90.00,90.25,89.25,89.25,70958,6346841
20170914,BRG,Oslo Børs,89.75,90.00,89.25,90.00,84251,7571591
20170913,BRG,Oslo Børs,90.50,90.75,89.00,89.75,197919,17773909
20170912,BRG,Oslo Børs,89.00,91.25,89.00,90.00,90312,8163254
20170911,BRG,Oslo Børs,90.00,90.00,88.75,89.00,223192,19881603
20170908,BRG,Oslo Børs,90.50,90.50,88.75,89.00,309935,27727415
20170907,BRG,Oslo Børs,91.00,91.50,90.75,91.00,64931,5907689
20170906,BRG,Oslo Børs,91.25,91.75,90.50,91.00,62096,5656272
20170905,BRG,Oslo Børs,91.50,92.00,91.50,91.75,71029,6527659
20170904,BRG,Oslo Børs,91.50,92.00,91.50,91.75,162564,14898221
20170901,BRG,Oslo Børs,90.50,92.00,90.50,91.75,88822,8131673
20170831,BRG,Oslo Børs,91.75,92.00,90.50,90.50,258633,23560215
20170830,BRG,Oslo Børs,91.25,92.00,91.25,91.75,135997,12490195
20170829,BRG,Oslo Børs,92.75,92.75,91.25,91.25,158225,14502264
20170828,BRG,Oslo Børs,94.00,94.00,92.00,93.00,101844,9456841
20170825,BRG,Oslo Børs,95.25,95.25,93.75,94.25,73576,6938506
20170824,BRG,Oslo Børs,95.50,96.00,95.25,95.25,84252,8047653
20170823,BRG,Oslo Børs,96.00,96.00,95.75,95.75,66460,6366286
20170822,BRG,Oslo Børs,95.00,96.75,95.00,96.00,193330,18545845
20170821,BRG,Oslo Børs,96.75,97.25,95.75,96.00,150425,14452626
20170818,BRG,Oslo Børs,97.00,97.00,96.00,96.50,81064,7815030
20170817,BRG,Oslo Børs,95.50,97.25,95.25,97.25,139704,13483706
20170816,BRG,Oslo Børs,95.00,96.00,94.75,95.75,227682,21732942
