quote_date,paper,exch,open,high,low,close,volume,value
20171012,EKO,Oslo Børs,118.00,119.00,117.00,119.00,6360,752378
20171011,EKO,Oslo Børs,116.00,118.00,115.00,118.00,16380,1912313
20171010,EKO,Oslo Børs,114.00,116.00,113.00,116.00,19033,2178666
20171009,EKO,Oslo Børs,113.50,114.00,112.50,114.00,3232,366833
20171006,EKO,Oslo Børs,113.50,114.00,112.00,113.50,4927,559172
20171005,EKO,Oslo Børs,111.50,113.50,111.50,113.50,4152,466897
20171004,EKO,Oslo Børs,113.00,113.00,111.50,113.00,124686,14051410
20171003,EKO,Oslo Børs,114.00,115.00,112.00,113.50,15216,1731239
20171002,EKO,Oslo Børs,113.00,114.00,111.50,114.00,7426,840593
20170929,EKO,Oslo Børs,111.50,113.00,110.50,113.00,14211,1600935
20170928,EKO,Oslo Børs,110.00,111.50,110.00,111.00,17889,1984678
20170927,EKO,Oslo Børs,111.50,112.50,110.00,110.00,11013,1223516
20170926,EKO,Oslo Børs,111.50,113.00,111.00,111.00,14181,1584136
20170925,EKO,Oslo Børs,112.50,113.00,111.50,111.50,2562,287311
20170922,EKO,Oslo Børs,111.50,113.00,110.50,112.50,7763,867753
20170921,EKO,Oslo Børs,112.00,113.00,111.50,112.50,3914,439279
20170920,EKO,Oslo Børs,111.00,112.00,111.00,111.50,128250,14331567
20170919,EKO,Oslo Børs,112.00,112.50,110.00,111.50,6933,773395
20170918,EKO,Oslo Børs,112.00,112.00,111.00,112.00,4248,475082
20170915,EKO,Oslo Børs,111.00,113.50,111.00,111.00,16803,1874778
20170914,EKO,Oslo Børs,113.00,113.00,111.50,112.50,9803,1103375
20170913,EKO,Oslo Børs,112.00,113.50,110.00,113.00,13917,1558361
20170912,EKO,Oslo Børs,112.00,113.50,111.50,113.00,12400,1391548
20170911,EKO,Oslo Børs,111.50,113.50,111.50,111.50,2178,244603
20170908,EKO,Oslo Børs,112.50,113.50,111.50,111.50,2604,292488
20170907,EKO,Oslo Børs,112.50,114.00,112.50,112.50,10990,1246999
20170906,EKO,Oslo Børs,112.00,114.00,111.50,114.00,8282,936514
20170905,EKO,Oslo Børs,113.00,114.00,112.00,114.00,7529,855543
20170904,EKO,Oslo Børs,112.00,113.00,110.00,113.00,14767,1647070
20170901,EKO,Oslo Børs,111.50,112.00,110.00,112.00,8578,951931
20170831,EKO,Oslo Børs,114.00,114.00,109.50,109.50,24436,2703707
20170830,EKO,Oslo Børs,114.00,114.00,112.00,112.00,6292,709763
20170829,EKO,Oslo Børs,113.00,114.00,112.00,114.00,7534,852322
20170828,EKO,Oslo Børs,113.50,114.00,112.00,113.00,3009,339254
20170825,EKO,Oslo Børs,114.00,114.00,112.00,113.50,2467,278428
20170824,EKO,Oslo Børs,112.50,114.00,112.50,114.00,3954,446468
20170823,EKO,Oslo Børs,112.00,114.00,112.00,112.00,7539,856144
20170822,EKO,Oslo Børs,113.00,113.00,112.00,112.50,5673,637173
20170821,EKO,Oslo Børs,113.00,115.00,113.00,113.00,3200,365174
20170818,EKO,Oslo Børs,114.00,115.00,112.00,115.00,5921,673267
20170817,EKO,Oslo Børs,112.50,114.00,112.50,114.00,13377,1522203
20170816,EKO,Oslo Børs,114.50,114.50,112.50,114.00,2750,313444
20170815,EKO,Oslo Børs,114.50,114.50,113.00,114.50,17429,1986441
20170814,EKO,Oslo Børs,113.00,114.50,112.00,112.00,11699,1323852
20170811,EKO,Oslo Børs,113.50,113.50,111.50,112.00,2911,327004
20170810,EKO,Oslo Børs,113.50,113.50,111.50,113.50,11292,1279003
20170809,EKO,Oslo Børs,114.50,114.50,112.00,113.00,3297,371773
20170808,EKO,Oslo Børs,114.00,114.50,112.00,114.00,51710,5884691
20170807,EKO,Oslo Børs,114.00,114.50,113.00,114.00,9592,1094295
20170804,EKO,Oslo Børs,114.00,114.50,113.50,114.00,4880,556906
20170803,EKO,Oslo Børs,113.00,114.50,112.50,114.00,36834,4198732
20170802,EKO,Oslo Børs,113.50,115.00,112.50,113.00,8686,984981
20170801,EKO,Oslo Børs,115.00,115.00,114.00,114.50,6416,733914
20170731,EKO,Oslo Børs,115.00,115.00,113.00,114.00,2205,251776
20170728,EKO,Oslo Børs,115.50,115.50,113.00,115.00,16451,1876059
20170727,EKO,Oslo Børs,116.00,116.00,113.50,115.50,1825,209327
20170726,EKO,Oslo Børs,116.00,116.00,113.50,116.00,5090,583670
20170725,EKO,Oslo Børs,116.50,116.50,114.00,115.50,3076,354596
20170724,EKO,Oslo Børs,116.00,116.00,113.50,115.50,10669,1225392
20170721,EKO,Oslo Børs,117.00,117.00,113.00,116.50,11943,1370901
20170720,EKO,Oslo Børs,116.00,117.00,116.00,117.00,2659,310085
20170719,EKO,Oslo Børs,116.50,117.00,115.00,117.00,4579,532692
20170718,EKO,Oslo Børs,118.00,118.00,115.00,117.00,5434,632954
20170717,EKO,Oslo Børs,114.00,117.50,114.00,117.50,6720,782079
20170714,EKO,Oslo Børs,118.00,118.00,112.00,113.00,26088,2977587
20170713,EKO,Oslo Børs,118.00,119.00,116.50,118.50,4737,558372
20170712,EKO,Oslo Børs,114.00,118.00,113.50,118.00,41904,4855017
20170711,EKO,Oslo Børs,112.00,114.50,112.00,112.00,5137,579221
20170710,EKO,Oslo Børs,111.00,113.50,111.00,113.00,18691,2093741
20170707,EKO,Oslo Børs,115.00,115.00,111.00,111.00,9638,1089210
20170706,EKO,Oslo Børs,114.00,114.00,112.50,113.00,7996,906629
20170705,EKO,Oslo Børs,114.00,114.00,112.50,112.50,12494,1417684
20170704,EKO,Oslo Børs,114.00,114.00,111.50,113.00,34859,3926531
20170703,EKO,Oslo Børs,114.00,114.00,111.00,111.50,14044,1579157
20170630,EKO,Oslo Børs,117.00,117.00,113.50,115.00,20581,2370234
20170629,EKO,Oslo Børs,120.00,120.00,117.00,118.00,6269,744273
20170628,EKO,Oslo Børs,115.00,120.00,114.00,120.00,17544,2079558
20170627,EKO,Oslo Børs,120.00,120.00,116.50,116.50,4847,569979
20170626,EKO,Oslo Børs,119.00,119.00,116.00,118.50,19257,2287277
20170623,EKO,Oslo Børs,115.00,119.00,114.50,119.00,10783,1265981
20170622,EKO,Oslo Børs,117.00,117.00,115.50,115.50,13415,1552659
20170621,EKO,Oslo Børs,118.50,118.50,116.00,116.00,9859,1152923
20170620,EKO,Oslo Børs,120.50,120.50,117.00,118.00,6115,730657
20170619,EKO,Oslo Børs,120.00,123.00,117.00,121.00,18643,2232803
20170616,EKO,Oslo Børs,115.00,124.00,115.00,120.00,215586,25761274
20170615,EKO,Oslo Børs,111.00,114.50,110.50,114.00,25016,2817259
20170614,EKO,Oslo Børs,111.50,111.50,110.00,110.50,14571,1614821
20170613,EKO,Oslo Børs,112.50,112.50,110.00,110.00,12225,1356034
20170612,EKO,Oslo Børs,112.50,112.50,110.00,110.00,28569,3185491
20170609,EKO,Oslo Børs,110.00,112.50,109.50,111.00,19165,2117500
20170608,EKO,Oslo Børs,109.50,109.50,108.50,108.50,65980,7192188
20170607,EKO,Oslo Børs,109.00,109.50,106.00,106.00,37511,4052466
20170606,EKO,Oslo Børs,109.00,110.00,108.00,108.50,15723,1716978
20170602,EKO,Oslo Børs,108.50,109.00,107.50,108.00,58728,6372407
20170601,EKO,Oslo Børs,109.50,109.50,107.00,107.00,24312,2634567
20170531,EKO,Oslo Børs,109.00,110.00,108.00,109.00,43554,4755573
20170530,EKO,Oslo Børs,106.00,109.00,105.50,107.00,38797,4145990
20170529,EKO,Oslo Børs,106.00,106.00,103.50,103.50,7991,829858
20170526,EKO,Oslo Børs,103.50,104.00,102.00,102.50,7034,723381
20170524,EKO,Oslo Børs,103.00,104.00,101.00,104.00,4739,488235
20170523,EKO,Oslo Børs,103.00,103.50,100.00,100.00,42759,4305365
