quote_date,paper,exch,open,high,low,close,volume,value
20170922,EVRY,Oslo Børs,30.50,30.50,30.00,30.50,374601,11322787
20170921,EVRY,Oslo Børs,29.80,30.20,29.10,30.20,305185,9037653
20170920,EVRY,Oslo Børs,29.20,30.00,29.00,29.90,221681,6503730
20170919,EVRY,Oslo Børs,29.10,30.40,29.00,29.20,389347,11351934
20170918,EVRY,Oslo Børs,29.20,29.60,28.50,29.10,683450,19913468
20170915,EVRY,Oslo Børs,29.00,29.20,28.90,29.10,263716,7654379
20170914,EVRY,Oslo Børs,29.20,29.40,28.90,29.10,289013,8404541
20170913,EVRY,Oslo Børs,29.20,29.40,28.80,29.00,185974,5402197
20170912,EVRY,Oslo Børs,29.10,29.40,29.00,29.20,32903,957738
20170911,EVRY,Oslo Børs,29.10,29.60,28.80,29.00,120083,3505527
20170908,EVRY,Oslo Børs,29.00,29.10,28.60,29.00,237198,6868053
20170907,EVRY,Oslo Børs,28.60,29.40,28.60,29.00,252018,7310186
20170906,EVRY,Oslo Børs,29.00,29.10,28.50,28.60,280730,8135576
20170905,EVRY,Oslo Børs,29.20,29.70,28.90,29.00,38521,1122863
20170904,EVRY,Oslo Børs,29.90,29.90,29.00,29.30,19141,562926
20170901,EVRY,Oslo Børs,30.20,30.20,29.40,29.90,93668,2801678
20170831,EVRY,Oslo Børs,29.50,30.50,29.30,30.20,146355,4389374
20170830,EVRY,Oslo Børs,29.20,29.50,29.10,29.50,1144953,33628957
20170829,EVRY,Oslo Børs,29.00,29.70,29.00,29.00,26651,776901
20170828,EVRY,Oslo Børs,29.60,29.90,28.20,29.50,16442,482882
20170825,EVRY,Oslo Børs,30.00,30.10,29.00,29.60,77762,2315071
20170824,EVRY,Oslo Børs,30.10,30.10,29.40,30.00,66098,1977818
20170823,EVRY,Oslo Børs,29.00,30.00,28.60,30.00,191945,5688201
20170822,EVRY,Oslo Børs,28.80,29.00,28.50,28.90,99801,2877503
20170821,EVRY,Oslo Børs,28.20,29.00,28.10,28.50,1438120,40821014
20170818,EVRY,Oslo Børs,27.70,28.70,27.70,28.20,792742,22251163
20170817,EVRY,Oslo Børs,28.70,29.00,28.00,28.50,104798,3005783
20170816,EVRY,Oslo Børs,28.50,28.80,28.50,28.70,29247,838116
20170815,EVRY,Oslo Børs,28.60,28.80,28.50,28.50,26943,772016
20170814,EVRY,Oslo Børs,28.90,28.90,28.00,28.50,172073,4911130
20170811,EVRY,Oslo Børs,27.90,29.00,27.90,28.80,156732,4489799
20170810,EVRY,Oslo Børs,28.20,28.50,28.00,28.00,255385,7174352
20170809,EVRY,Oslo Børs,29.00,29.00,28.50,28.70,22363,643354
20170808,EVRY,Oslo Børs,28.50,29.10,28.20,28.80,91017,2607157
20170807,EVRY,Oslo Børs,28.50,28.80,28.20,28.80,35056,998092
20170804,EVRY,Oslo Børs,28.50,28.60,28.20,28.40,1080607,30603069
20170803,EVRY,Oslo Børs,29.00,29.20,28.80,28.80,120668,3492548
20170802,EVRY,Oslo Børs,29.00,29.40,28.90,29.00,543720,15784746
20170801,EVRY,Oslo Børs,29.80,29.80,29.20,29.20,165159,4851259
20170731,EVRY,Oslo Børs,30.10,30.30,29.20,29.40,416903,12305046
20170728,EVRY,Oslo Børs,28.80,29.10,28.80,28.90,2175279,62758058
20170727,EVRY,Oslo Børs,28.70,29.30,28.60,28.90,129799,3750643
20170726,EVRY,Oslo Børs,28.60,29.60,28.60,28.80,64834,1886951
20170725,EVRY,Oslo Børs,29.80,29.80,28.40,29.60,276923,8074511
20170724,EVRY,Oslo Børs,29.60,30.00,29.00,29.80,91867,2727543
20170721,EVRY,Oslo Børs,30.00,30.00,29.70,30.00,11289,336445
20170720,EVRY,Oslo Børs,30.00,30.20,30.00,30.10,639157,19244674
20170719,EVRY,Oslo Børs,30.10,30.20,30.00,30.00,353298,10619364
20170718,EVRY,Oslo Børs,30.00,30.30,30.00,30.10,581081,17500237
20170717,EVRY,Oslo Børs,29.80,30.10,29.80,30.00,688653,20650413
20170714,EVRY,Oslo Børs,29.60,29.90,29.60,29.80,403719,11979058
20170713,EVRY,Oslo Børs,29.80,29.90,29.60,29.60,526638,15645745
20170712,EVRY,Oslo Børs,29.90,30.00,29.60,29.80,841878,25169226
20170711,EVRY,Oslo Børs,29.80,29.90,29.70,29.80,550622,16415030
20170710,EVRY,Oslo Børs,29.80,29.90,29.70,29.70,385888,11497876
20170707,EVRY,Oslo Børs,30.00,30.00,29.80,29.80,77706,2321375
20170706,EVRY,Oslo Børs,29.90,30.00,29.90,30.00,136681,4088500
20170705,EVRY,Oslo Børs,30.00,30.10,29.90,29.90,275109,8248908
20170704,EVRY,Oslo Børs,30.30,30.30,30.00,30.00,490287,14777398
20170703,EVRY,Oslo Børs,29.90,30.60,29.50,30.30,463249,13958319
20170630,EVRY,Oslo Børs,29.00,29.80,29.00,29.80,772038,22796584
20170629,EVRY,Oslo Børs,29.20,29.70,29.00,29.00,877744,25551622
20170628,EVRY,Oslo Børs,29.40,29.50,29.00,29.00,571672,16622529
20170627,EVRY,Oslo Børs,29.80,30.20,29.30,29.50,2208982,65450707
