quote_date,paper,exch,open,high,low,close,volume,value
20171010,FRO,Oslo Børs,46.60,47.30,46.50,47.10,364620,17116779
20171009,FRO,Oslo Børs,46.90,47.20,46.40,46.60,195973,9153747
20171006,FRO,Oslo Børs,47.80,48.30,47.20,47.20,279017,13349903
20171005,FRO,Oslo Børs,47.80,48.00,47.10,47.80,254800,12115720
20171004,FRO,Oslo Børs,48.50,48.80,47.50,47.70,350282,16778093
20171003,FRO,Oslo Børs,47.50,48.60,47.10,48.50,328296,15691362
20171002,FRO,Oslo Børs,48.60,48.60,46.60,47.50,462354,22026008
20170929,FRO,Oslo Børs,46.90,48.90,46.20,48.70,1302682,62732862
20170928,FRO,Oslo Børs,47.30,47.50,46.70,46.90,234852,11060897
20170927,FRO,Oslo Børs,46.10,48.00,46.00,47.00,760980,35876759
20170926,FRO,Oslo Børs,45.20,46.30,45.10,45.90,586119,26847966
20170925,FRO,Oslo Børs,46.00,46.40,45.50,45.90,471192,21684350
20170922,FRO,Oslo Børs,45.80,46.80,45.00,46.20,560548,25765491
20170921,FRO,Oslo Børs,44.90,46.50,44.90,46.40,618379,28416028
20170920,FRO,Oslo Børs,43.90,44.90,43.80,44.70,421748,18722169
20170919,FRO,Oslo Børs,44.40,44.40,43.60,44.00,315356,13846645
20170918,FRO,Oslo Børs,44.10,44.40,43.50,44.40,291400,12793252
20170915,FRO,Oslo Børs,44.20,44.30,43.40,43.80,207395,9072448
20170914,FRO,Oslo Børs,44.50,44.50,43.70,44.20,310013,13649577
20170913,FRO,Oslo Børs,43.50,44.60,43.20,44.50,411175,18064222
20170912,FRO,Oslo Børs,43.80,43.90,43.20,43.50,329204,14341029
20170911,FRO,Oslo Børs,43.40,44.10,43.30,43.50,684891,30008000
20170908,FRO,Oslo Børs,44.60,44.60,42.70,43.30,843873,36701793
20170907,FRO,Oslo Børs,42.90,44.70,42.80,44.30,1320141,57904978
20170906,FRO,Oslo Børs,40.10,42.50,40.00,42.20,919331,37932709
20170905,FRO,Oslo Børs,40.80,42.00,40.20,40.50,827368,33887184
20170904,FRO,Oslo Børs,39.60,41.20,39.20,40.80,882948,36960765
20170901,FRO,Oslo Børs,38.50,40.40,38.50,40.00,1030057,40804600
20170831,FRO,Oslo Børs,40.40,40.80,38.80,39.00,994419,39091573
20170830,FRO,Oslo Børs,41.90,41.90,39.80,40.80,1118086,45488823
20170829,FRO,Oslo Børs,44.80,44.80,42.40,43.00,413777,17877567
20170828,FRO,Oslo Børs,43.90,44.80,43.10,44.50,560618,24631367
