quote_date,paper,exch,open,high,low,close,volume,value
20171006,GJF,Oslo Børs,142.70,144.00,142.40,143.90,257148,36937051
20171005,GJF,Oslo Børs,141.70,143.30,141.70,142.70,321342,45886698
20171004,GJF,Oslo Børs,142.80,143.00,141.40,141.70,364752,51736377
20171003,GJF,Oslo Børs,144.40,144.40,142.50,142.70,326772,46796972
20171002,GJF,Oslo Børs,141.50,145.50,141.50,144.40,980382,141123545
20170929,GJF,Oslo Børs,139.00,139.00,138.00,138.60,391986,54305015
20170928,GJF,Oslo Børs,138.00,139.20,137.20,139.00,478182,66265517
20170927,GJF,Oslo Børs,136.30,138.00,135.60,138.00,433887,59481731
20170926,GJF,Oslo Børs,137.60,137.60,135.90,136.40,300322,40971908
20170925,GJF,Oslo Børs,136.50,137.50,136.50,137.50,369708,50567994
20170922,GJF,Oslo Børs,136.70,137.40,136.70,136.70,311683,42697811
20170921,GJF,Oslo Børs,135.80,137.20,135.80,137.10,334890,45845690
20170920,GJF,Oslo Børs,136.20,136.50,135.50,135.80,311506,42363827
20170919,GJF,Oslo Børs,136.50,137.00,136.10,136.30,480239,65549048
20170918,GJF,Oslo Børs,136.60,137.70,136.50,136.50,324246,44414530
20170915,GJF,Oslo Børs,136.90,137.20,136.30,136.30,819295,111766029
20170914,GJF,Oslo Børs,137.30,137.50,136.60,136.90,278463,38144482
20170913,GJF,Oslo Børs,137.10,137.90,137.10,137.30,557109,76568941
20170912,GJF,Oslo Børs,136.80,137.70,136.80,137.10,363434,49892563
20170911,GJF,Oslo Børs,134.80,137.70,134.40,136.80,559213,76505528
20170908,GJF,Oslo Børs,133.80,135.20,133.40,134.90,515168,69281368
20170907,GJF,Oslo Børs,134.00,134.30,133.30,133.30,213950,28587669
20170906,GJF,Oslo Børs,135.30,135.30,133.60,133.60,489035,65539637
20170905,GJF,Oslo Børs,134.90,136.30,134.60,135.60,476541,64563555
20170904,GJF,Oslo Børs,134.60,135.40,134.60,134.90,213941,28867526
20170901,GJF,Oslo Børs,135.80,136.60,134.80,135.10,333776,45185975
20170831,GJF,Oslo Børs,134.50,137.70,134.50,135.80,843804,115057304
20170830,GJF,Oslo Børs,133.60,134.90,133.40,134.40,327760,44048315
20170829,GJF,Oslo Børs,133.10,133.40,132.40,133.10,282463,37553708
