quote_date,paper,exch,open,high,low,close,volume,value
20171009,HSPG,Oslo Børs,103.00,103.00,103.00,103.00,49,5047
20171006,HSPG,Oslo Børs,102.00,103.00,102.00,103.00,120,12252
20171004,HSPG,Oslo Børs,101.00,101.00,101.00,101.00,80,8112
20170929,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,250,25500
20170926,HSPG,Oslo Børs,103.00,103.00,103.00,103.00,50,5150
20170919,HSPG,Oslo Børs,103.50,103.50,103.50,103.50,241,24943
20170912,HSPG,Oslo Børs,103.00,103.00,103.00,103.00,30,3090
20170830,HSPG,Oslo Børs,104.00,104.00,103.00,103.00,52,5358
20170824,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,10,1050
20170822,HSPG,Oslo Børs,103.00,103.00,103.00,103.00,250,25750
20170818,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,300,30600
20170817,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,22,2310
20170816,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,105,10710
20170814,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,10,1050
20170809,HSPG,Oslo Børs,101.00,101.00,101.00,101.00,250,25250
20170807,HSPG,Oslo Børs,100.50,108.50,100.00,108.50,344,35465
20170717,HSPG,Oslo Børs,92.25,103.50,92.25,103.50,190,17860
20170712,HSPG,Oslo Børs,94.00,103.50,94.00,103.50,114,11640
20170711,HSPG,Oslo Børs,103.50,103.50,103.50,103.50,10,1035
20170616,HSPG,Oslo Børs,103.50,103.50,103.50,103.50,10,1035
20170612,HSPG,Oslo Børs,102.50,102.50,102.50,102.50,4,410
20170608,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,1,104
20170606,HSPG,Oslo Børs,102.00,104.00,102.00,104.00,1300,133800
20170530,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,65,6630
20170519,HSPG,Oslo Børs,103.00,103.00,102.00,102.00,700,71600
20170518,HSPG,Oslo Børs,103.50,105.00,103.00,105.00,2034,213462
20170515,HSPG,Oslo Børs,120.00,120.00,120.00,120.00,40,4800
20170512,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,5,510
20170511,HSPG,Oslo Børs,101.00,103.00,101.00,103.00,410,41465
20170510,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,5,510
20170508,HSPG,Oslo Børs,102.00,102.00,102.00,102.00,100,10200
20170504,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,100,10400
20170404,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,50,5200
20170403,HSPG,Oslo Børs,104.50,105.00,104.50,105.00,85,8917
20170329,HSPG,Oslo Børs,105.00,105.00,104.00,104.00,261,27190
20170324,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,17,1785
20170322,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,125,13000
20170316,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,10,1050
20170313,HSPG,Oslo Børs,105.00,105.00,105.00,105.00,240,25200
20170310,HSPG,Oslo Børs,107.00,107.00,107.00,107.00,240,25680
20170228,HSPG,Oslo Børs,108.00,108.00,107.00,107.00,160,17200
20170227,HSPG,Oslo Børs,108.50,108.50,108.50,108.50,12,1302
20170220,HSPG,Oslo Børs,110.00,110.00,110.00,110.00,100,11000
20170210,HSPG,Oslo Børs,108.00,108.00,108.00,108.00,892,96336
20170202,HSPG,Oslo Børs,106.00,106.00,106.00,106.00,100,10600
20170118,HSPG,Oslo Børs,108.00,108.00,108.00,108.00,90,9720
20170116,HSPG,Oslo Børs,106.50,106.50,106.50,106.50,316,33518
20170112,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,154,16016
20170110,HSPG,Oslo Børs,104.00,104.00,104.00,104.00,16,1664
20170109,HSPG,Oslo Børs,100.00,100.00,100.00,100.00,500,50000
20170105,HSPG,Oslo Børs,98.25,98.25,98.00,98.00,2700,264601
20170104,HSPG,Oslo Børs,100.00,104.00,98.00,104.00,232,23129
20170102,HSPG,Oslo Børs,99.50,100.00,99.50,100.00,1484,148313
20161230,HSPG,Oslo Børs,100.00,100.00,100.00,100.00,80,8000
20161220,HSPG,Oslo Børs,95.00,95.00,95.00,95.00,200,19000
20161111,HSPG,Oslo Børs,100.00,100.00,100.00,100.00,200,20000
20161110,HSPG,Oslo Børs,100.00,100.00,100.00,100.00,10,1000
20161109,HSPG,Oslo Børs,100.00,100.00,95.00,95.00,250,23800
20161108,HSPG,Oslo Børs,95.00,95.00,95.00,95.00,390,37050
20161107,HSPG,Oslo Børs,95.00,95.00,95.00,95.00,760,72200
20161025,HSPG,Oslo Børs,96.00,100.00,96.00,100.00,4049,388908
20161014,HSPG,Oslo Børs,96.00,100.00,96.00,100.00,450,43400
20160912,HSPG,Oslo Børs,99.00,99.00,99.00,99.00,1000,99000
20160901,HSPG,Oslo Børs,96.00,96.00,96.00,96.00,1037,99552
20160829,HSPG,Oslo Børs,95.00,95.00,95.00,95.00,100,9500
20160823,HSPG,Oslo Børs,98.50,98.50,98.50,98.50,151,14873
20160822,HSPG,Oslo Børs,98.50,99.00,98.50,99.00,1010,99840
20160819,HSPG,Oslo Børs,94.00,97.50,94.00,97.50,250,24371
