quote_date,paper,exch,open,high,low,close,volume,value
20171013,INDUCT-ME,Merkur,12.95,13.00,12.95,13.00,4119,53522
20171012,INDUCT-ME,Merkur,13.00,13.50,13.00,13.50,10001,130013
20171011,INDUCT-ME,Merkur,12.95,13.60,12.95,13.60,4882,63441
20171010,INDUCT-ME,Merkur,13.45,13.45,13.45,13.45,1,13
20171009,INDUCT-ME,Merkur,12.45,12.95,12.45,12.95,4549,56636
20171006,INDUCT-ME,Merkur,13.25,13.90,13.20,13.90,1701,22463
20171005,INDUCT-ME,Merkur,13.10,13.10,13.00,13.00,1300,16950
20171003,INDUCT-ME,Merkur,12.85,13.00,12.80,12.85,15984,205140
20171002,INDUCT-ME,Merkur,13.10,13.25,13.10,13.25,3243,42783
20170927,INDUCT-ME,Merkur,14.60,14.60,14.60,14.60,4000,58400
20170926,INDUCT-ME,Merkur,12.20,13.95,12.20,13.95,160,1969
20170919,INDUCT-ME,Merkur,14.95,14.95,14.95,14.95,100,1495
20170918,INDUCT-ME,Merkur,13.80,13.80,13.80,13.80,500,6900
20170915,INDUCT-ME,Merkur,13.40,13.90,13.20,13.90,8468,112815
20170914,INDUCT-ME,Merkur,13.40,13.50,13.40,13.50,1107,14844
20170911,INDUCT-ME,Merkur,14.00,14.95,14.00,14.00,25902,364906
20170908,INDUCT-ME,Merkur,13.00,14.45,13.00,14.45,7510,101144
20170907,INDUCT-ME,Merkur,13.00,13.00,13.00,13.00,3000,39000
20170906,INDUCT-ME,Merkur,14.95,14.95,14.95,14.95,100,1495
20170901,INDUCT-ME,Merkur,14.00,14.00,14.00,14.00,4100,57400
20170831,INDUCT-ME,Merkur,13.60,15.00,13.60,15.00,749,10326
20170830,INDUCT-ME,Merkur,14.00,14.00,14.00,14.00,19838,277732
20170825,INDUCT-ME,Merkur,16.00,16.00,16.00,16.00,100,1600
20170824,INDUCT-ME,Merkur,14.40,16.00,14.40,16.00,1100,16000
20170822,INDUCT-ME,Merkur,13.50,13.50,13.10,13.10,1667,22001
20170821,INDUCT-ME,Merkur,13.80,13.80,12.00,13.70,4500,58680
20170817,INDUCT-ME,Merkur,14.00,14.00,13.95,14.00,3001,41964
20170816,INDUCT-ME,Merkur,14.30,14.40,14.30,14.40,2000,28730
20170815,INDUCT-ME,Merkur,14.00,14.00,13.85,13.90,4000,55750
20170811,INDUCT-ME,Merkur,13.50,14.50,13.50,14.50,1050,14275
20170810,INDUCT-ME,Merkur,13.50,13.50,13.50,13.50,50,675
20170809,INDUCT-ME,Merkur,13.50,15.00,13.30,13.30,18484,251532
20170808,INDUCT-ME,Merkur,13.60,15.00,13.50,13.50,7301,99964
20170731,INDUCT-ME,Merkur,16.00,16.00,16.00,16.00,100,1600
20170727,INDUCT-ME,Merkur,14.00,14.30,14.00,14.30,601,8564
20170725,INDUCT-ME,Merkur,14.25,14.30,14.25,14.30,700,10000
20170721,INDUCT-ME,Merkur,13.55,14.30,13.55,14.30,2600,35305
20170718,INDUCT-ME,Merkur,13.90,13.90,13.80,13.80,18000,248700
20170714,INDUCT-ME,Merkur,14.10,14.20,14.10,14.20,4200,59440
20170713,INDUCT-ME,Merkur,13.70,13.80,13.50,13.80,8845,120269
20170712,INDUCT-ME,Merkur,13.65,14.60,13.65,14.60,10093,142922
20170711,INDUCT-ME,Merkur,13.60,13.60,13.50,13.50,2000,27100
20170710,INDUCT-ME,Merkur,13.50,13.50,13.50,13.50,1000,13500
20170707,INDUCT-ME,Merkur,13.55,14.00,13.50,14.00,6865,92859
20170706,INDUCT-ME,Merkur,13.60,13.60,13.60,13.60,1050,14280
20170704,INDUCT-ME,Merkur,14.30,14.30,14.25,14.25,3400,48500
20170703,INDUCT-ME,Merkur,14.35,14.75,14.35,14.75,2200,31810
20170630,INDUCT-ME,Merkur,13.40,13.40,13.30,13.30,4500,60150
20170629,INDUCT-ME,Merkur,14.75,14.75,13.00,14.75,17260,242692
20170628,INDUCT-ME,Merkur,15.00,16.90,15.00,15.00,16549,249940
20170627,INDUCT-ME,Merkur,15.00,15.00,12.80,14.90,3769,55111
