quote_date,paper,exch,open,high,low,close,volume,value
20171013,INSR,Oslo Børs,7.10,7.20,7.10,7.20,400,2869
20171012,INSR,Oslo Børs,7.15,7.15,7.09,7.10,7987,56857
20171011,INSR,Oslo Børs,7.15,7.20,7.15,7.20,21331,152905
20171010,INSR,Oslo Børs,7.00,7.22,7.00,7.22,50250,359193
20171009,INSR,Oslo Børs,7.25,7.25,7.08,7.24,7058,50464
20171006,INSR,Oslo Børs,7.29,7.29,7.01,7.25,12998,94091
20171005,INSR,Oslo Børs,7.01,7.30,7.01,7.24,36377,263457
20171004,INSR,Oslo Børs,7.00,7.30,7.00,7.30,5990,43364
20171003,INSR,Oslo Børs,7.10,7.24,6.51,7.20,68271,481935
20171002,INSR,Oslo Børs,7.25,7.30,7.10,7.10,30636,221695
20170929,INSR,Oslo Børs,7.25,7.25,7.25,7.25,200,1450
20170928,INSR,Oslo Børs,7.25,7.32,7.25,7.32,37370,273102
20170927,INSR,Oslo Børs,7.25,7.48,7.25,7.30,86358,629118
20170926,INSR,Oslo Børs,7.10,7.24,7.10,7.23,703,5038
20170925,INSR,Oslo Børs,7.16,7.25,7.15,7.24,68748,492142
20170922,INSR,Oslo Børs,7.25,7.25,7.18,7.25,1573,11393
20170921,INSR,Oslo Børs,7.16,7.25,7.16,7.23,31600,227754
20170920,INSR,Oslo Børs,7.18,7.22,7.17,7.17,19335,139279
20170919,INSR,Oslo Børs,7.16,7.22,7.16,7.16,38255,274605
20170918,INSR,Oslo Børs,7.25,7.25,7.11,7.25,16506,118824
20170915,INSR,Oslo Børs,7.25,7.25,7.14,7.25,203408,1474403
20170914,INSR,Oslo Børs,7.11,7.22,7.11,7.21,8803,63198
20170913,INSR,Oslo Børs,7.22,7.25,7.11,7.11,14050,101630
20170912,INSR,Oslo Børs,7.25,7.25,7.11,7.22,145175,1052349
20170911,INSR,Oslo Børs,7.12,7.25,7.12,7.25,8740,63151
20170908,INSR,Oslo Børs,7.22,7.25,7.22,7.25,2686,19458
20170907,INSR,Oslo Børs,7.22,7.25,7.22,7.22,38401,278204
20170906,INSR,Oslo Børs,7.35,7.35,7.21,7.21,5810,42635
20170905,INSR,Oslo Børs,7.40,7.40,7.18,7.40,12907,94482
20170904,INSR,Oslo Børs,7.40,7.40,7.16,7.40,4965,36545
20170901,INSR,Oslo Børs,7.20,7.50,7.20,7.40,20392,149511
20170831,INSR,Oslo Børs,7.03,7.33,7.03,7.30,68945,500285
20170830,INSR,Oslo Børs,7.64,7.74,7.30,7.44,82571,615483
20170829,INSR,Oslo Børs,7.25,7.47,7.25,7.45,16707,121819
20170828,INSR,Oslo Børs,7.70,7.70,7.36,7.50,107278,809084
20170825,INSR,Oslo Børs,7.20,7.74,7.20,7.36,30799,230834
20170824,INSR,Oslo Børs,7.69,7.70,7.23,7.69,84416,638711
20170823,INSR,Oslo Børs,7.87,8.00,7.47,7.69,72586,557896
20170822,INSR,Oslo Børs,7.85,7.87,7.50,7.87,12377,94709
20170821,INSR,Oslo Børs,7.75,7.85,7.60,7.80,387867,3021645
20170818,INSR,Oslo Børs,7.38,7.75,7.03,7.73,329167,2463528
20170817,INSR,Oslo Børs,7.16,7.48,6.76,7.47,345746,2496722
20170816,INSR,Oslo Børs,7.50,7.80,6.50,7.34,123263,864384
20170815,INSR,Oslo Børs,6.96,7.50,6.95,7.15,33795,244574
20170814,INSR,Oslo Børs,7.00,7.50,6.85,7.50,176820,1273706
20170811,INSR,Oslo Børs,6.85,7.00,6.85,7.00,7439,50972
20170810,INSR,Oslo Børs,6.98,7.00,6.56,7.00,24533,171261
20170809,INSR,Oslo Børs,6.50,6.89,6.20,6.75,157991,1040145
20170808,INSR,Oslo Børs,6.97,6.97,6.50,6.55,19979,131650
20170807,INSR,Oslo Børs,6.98,6.98,6.66,6.97,276,1925
20170804,INSR,Oslo Børs,6.80,6.99,6.80,6.99,50,349
20170803,INSR,Oslo Børs,6.99,6.99,6.70,6.80,16458,110508
20170802,INSR,Oslo Børs,6.81,6.94,6.80,6.80,3235,22052
20170801,INSR,Oslo Børs,6.80,7.00,6.80,6.95,16128,111422
20170731,INSR,Oslo Børs,7.20,7.20,6.80,6.80,608,4204
20170728,INSR,Oslo Børs,6.91,7.00,6.80,6.90,11894,82081
20170727,INSR,Oslo Børs,7.00,7.15,6.80,7.00,49571,345528
20170726,INSR,Oslo Børs,7.00,7.15,6.80,7.00,36296,253362
20170725,INSR,Oslo Børs,6.75,7.00,6.66,7.00,4509,30776
20170724,INSR,Oslo Børs,6.95,7.00,6.75,7.00,2870,19940
20170721,INSR,Oslo Børs,6.86,7.00,6.86,6.87,11692,81236
20170720,INSR,Oslo Børs,6.95,7.00,6.87,7.00,20642,144073
20170719,INSR,Oslo Børs,7.00,7.00,6.85,6.95,17789,122071
20170718,INSR,Oslo Børs,6.66,6.99,6.63,6.99,35721,246077
20170717,INSR,Oslo Børs,6.60,6.97,6.56,6.97,42802,286225
20170714,INSR,Oslo Børs,6.75,6.99,6.75,6.80,1944,13208
20170713,INSR,Oslo Børs,6.63,6.82,6.58,6.63,5267,35557
20170712,INSR,Oslo Børs,6.66,6.82,6.63,6.63,5201,35108
20170711,INSR,Oslo Børs,6.65,6.82,6.62,6.66,4736,32000
20170710,INSR,Oslo Børs,6.98,7.00,6.56,6.93,28302,192883
20170707,INSR,Oslo Børs,6.62,7.00,6.61,7.00,17483,121971
20170706,INSR,Oslo Børs,6.65,6.99,6.60,6.98,8006,54239
20170705,INSR,Oslo Børs,6.55,6.98,6.55,6.76,24875,166110
20170704,INSR,Oslo Børs,6.74,7.09,6.51,6.51,30528,202907
20170703,INSR,Oslo Børs,6.80,7.03,6.71,6.74,67701,464272
20170630,INSR,Oslo Børs,7.10,7.10,6.80,6.95,46059,314521
20170629,INSR,Oslo Børs,6.72,7.00,6.60,6.81,23154,158750
20170628,INSR,Oslo Børs,6.61,7.19,6.61,7.00,23302,161334
20170627,INSR,Oslo Børs,7.10,7.10,6.51,7.00,121060,853110
20170626,INSR,Oslo Børs,7.29,7.30,7.10,7.26,16625,119146
20170623,INSR,Oslo Børs,7.01,7.30,7.00,7.29,35667,251968
20170622,INSR,Oslo Børs,7.05,7.35,7.05,7.30,113850,830371
20170621,INSR,Oslo Børs,7.00,7.19,6.89,7.19,54943,383802
20170620,INSR,Oslo Børs,7.05,7.05,7.00,7.05,9006,63466
20170619,INSR,Oslo Børs,7.00,7.25,7.00,7.00,3871,27296
20170616,INSR,Oslo Børs,7.30,7.30,7.02,7.02,43407,310126
20170615,INSR,Oslo Børs,7.07,7.30,7.07,7.30,7745,56532
20170614,INSR,Oslo Børs,7.16,7.40,7.02,7.40,12536,90952
20170613,INSR,Oslo Børs,7.15,7.40,7.03,7.15,17125,124733
20170612,INSR,Oslo Børs,7.15,7.15,7.00,7.15,35667,252088
20170609,INSR,Oslo Børs,7.00,7.15,7.00,7.15,13870,98883
20170608,INSR,Oslo Børs,7.15,7.16,7.00,7.15,106040,750536
20170607,INSR,Oslo Børs,7.01,7.42,6.90,7.30,80344,575250
20170606,INSR,Oslo Børs,6.75,7.07,6.75,7.00,408701,2842659
20170602,INSR,Oslo Børs,7.00,7.00,6.80,6.80,5930,40409
20170601,INSR,Oslo Børs,6.89,7.00,6.29,6.85,146146,1018148
20170531,INSR,Oslo Børs,6.80,6.90,6.31,6.89,78817,537693
20170530,INSR,Oslo Børs,6.90,6.90,6.70,6.90,17029,117257
20170529,INSR,Oslo Børs,6.30,6.90,6.16,6.90,55992,364943
20170526,INSR,Oslo Børs,6.90,6.90,6.27,6.35,11695,78588
20170524,INSR,Oslo Børs,6.66,6.90,6.64,6.90,125529,849429
20170523,INSR,Oslo Børs,6.35,6.69,6.21,6.69,16689,105780
20170522,INSR,Oslo Børs,6.25,6.25,6.15,6.25,26495,165299
20170519,INSR,Oslo Børs,6.26,6.47,6.25,6.47,12108,76934
20170518,INSR,Oslo Børs,6.10,6.40,6.10,6.38,96664,594033
20170516,INSR,Oslo Børs,6.60,6.80,6.26,6.50,45503,302244
20170515,INSR,Oslo Børs,6.95,6.95,6.49,6.73,133390,896557
