quote_date,paper,exch,open,high,low,close,volume,value
20171010,ITE,Oslo Børs,6.20,6.24,6.10,6.23,38100,233470
20171009,ITE,Oslo Børs,6.19,6.39,6.19,6.20,24861,156619
20171006,ITE,Oslo Børs,6.15,6.24,6.15,6.24,8100,49960
20171005,ITE,Oslo Børs,6.00,6.19,6.00,6.19,24071,144761
20171004,ITE,Oslo Børs,6.09,6.19,5.90,6.18,21428,127378
20171003,ITE,Oslo Børs,6.04,6.09,6.00,6.09,4469,26894
20171002,ITE,Oslo Børs,5.81,6.19,5.81,6.00,57719,342686
20170929,ITE,Oslo Børs,6.20,6.25,6.20,6.21,81182,503739
20170928,ITE,Oslo Børs,6.40,6.50,6.25,6.50,44540,283545
20170927,ITE,Oslo Børs,6.29,6.39,6.18,6.29,62694,389527
20170926,ITE,Oslo Børs,6.50,6.50,6.20,6.27,29300,182875
20170925,ITE,Oslo Børs,6.60,6.60,6.57,6.57,1131,7462
20170922,ITE,Oslo Børs,6.65,6.65,6.65,6.65,20,133
20170921,ITE,Oslo Børs,6.42,6.70,6.34,6.45,89946,572497
20170919,ITE,Oslo Børs,6.50,6.50,6.50,6.50,400,2600
20170918,ITE,Oslo Børs,6.60,6.68,6.32,6.68,9325,60192
20170915,ITE,Oslo Børs,6.60,6.60,6.60,6.60,500,3300
20170914,ITE,Oslo Børs,6.70,6.70,6.70,6.70,20,134
20170913,ITE,Oslo Børs,6.70,6.75,6.70,6.75,200,1346
20170912,ITE,Oslo Børs,6.70,6.70,6.70,6.70,5939,39791
20170911,ITE,Oslo Børs,6.49,6.75,6.49,6.65,11352,74845
20170908,ITE,Oslo Børs,6.54,6.54,6.26,6.44,26565,167985
20170907,ITE,Oslo Børs,6.77,6.77,6.33,6.54,7020,45730
20170906,ITE,Oslo Børs,6.21,7.53,6.21,6.77,34463,246001
20170905,ITE,Oslo Børs,6.40,6.40,6.40,6.40,333,2131
20170904,ITE,Oslo Børs,6.23,6.49,6.23,6.49,2756,17555
20170901,ITE,Oslo Børs,6.50,6.50,6.50,6.50,1134,7371
20170831,ITE,Oslo Børs,6.40,6.57,6.40,6.50,16230,104662
20170830,ITE,Oslo Børs,6.40,6.40,6.31,6.40,13919,88907
20170829,ITE,Oslo Børs,6.57,6.57,6.24,6.46,51889,330951
20170828,ITE,Oslo Børs,6.85,6.85,6.43,6.58,50737,329776
20170825,ITE,Oslo Børs,6.70,6.88,6.62,6.85,6187,41233
20170824,ITE,Oslo Børs,6.74,6.95,6.52,6.65,58952,390467
20170823,ITE,Oslo Børs,6.77,6.84,6.75,6.84,2680,18185
20170822,ITE,Oslo Børs,7.00,7.00,6.72,6.86,46512,316355
20170821,ITE,Oslo Børs,7.14,7.15,7.10,7.10,10974,78398
20170818,ITE,Oslo Børs,7.04,7.15,7.04,7.15,32253,228685
20170816,ITE,Oslo Børs,7.05,7.05,7.05,7.05,9615,67785
20170815,ITE,Oslo Børs,7.05,7.10,7.05,7.09,9220,65023
20170814,ITE,Oslo Børs,7.00,7.10,7.00,7.10,37100,259799
20170809,ITE,Oslo Børs,7.02,7.05,7.02,7.02,12600,88705
20170808,ITE,Oslo Børs,7.02,7.10,6.78,7.10,11196,76461
20170807,ITE,Oslo Børs,7.02,7.02,7.02,7.02,850,5967
20170804,ITE,Oslo Børs,7.05,7.05,7.05,7.05,1400,9870
20170803,ITE,Oslo Børs,7.05,7.12,7.00,7.05,60600,428898
20170802,ITE,Oslo Børs,6.99,7.05,6.76,7.05,23232,161863
20170801,ITE,Oslo Børs,7.10,7.12,6.99,6.99,11809,82995
20170731,ITE,Oslo Børs,6.95,7.15,6.95,7.10,6655,46583
20170727,ITE,Oslo Børs,6.95,6.95,6.95,6.95,163,1132
20170726,ITE,Oslo Børs,6.83,6.95,6.83,6.95,2200,15050
20170725,ITE,Oslo Børs,6.90,6.95,6.90,6.95,1300,8974
20170724,ITE,Oslo Børs,6.73,6.95,6.73,6.90,3586,24670
20170720,ITE,Oslo Børs,6.80,6.94,6.72,6.94,5600,38476
20170718,ITE,Oslo Børs,6.90,6.95,6.80,6.95,10135,69603
20170717,ITE,Oslo Børs,6.85,6.95,6.73,6.86,17727,121641
20170714,ITE,Oslo Børs,6.86,6.87,6.86,6.86,2023,13892
20170713,ITE,Oslo Børs,6.86,6.86,6.86,6.86,277,1900
20170712,ITE,Oslo Børs,6.72,7.05,6.72,7.00,424,2967
20170711,ITE,Oslo Børs,6.97,7.10,6.97,7.06,1705,11957
20170710,ITE,Oslo Børs,7.04,7.05,6.95,7.00,10325,72564
20170707,ITE,Oslo Børs,7.05,7.05,6.85,7.05,5624,39358
20170706,ITE,Oslo Børs,7.11,7.20,6.99,6.99,2572,18119
20170705,ITE,Oslo Børs,7.10,7.10,6.99,6.99,5654,40082
20170704,ITE,Oslo Børs,6.90,7.00,6.70,7.00,12819,89250
20170703,ITE,Oslo Børs,7.00,7.00,6.80,7.00,3750,26249
20170630,ITE,Oslo Børs,7.13,7.13,6.85,7.00,6438,44539
20170629,ITE,Oslo Børs,7.14,7.19,6.99,7.00,33972,238973
20170628,ITE,Oslo Børs,6.93,7.20,6.93,7.00,119067,835017
20170627,ITE,Oslo Børs,6.99,6.99,6.92,6.93,8611,59794
20170626,ITE,Oslo Børs,6.50,7.05,6.50,6.99,65607,431763
20170623,ITE,Oslo Børs,6.46,6.59,6.40,6.45,10489,68350
20170622,ITE,Oslo Børs,6.49,6.60,6.40,6.46,67743,440478
20170621,ITE,Oslo Børs,6.49,6.49,6.44,6.49,3317052,21065347
20170620,ITE,Oslo Børs,6.41,6.58,6.27,6.54,14897,94860
20170619,ITE,Oslo Børs,6.59,6.59,6.00,6.59,75333,453964
20170616,ITE,Oslo Børs,6.31,6.60,6.31,6.59,3251,21169
20170615,ITE,Oslo Børs,6.55,6.60,6.55,6.59,1606,10542
20170614,ITE,Oslo Børs,6.70,6.70,6.44,6.59,10012,65618
20170613,ITE,Oslo Børs,6.70,6.70,6.38,6.55,17751,114808
20170612,ITE,Oslo Børs,6.80,6.89,6.35,6.70,110968,716387
20170607,ITE,Oslo Børs,6.94,6.94,6.46,6.94,4194,28616
20170606,ITE,Oslo Børs,6.99,6.99,6.26,6.88,10295,66714
20170602,ITE,Oslo Børs,6.97,7.00,6.62,7.00,22078,152293
