quote_date,paper,exch,open,high,low,close,volume,value
20170922,MEDI,Oslo Børs,68.00,68.50,67.00,68.50,4141,279792
20170921,MEDI,Oslo Børs,69.00,69.00,69.00,69.00,11242,774133
20170920,MEDI,Oslo Børs,69.00,69.00,69.00,69.00,2010,138690
20170918,MEDI,Oslo Børs,68.25,68.25,67.00,68.00,3825,257924
20170915,MEDI,Oslo Børs,68.50,68.75,68.00,68.00,4808,327883
20170914,MEDI,Oslo Børs,68.75,69.00,68.00,68.00,4575,313157
20170913,MEDI,Oslo Børs,69.00,69.00,68.75,68.75,4410,303920
20170912,MEDI,Oslo Børs,68.50,69.00,68.50,69.00,376,25868
20170911,MEDI,Oslo Børs,68.25,68.75,68.00,68.75,4037,276163
20170908,MEDI,Oslo Børs,69.75,69.75,68.25,68.25,3205,223247
20170907,MEDI,Oslo Børs,70.00,70.00,68.50,69.75,3265,228201
20170906,MEDI,Oslo Børs,70.50,71.50,70.50,71.50,504,35832
20170905,MEDI,Oslo Børs,73.50,73.50,70.00,70.00,46330,3286968
20170830,MEDI,Oslo Børs,74.00,74.00,74.00,74.00,999,73926
20170829,MEDI,Oslo Børs,73.75,74.00,73.75,74.00,611,45065
20170828,MEDI,Oslo Børs,71.50,73.75,71.50,73.75,391,28161
20170825,MEDI,Oslo Børs,73.75,73.75,73.50,73.75,1514,111357
20170824,MEDI,Oslo Børs,71.75,72.00,71.75,72.00,194,13948
20170823,MEDI,Oslo Børs,72.00,72.00,72.00,72.00,177,12744
20170822,MEDI,Oslo Børs,72.00,72.00,70.00,72.00,1748,125228
20170821,MEDI,Oslo Børs,72.00,73.00,71.00,71.00,3827,278266
20170818,MEDI,Oslo Børs,72.25,72.25,72.00,72.00,887,63998
20170816,MEDI,Oslo Børs,74.00,75.00,74.00,75.00,168,12495
20170815,MEDI,Oslo Børs,72.00,74.00,71.00,74.00,3489,249616
20170814,MEDI,Oslo Børs,73.00,73.00,73.00,73.00,108,7884
20170811,MEDI,Oslo Børs,75.00,76.00,75.00,76.00,5211,390857
20170810,MEDI,Oslo Børs,75.25,75.50,75.00,75.50,3625,272168
20170809,MEDI,Oslo Børs,76.00,79.00,75.00,75.00,100205,7624529
20170807,MEDI,Oslo Børs,76.00,76.00,76.00,76.00,9999,759924
20170804,MEDI,Oslo Børs,73.25,76.00,73.25,76.00,68,5008
20170803,MEDI,Oslo Børs,72.75,78.50,72.50,73.50,1326,99732
20170802,MEDI,Oslo Børs,75.00,75.00,73.50,75.00,332,24780
20170801,MEDI,Oslo Børs,74.00,75.00,74.00,75.00,647,48415
20170731,MEDI,Oslo Børs,76.75,76.75,72.50,75.00,601,45386
20170728,MEDI,Oslo Børs,77.00,77.00,77.00,77.00,70,5390
20170727,MEDI,Oslo Børs,78.00,79.75,78.00,79.75,30,2380
20170726,MEDI,Oslo Børs,76.00,76.00,76.00,76.00,200,15200
20170725,MEDI,Oslo Børs,76.25,76.25,76.25,76.25,329,25086
20170724,MEDI,Oslo Børs,76.25,76.25,76.25,76.25,102,7777
20170721,MEDI,Oslo Børs,78.00,78.00,77.75,78.00,600,46774
20170718,MEDI,Oslo Børs,78.00,78.25,78.00,78.25,1347,105094
20170714,MEDI,Oslo Børs,79.00,79.00,76.00,77.75,2177,166847
20170713,MEDI,Oslo Børs,79.25,79.25,79.25,79.25,7336,564894
20170710,MEDI,Oslo Børs,79.50,79.50,79.50,79.50,300,23900
20170707,MEDI,Oslo Børs,80.00,80.00,80.00,80.00,135,10800
20170706,MEDI,Oslo Børs,80.00,80.00,80.00,80.00,35,2800
20170705,MEDI,Oslo Børs,80.00,80.00,80.00,80.00,622,49760
20170704,MEDI,Oslo Børs,79.00,80.00,79.00,79.00,2815,224975
20170703,MEDI,Oslo Børs,79.50,79.50,79.25,79.25,1399,110970
20170630,MEDI,Oslo Børs,80.00,80.00,80.00,80.00,180,14400
20170628,MEDI,Oslo Børs,79.75,80.00,79.75,80.00,7560,604792
20170627,MEDI,Oslo Børs,79.50,80.00,79.00,80.00,23619,1877760
20170626,MEDI,Oslo Børs,79.50,79.50,79.50,79.50,90,7155
20170623,MEDI,Oslo Børs,80.00,80.00,79.00,79.50,5865,469021
20170622,MEDI,Oslo Børs,80.00,80.00,79.00,79.00,1448,115776
20170621,MEDI,Oslo Børs,80.00,81.00,80.00,80.00,2830,228338
20170620,MEDI,Oslo Børs,77.00,79.00,77.00,78.50,999,77747
20170619,MEDI,Oslo Børs,77.00,77.00,77.00,77.00,10246,788942
20170616,MEDI,Oslo Børs,77.00,77.00,77.00,77.00,2675,205975
20170615,MEDI,Oslo Børs,77.00,77.25,77.00,77.25,100780,7785245
20170613,MEDI,Oslo Børs,76.00,77.00,76.00,77.00,471,36222
20170612,MEDI,Oslo Børs,75.00,76.50,75.00,76.00,6976,530543
20170609,MEDI,Oslo Børs,77.00,77.50,77.00,77.00,9485,732685
20170608,MEDI,Oslo Børs,77.00,77.00,77.00,77.00,3150,242550
20170607,MEDI,Oslo Børs,77.50,77.50,77.00,77.50,4121,317757
20170606,MEDI,Oslo Børs,77.50,77.50,77.00,77.00,263,20277
20170602,MEDI,Oslo Børs,77.00,77.50,77.00,77.00,7409,570990
20170601,MEDI,Oslo Børs,76.50,76.50,76.50,76.50,166,12699
20170531,MEDI,Oslo Børs,78.00,78.00,75.75,76.00,4175,319811
20170530,MEDI,Oslo Børs,74.50,77.75,74.50,76.00,44079,3293324
20170529,MEDI,Oslo Børs,76.00,76.00,74.00,74.50,1882,142547
20170526,MEDI,Oslo Børs,73.50,75.00,73.50,75.00,3646,269826
20170524,MEDI,Oslo Børs,72.50,72.50,72.00,72.00,2255,162900
20170522,MEDI,Oslo Børs,72.50,72.50,72.50,72.50,17474,1266865
20170519,MEDI,Oslo Børs,71.50,72.50,71.00,71.00,16737,1204816
20170518,MEDI,Oslo Børs,71.50,72.00,71.00,72.00,2011,143387
20170516,MEDI,Oslo Børs,72.00,72.50,70.00,72.50,23281,1675903
20170512,MEDI,Oslo Børs,72.50,72.50,72.00,72.25,6389,461494
20170511,MEDI,Oslo Børs,72.00,72.50,72.00,72.50,82526,5982760
20170510,MEDI,Oslo Børs,72.00,73.00,72.00,72.00,290994,20967703
20170509,MEDI,Oslo Børs,70.50,72.00,70.50,72.00,2050,147502
20170508,MEDI,Oslo Børs,71.00,72.50,71.00,72.00,6783,488552
20170505,MEDI,Oslo Børs,71.00,71.00,69.25,71.00,5554,394176
20170504,MEDI,Oslo Børs,70.00,71.75,70.00,71.50,4193,300309
20170503,MEDI,Oslo Børs,72.50,72.50,70.00,70.00,2242,159214
20170502,MEDI,Oslo Børs,73.50,73.50,72.50,72.50,5677,414209
20170428,MEDI,Oslo Børs,71.00,74.00,71.00,74.00,6570,469030
20170427,MEDI,Oslo Børs,70.00,70.50,69.50,70.00,18512,1289533
20170426,MEDI,Oslo Børs,70.00,70.50,69.50,70.00,6641,464556
20170425,MEDI,Oslo Børs,69.75,70.00,69.75,70.00,3956,276857
20170424,MEDI,Oslo Børs,70.00,70.00,69.00,69.25,3122,217979
20170421,MEDI,Oslo Børs,67.50,69.75,67.50,69.75,1280,86801
20170420,MEDI,Oslo Børs,67.50,67.75,67.50,67.50,111000,7657989
20170419,MEDI,Oslo Børs,69.00,72.00,67.75,67.75,3684,257474
20170418,MEDI,Oslo Børs,67.25,67.25,66.00,67.00,6479,433199
20170412,MEDI,Oslo Børs,65.00,67.00,65.00,67.00,5748,383367
20170411,MEDI,Oslo Børs,67.00,67.00,65.25,65.25,185,12238
20170410,MEDI,Oslo Børs,63.00,65.00,63.00,65.00,3076,199604
20170407,MEDI,Oslo Børs,63.75,64.00,63.00,63.00,6592,417403
20170406,MEDI,Oslo Børs,61.50,63.75,61.50,63.00,141566,8831995
20170405,MEDI,Oslo Børs,61.50,61.50,61.50,61.50,61,3751
20170404,MEDI,Oslo Børs,62.00,63.00,62.00,62.25,68469,4292172
20170403,MEDI,Oslo Børs,62.50,62.75,62.50,62.75,22350,1407335
20170331,MEDI,Oslo Børs,62.50,62.50,62.25,62.50,2118,132333
20170330,MEDI,Oslo Børs,60.25,62.25,60.25,61.75,220832,13471547
20170329,MEDI,Oslo Børs,65.00,65.00,60.00,60.25,8346,510791
20170328,MEDI,Oslo Børs,65.00,65.00,63.00,63.00,5797,375874
20170327,MEDI,Oslo Børs,65.75,65.75,63.00,65.00,8926,580286
20170324,MEDI,Oslo Børs,67.50,67.50,66.25,66.50,972,64978
20170323,MEDI,Oslo Børs,65.00,67.50,65.00,67.50,10370,694580
20170322,MEDI,Oslo Børs,67.00,67.00,65.00,65.00,1971,131127
20170321,MEDI,Oslo Børs,68.50,68.50,67.50,68.00,7254,495079
20170320,MEDI,Oslo Børs,65.25,67.50,65.25,67.00,1950,130848
20170317,MEDI,Oslo Børs,67.50,67.75,65.00,67.50,164853,10356004
20170316,MEDI,Oslo Børs,69.50,70.00,68.25,68.25,5405,373242
20170315,MEDI,Oslo Børs,69.75,71.50,69.75,69.75,2737,192869
20170314,MEDI,Oslo Børs,72.00,72.00,68.00,69.50,5628,391003
20170313,MEDI,Oslo Børs,72.50,72.75,71.00,72.00,3034,217857
20170310,MEDI,Oslo Børs,68.25,72.00,68.25,71.25,163978,10871081
20170309,MEDI,Oslo Børs,70.00,70.00,68.50,68.50,10304,717021
20170308,MEDI,Oslo Børs,69.50,71.00,69.25,69.50,26528,1858117
20170307,MEDI,Oslo Børs,67.50,69.00,67.00,68.75,39401,2644183
20170306,MEDI,Oslo Børs,70.00,70.00,65.00,65.00,11410,748094
20170303,MEDI,Oslo Børs,60.50,65.00,60.50,65.00,55023,3363880
20170302,MEDI,Oslo Børs,64.00,66.00,60.00,61.00,11098,680492
20170301,MEDI,Oslo Børs,60.00,64.50,60.00,64.00,4180,259336
20170228,MEDI,Oslo Børs,65.00,65.00,64.00,64.50,337506,21937040
20170227,MEDI,Oslo Børs,66.50,66.50,65.00,65.50,130730,8687050
20170224,MEDI,Oslo Børs,68.00,69.50,67.50,68.25,1300,88390
20170223,MEDI,Oslo Børs,74.00,74.00,68.00,70.50,3164,220326
20170222,MEDI,Oslo Børs,71.50,71.50,71.00,71.00,1792,127378
20170221,MEDI,Oslo Børs,68.50,76.75,65.00,70.00,8150,564127
20170220,MEDI,Oslo Børs,75.25,75.50,68.00,68.00,7562,533016
20170217,MEDI,Oslo Børs,76.50,77.25,72.50,75.00,14342,1071044
20170216,MEDI,Oslo Børs,77.25,78.25,73.75,76.25,1106,84930
20170215,MEDI,Oslo Børs,77.50,78.25,77.25,77.25,11393,888011
20170214,MEDI,Oslo Børs,75.25,78.75,75.25,77.25,8676,669544
20170213,MEDI,Oslo Børs,73.00,75.00,72.50,75.00,11205,813995
20170210,MEDI,Oslo Børs,73.25,73.25,71.50,73.25,13568,984086
20170209,MEDI,Oslo Børs,73.50,73.50,73.25,73.25,2720,199857
20170208,MEDI,Oslo Børs,71.50,73.50,71.50,73.50,13603,986867
20170207,MEDI,Oslo Børs,71.50,71.50,71.50,71.50,935,66852
20170206,MEDI,Oslo Børs,72.50,72.50,71.50,71.50,40610,2943765
20170203,MEDI,Oslo Børs,73.50,73.50,72.00,72.50,1431,104135
20170202,MEDI,Oslo Børs,72.50,73.50,72.25,73.25,664,48278
20170201,MEDI,Oslo Børs,72.25,73.50,72.00,73.00,197256,14397866
20170131,MEDI,Oslo Børs,73.25,73.50,72.00,72.00,3720,270015
20170130,MEDI,Oslo Børs,73.50,73.50,73.25,73.25,105389,7745831
20170127,MEDI,Oslo Børs,73.00,73.25,73.00,73.25,18511,1351343
20170126,MEDI,Oslo Børs,72.50,73.00,72.50,73.00,3589,261576
20170125,MEDI,Oslo Børs,73.00,73.00,72.50,72.50,4720,343459
20170124,MEDI,Oslo Børs,74.75,74.75,72.50,72.50,3713,273911
20170123,MEDI,Oslo Børs,73.25,75.00,72.00,74.50,7184,527550
20170120,MEDI,Oslo Børs,73.00,73.50,73.00,73.50,831162,60675564
20170119,MEDI,Oslo Børs,73.00,73.00,72.00,73.00,206166,14919839
20170118,MEDI,Oslo Børs,72.00,72.00,72.00,72.00,18416,1325952
20170117,MEDI,Oslo Børs,72.50,73.50,72.50,73.00,16650,1207400
20170116,MEDI,Oslo Børs,73.50,73.50,73.00,73.00,99,7275
20170113,MEDI,Oslo Børs,72.50,75.00,72.50,74.00,4396,325299
20170112,MEDI,Oslo Børs,73.00,73.00,72.50,73.00,105626,7710628
20170111,MEDI,Oslo Børs,73.00,73.25,72.00,72.50,45392,3312885
20170110,MEDI,Oslo Børs,75.00,75.00,73.00,73.75,24130,1808815
20170109,MEDI,Oslo Børs,75.50,75.50,75.00,75.00,16699,1252517
20170106,MEDI,Oslo Børs,75.75,75.75,75.75,75.75,3638,275578
20170105,MEDI,Oslo Børs,75.25,77.00,75.00,77.00,13759,1033934
20170104,MEDI,Oslo Børs,73.00,74.50,73.00,74.50,14620,1080977
20170103,MEDI,Oslo Børs,74.50,75.00,74.50,74.50,2904,216948
20170102,MEDI,Oslo Børs,73.50,77.00,72.50,77.00,5863,430003
20161230,MEDI,Oslo Børs,72.75,77.00,72.00,73.50,1921,141757
20161229,MEDI,Oslo Børs,76.25,78.00,73.25,73.50,24213,1836728
20161228,MEDI,Oslo Børs,76.00,76.00,75.75,76.00,476,36168
20161227,MEDI,Oslo Børs,76.00,77.00,75.50,75.50,2531,193829
20161223,MEDI,Oslo Børs,75.00,77.00,75.00,77.00,1646,125050
20161222,MEDI,Oslo Børs,75.00,76.75,72.00,75.00,6281,458814
20161221,MEDI,Oslo Børs,76.00,76.00,74.00,74.00,23,1742
20161220,MEDI,Oslo Børs,77.00,77.00,77.00,77.00,10,770
20161219,MEDI,Oslo Børs,72.50,77.00,72.00,77.00,10987,821255
20161216,MEDI,Oslo Børs,74.00,75.00,72.00,75.00,28911,2165855
20161215,MEDI,Oslo Børs,76.25,77.00,73.00,77.00,146799,11294568
20161214,MEDI,Oslo Børs,75.00,77.00,75.00,76.00,473719,36475875
20161213,MEDI,Oslo Børs,75.00,77.00,75.00,77.00,1799,135123
20161212,MEDI,Oslo Børs,76.75,78.00,75.00,75.00,1128,86098
20161209,MEDI,Oslo Børs,77.50,77.75,75.00,76.25,1973,151381
20161208,MEDI,Oslo Børs,75.00,77.50,75.00,76.50,471,35562
20161207,MEDI,Oslo Børs,77.00,78.00,77.00,77.50,1209,93254
20161206,MEDI,Oslo Børs,76.00,78.00,75.50,77.75,730,56228
20161205,MEDI,Oslo Børs,78.00,78.50,77.75,78.25,312,24386
20161202,MEDI,Oslo Børs,75.00,78.75,73.00,78.75,5815,426344
20161201,MEDI,Oslo Børs,75.00,75.00,75.00,75.00,16018,1201350
20161130,MEDI,Oslo Børs,77.00,77.00,75.00,77.00,2731,210237
20161129,MEDI,Oslo Børs,75.00,75.00,74.00,75.00,486,36014
20161128,MEDI,Oslo Børs,75.00,76.00,74.75,75.00,3111,233671
20161125,MEDI,Oslo Børs,76.00,77.00,73.25,75.00,2690,204881
20161124,MEDI,Oslo Børs,76.00,76.75,75.50,76.25,3230,245812
20161123,MEDI,Oslo Børs,76.75,77.00,76.75,76.75,5250,404178
20161122,MEDI,Oslo Børs,78.00,78.00,76.75,78.00,15056,1167873
20161121,MEDI,Oslo Børs,78.50,78.50,76.75,78.50,7102,555826
20161118,MEDI,Oslo Børs,79.00,79.00,76.00,78.00,6248,488237
20161117,MEDI,Oslo Børs,80.00,80.00,74.50,80.00,19470,1512375
20161116,MEDI,Oslo Børs,80.50,83.75,79.00,80.00,12725,1026480
20161115,MEDI,Oslo Børs,73.00,84.00,73.00,78.00,3715,283188
20161114,MEDI,Oslo Børs,71.00,73.00,70.00,73.00,3396,243080
20161111,MEDI,Oslo Børs,70.00,71.00,68.50,71.00,4256,295419
20161110,MEDI,Oslo Børs,66.00,71.00,66.00,71.00,60829,4303220
20161109,MEDI,Oslo Børs,65.00,68.00,61.75,67.00,5066,330866
20161108,MEDI,Oslo Børs,68.25,68.25,68.00,68.00,1600,108851
20161107,MEDI,Oslo Børs,68.50,68.50,68.00,68.00,1126,76891
20161104,MEDI,Oslo Børs,69.50,69.50,67.50,69.00,1257,86743
20161103,MEDI,Oslo Børs,69.00,69.00,69.00,69.00,200406,13828014
20161102,MEDI,Oslo Børs,69.50,69.50,69.00,69.00,11254,776561
20161101,MEDI,Oslo Børs,68.25,69.50,68.00,69.00,4560,314658
20161031,MEDI,Oslo Børs,68.00,68.25,68.00,68.00,12812,871231
20161028,MEDI,Oslo Børs,69.00,69.00,68.00,68.00,16320,1110060
