quote_date,paper,exch,open,high,low,close,volume,value
20171013,MHG,Oslo Børs,162.70,165.40,162.70,164.90,2296630,378292846
20171012,MHG,Oslo Børs,160.30,164.00,160.30,163.00,2779004,452537565
20171011,MHG,Oslo Børs,160.00,161.70,159.40,160.30,2903930,464138289
20171010,MHG,Oslo Børs,157.50,160.80,157.40,160.40,1799669,287655701
20171009,MHG,Oslo Børs,157.20,157.60,156.60,157.50,1283304,201911653
20171006,MHG,Oslo Børs,159.00,159.00,156.10,156.80,2016484,317067607
20171005,MHG,Oslo Børs,159.70,161.40,158.80,159.00,2385321,381834953
20171004,MHG,Oslo Børs,156.70,159.80,156.70,159.20,2010038,319194167
20171003,MHG,Oslo Børs,156.10,157.20,155.70,156.80,1142288,178717972
20171002,MHG,Oslo Børs,158.00,158.50,156.40,156.40,1679004,263749937
20170929,MHG,Oslo Børs,156.80,158.00,155.50,157.50,1660351,260734314
20170928,MHG,Oslo Børs,154.70,156.80,153.10,156.50,1651270,256534762
20170927,MHG,Oslo Børs,156.00,156.00,152.90,154.00,1716786,264272062
20170926,MHG,Oslo Børs,157.10,157.10,155.10,155.80,1685608,262614134
20170925,MHG,Oslo Børs,154.50,157.80,154.40,157.00,2280316,357358624
20170922,MHG,Oslo Børs,153.20,154.70,152.40,154.60,1717797,262001148
20170921,MHG,Oslo Børs,154.00,154.20,152.50,153.00,1671601,255771057
20170920,MHG,Oslo Børs,154.00,154.10,153.00,153.70,2060227,317046251
20170919,MHG,Oslo Børs,152.70,154.80,152.60,154.50,1322343,203913545
20170918,MHG,Oslo Børs,154.30,155.00,152.90,153.40,1134201,174319490
20170915,MHG,Oslo Børs,152.80,154.90,152.60,153.80,3064575,471304300
20170914,MHG,Oslo Børs,153.20,154.20,152.40,153.20,1684209,257953288
20170913,MHG,Oslo Børs,153.40,154.30,152.60,154.10,1504859,231497774
20170912,MHG,Oslo Børs,153.20,153.60,152.40,153.10,1438176,220101143
20170911,MHG,Oslo Børs,151.40,153.30,151.10,153.00,2016055,307874114
20170908,MHG,Oslo Børs,151.40,151.50,149.60,150.80,2184443,329329626
20170907,MHG,Oslo Børs,153.30,153.80,151.10,151.40,2579076,391861071
20170906,MHG,Oslo Børs,153.90,154.00,152.50,153.10,1402211,214783359
20170905,MHG,Oslo Børs,153.30,155.00,152.90,154.50,1633480,251918584
20170904,MHG,Oslo Børs,151.80,153.40,151.70,153.30,1254456,191690855
20170901,MHG,Oslo Børs,151.50,152.60,149.80,152.40,2473097,374988270
20170831,MHG,Oslo Børs,151.70,155.70,150.90,154.10,4752582,732148547
20170830,MHG,Oslo Børs,152.00,152.60,149.00,152.10,3659059,553978218
20170829,MHG,Oslo Børs,151.00,152.20,150.10,151.50,3004661,454086278
20170828,MHG,Oslo Børs,152.00,152.90,151.10,151.30,1551464,235469091
20170825,MHG,Oslo Børs,155.00,155.00,151.20,152.00,2596818,396246579
20170824,MHG,Oslo Børs,153.60,156.30,150.20,155.70,5299319,812748407
20170823,MHG,Oslo Børs,157.90,157.90,156.40,157.00,1687972,265030471
