quote_date,paper,exch,open,high,low,close,volume,value
20171006,MONO-ME,Merkur,3.75,3.86,3.72,3.72,23502,88543
20171005,MONO-ME,Merkur,3.87,3.87,3.85,3.87,14200,54684
20171004,MONO-ME,Merkur,3.70,3.85,3.70,3.85,3100,11560
20171003,MONO-ME,Merkur,3.85,3.85,3.85,3.85,400,1540
20171002,MONO-ME,Merkur,3.85,3.85,3.80,3.85,47900,182987
20170929,MONO-ME,Merkur,3.85,3.87,3.85,3.87,17427,67213
20170928,MONO-ME,Merkur,3.86,3.86,3.65,3.85,5181,19592
20170927,MONO-ME,Merkur,3.86,3.86,3.65,3.86,25741,97579
20170926,MONO-ME,Merkur,3.86,3.86,3.86,3.86,200,772
20170925,MONO-ME,Merkur,3.90,3.90,3.70,3.80,20010,76008
20170922,MONO-ME,Merkur,3.85,3.90,3.80,3.90,43331,166307
20170921,MONO-ME,Merkur,3.85,3.89,3.80,3.85,56631,217660
20170920,MONO-ME,Merkur,3.90,3.90,3.85,3.85,38328,148432
20170919,MONO-ME,Merkur,3.83,3.89,3.80,3.88,25636,98868
20170918,MONO-ME,Merkur,3.89,3.89,3.82,3.82,76550,295054
20170915,MONO-ME,Merkur,3.76,3.90,3.76,3.89,137418,532738
20170914,MONO-ME,Merkur,3.90,3.90,3.75,3.85,108227,419731
20170913,MONO-ME,Merkur,3.90,3.90,3.87,3.87,20257,78702
20170912,MONO-ME,Merkur,3.70,3.90,3.70,3.88,188415,710231
20170911,MONO-ME,Merkur,3.65,3.70,3.60,3.70,31337,114840
20170908,MONO-ME,Merkur,3.41,3.70,3.41,3.70,35988,130649
20170907,MONO-ME,Merkur,3.70,3.80,3.65,3.70,143080,530436
20170906,MONO-ME,Merkur,3.70,3.70,3.65,3.69,64145,236161
20170905,MONO-ME,Merkur,3.72,3.83,3.72,3.72,115932,431487
20170904,MONO-ME,Merkur,3.50,3.85,3.50,3.84,10210,39138
20170901,MONO-ME,Merkur,3.80,3.85,3.75,3.85,29960,113793
20170831,MONO-ME,Merkur,3.85,3.85,3.80,3.80,123510,474213
20170830,MONO-ME,Merkur,3.80,3.89,3.80,3.87,135340,524246
20170829,MONO-ME,Merkur,3.80,3.88,3.80,3.88,72500,278023
20170828,MONO-ME,Merkur,3.90,3.90,3.80,3.88,45833,178137
20170825,MONO-ME,Merkur,3.82,3.90,3.80,3.80,161661,615039
20170824,MONO-ME,Merkur,3.80,3.90,3.80,3.86,65020,249378
20170823,MONO-ME,Merkur,3.85,3.90,3.80,3.90,68710,264680
20170822,MONO-ME,Merkur,3.90,3.90,3.85,3.90,217734,844476
20170821,MONO-ME,Merkur,3.80,3.90,3.80,3.82,176683,678072
20170818,MONO-ME,Merkur,4.00,4.00,3.82,3.90,381182,1502998
20170817,MONO-ME,Merkur,4.00,4.00,3.90,3.90,70400,278600
20170816,MONO-ME,Merkur,4.00,4.10,3.90,4.00,99590,397092
20170815,MONO-ME,Merkur,4.00,4.00,3.85,4.00,63457,252745
20170814,MONO-ME,Merkur,3.80,4.00,3.80,4.00,46765,183742
20170811,MONO-ME,Merkur,4.00,4.00,3.80,3.90,28017,106818
20170810,MONO-ME,Merkur,3.90,3.90,3.90,3.90,8000,31200
20170809,MONO-ME,Merkur,4.00,4.00,3.66,4.00,2603,10084
20170808,MONO-ME,Merkur,4.00,4.10,4.00,4.00,4510,18041
20170807,MONO-ME,Merkur,4.12,4.20,4.00,4.00,27133,110415
20170804,MONO-ME,Merkur,4.05,4.10,4.00,4.10,10686,42951
20170803,MONO-ME,Merkur,3.85,4.20,3.85,4.10,39700,161035
20170802,MONO-ME,Merkur,3.80,3.85,3.80,3.85,45521,174357
20170801,MONO-ME,Merkur,3.65,3.95,3.65,3.94,94910,355147
20170731,MONO-ME,Merkur,3.73,3.73,3.68,3.68,32988,121422
20170728,MONO-ME,Merkur,3.73,3.73,3.70,3.70,69100,257020
20170727,MONO-ME,Merkur,3.70,3.73,3.70,3.73,4751,17610
20170726,MONO-ME,Merkur,3.73,3.73,3.70,3.73,25240,93395
20170725,MONO-ME,Merkur,3.70,3.73,3.60,3.72,10310,37688
20170724,MONO-ME,Merkur,3.60,3.74,3.60,3.70,34160,126486
20170721,MONO-ME,Merkur,3.66,3.74,3.66,3.72,21400,79784
20170720,MONO-ME,Merkur,3.74,3.74,3.66,3.66,20249,74352
20170719,MONO-ME,Merkur,3.70,3.75,3.70,3.75,31210,115477
20170717,MONO-ME,Merkur,3.75,3.75,3.65,3.75,16860,61725
20170714,MONO-ME,Merkur,3.70,3.75,3.65,3.75,28400,105910
20170713,MONO-ME,Merkur,3.75,3.75,3.70,3.70,54985,204862
20170712,MONO-ME,Merkur,3.70,3.75,3.70,3.75,1360,5032
20170711,MONO-ME,Merkur,3.80,3.80,3.64,3.75,62310,232572
20170710,MONO-ME,Merkur,3.80,3.80,3.60,3.70,62178,226681
20170707,MONO-ME,Merkur,3.84,3.84,3.75,3.84,10920,41041
20170706,MONO-ME,Merkur,3.80,3.84,3.80,3.84,19110,72618
20170705,MONO-ME,Merkur,3.75,3.80,3.75,3.80,10000,37860
20170704,MONO-ME,Merkur,3.80,3.87,3.50,3.75,12500,46926
20170703,MONO-ME,Merkur,3.70,3.80,3.70,3.80,5385,20197
20170630,MONO-ME,Merkur,3.74,3.74,3.66,3.74,4910,18203
20170629,MONO-ME,Merkur,3.70,3.80,3.61,3.75,36370,134850
20170628,MONO-ME,Merkur,3.65,3.70,3.60,3.70,123990,449711
20170627,MONO-ME,Merkur,3.70,3.70,3.70,3.70,110785,409904
20170626,MONO-ME,Merkur,3.75,3.75,3.60,3.70,12100,44305
20170623,MONO-ME,Merkur,3.70,3.75,3.70,3.75,30010,111037
20170622,MONO-ME,Merkur,3.75,3.75,3.75,3.75,160000,600000
20170621,MONO-ME,Merkur,3.78,3.78,3.78,3.78,155530,587903
20170620,MONO-ME,Merkur,3.85,3.85,3.65,3.75,377430,1414821
20170619,MONO-ME,Merkur,3.73,3.75,3.73,3.75,2000,7470
20170616,MONO-ME,Merkur,3.75,3.75,3.75,3.75,500,1875
20170615,MONO-ME,Merkur,3.75,3.75,3.65,3.75,54960,201014
