quote_date,paper,exch,open,high,low,close,volume,value
20171011,NANO,Oslo Børs,82.60,82.95,79.80,82.25,147918,12098903
20171010,NANO,Oslo Børs,82.30,83.00,80.90,82.60,167465,13725270
20171009,NANO,Oslo Børs,82.30,83.10,81.55,82.10,114035,9383409
20171006,NANO,Oslo Børs,82.00,82.70,81.70,82.20,44585,3666092
20171005,NANO,Oslo Børs,82.95,82.95,81.30,82.90,99638,8176680
20171004,NANO,Oslo Børs,82.75,83.50,81.80,82.95,94881,7830383
20171003,NANO,Oslo Børs,84.25,85.95,82.10,83.20,290081,24322891
20171002,NANO,Oslo Børs,80.00,84.95,78.65,84.00,336632,27718194
20170929,NANO,Oslo Børs,78.70,80.00,78.10,80.00,99767,7880136
20170928,NANO,Oslo Børs,79.65,79.90,78.50,78.75,157763,12438283
20170927,NANO,Oslo Børs,81.00,81.00,78.45,79.65,217078,17379834
20170926,NANO,Oslo Børs,81.75,82.05,80.75,80.85,145915,11853388
20170925,NANO,Oslo Børs,83.00,83.00,81.15,81.75,119275,9785546
20170922,NANO,Oslo Børs,83.60,83.60,81.70,82.10,107678,8871884
20170921,NANO,Oslo Børs,81.50,83.60,81.50,83.50,136566,11320544
20170920,NANO,Oslo Børs,81.50,81.70,80.15,81.10,111384,8985212
20170919,NANO,Oslo Børs,82.30,82.75,80.80,81.45,99534,8118149
20170918,NANO,Oslo Børs,85.00,85.05,82.20,82.30,127672,10689143
20170915,NANO,Oslo Børs,85.40,86.25,84.10,85.50,190048,16178170
20170914,NANO,Oslo Børs,83.60,87.95,83.60,85.40,360532,30710314
20170913,NANO,Oslo Børs,80.80,84.00,80.80,83.10,200577,16537594
20170912,NANO,Oslo Børs,80.05,81.20,79.50,80.80,81423,6573616
20170911,NANO,Oslo Børs,79.95,81.80,78.20,81.35,110979,8946173
20170908,NANO,Oslo Børs,82.20,82.20,79.85,80.00,137872,11105546
20170907,NANO,Oslo Børs,82.15,83.15,81.90,82.20,84628,6957862
20170906,NANO,Oslo Børs,82.10,83.40,82.05,82.10,90106,7434255
20170905,NANO,Oslo Børs,82.00,82.50,81.15,82.35,162255,13295730
20170904,NANO,Oslo Børs,83.75,83.75,80.60,81.05,214890,17534861
20170901,NANO,Oslo Børs,80.80,84.25,80.60,83.90,291049,24222966
20170831,NANO,Oslo Børs,77.00,82.55,76.60,81.90,368664,29634428
20170830,NANO,Oslo Børs,76.95,77.50,76.60,76.85,115865,8913154
20170829,NANO,Oslo Børs,77.50,77.65,76.55,76.75,188064,14472354
20170828,NANO,Oslo Børs,78.35,78.60,76.70,77.80,143025,11079950
20170825,NANO,Oslo Børs,79.50,79.95,77.35,78.95,151010,11885345
20170824,NANO,Oslo Børs,77.00,79.50,76.20,79.50,244037,18943130
20170823,NANO,Oslo Børs,81.00,81.50,75.30,76.15,376344,29062663
20170822,NANO,Oslo Børs,77.00,80.45,75.80,79.30,189418,14875437
20170821,NANO,Oslo Børs,81.10,81.90,77.00,77.70,275320,21705874
20170818,NANO,Oslo Børs,83.00,83.65,80.80,81.05,167176,13627109
20170817,NANO,Oslo Børs,83.50,85.05,81.40,83.70,152385,12775433
20170816,NANO,Oslo Børs,85.00,85.50,82.60,83.55,192192,16036861
20170815,NANO,Oslo Børs,84.75,86.20,84.20,85.00,145312,12359856
20170814,NANO,Oslo Børs,82.00,85.45,80.95,84.10,263721,22003358
20170811,NANO,Oslo Børs,86.40,86.40,81.60,82.05,315482,26395550
20170810,NANO,Oslo Børs,87.00,89.40,86.05,86.75,183620,16108883
20170809,NANO,Oslo Børs,87.75,88.90,84.75,86.90,261221,22565903
20170808,NANO,Oslo Børs,89.60,92.95,86.75,87.25,542634,49087580
20170807,NANO,Oslo Børs,84.45,89.30,84.45,88.30,302004,26296468
20170804,NANO,Oslo Børs,84.15,84.95,83.40,84.45,150824,12694289
20170803,NANO,Oslo Børs,84.90,84.90,83.20,84.00,148389,12450888
20170802,NANO,Oslo Børs,84.45,85.30,83.75,84.30,168538,14230015
20170801,NANO,Oslo Børs,86.70,86.70,82.70,83.25,260561,21997666
20170731,NANO,Oslo Børs,81.40,84.40,81.40,83.85,194743,16168131
20170728,NANO,Oslo Børs,79.90,83.10,78.70,81.05,238700,19357828
20170727,NANO,Oslo Børs,80.15,85.00,78.75,79.90,540233,44234948
20170726,NANO,Oslo Børs,74.50,81.90,73.05,81.50,322040,24898579
20170725,NANO,Oslo Børs,72.55,74.25,72.55,74.20,146220,10716503
20170724,NANO,Oslo Børs,73.70,75.10,72.15,72.50,186388,13712920
20170721,NANO,Oslo Børs,71.55,73.40,71.50,73.30,145520,10524407
20170720,NANO,Oslo Børs,70.00,71.90,70.00,71.15,172085,12249944
20170719,NANO,Oslo Børs,69.80,70.50,68.60,69.60,257415,17931986
20170718,NANO,Oslo Børs,72.00,72.00,69.40,69.80,269539,18915810
20170717,NANO,Oslo Børs,73.30,73.45,71.15,72.15,228335,16425716
20170714,NANO,Oslo Børs,74.75,74.80,73.30,73.30,174083,12841555
20170713,NANO,Oslo Børs,73.00,76.50,72.75,74.75,289706,21687886
20170712,NANO,Oslo Børs,70.40,73.75,70.20,72.50,201101,14536930
20170711,NANO,Oslo Børs,70.05,71.50,68.70,70.00,272229,19069212
20170710,NANO,Oslo Børs,73.00,73.00,70.20,70.40,185627,13269777
20170707,NANO,Oslo Børs,73.95,73.95,71.30,73.00,250630,18272300
20170706,NANO,Oslo Børs,76.30,77.00,73.10,73.95,352188,26161931
20170705,NANO,Oslo Børs,68.50,75.90,66.40,75.85,1004625,72932767
20170704,NANO,Oslo Børs,72.70,73.00,67.10,68.70,970874,67322169
20170703,NANO,Oslo Børs,77.10,77.20,72.00,72.75,618488,45518198
20170630,NANO,Oslo Børs,77.00,77.80,76.35,76.90,227787,17550727
20170629,NANO,Oslo Børs,79.00,79.45,77.00,77.00,263736,20527824
20170628,NANO,Oslo Børs,78.00,79.80,76.50,78.95,305876,24026702
20170627,NANO,Oslo Børs,81.70,81.75,75.60,78.10,666649,52416169
20170626,NANO,Oslo Børs,86.55,86.55,80.95,81.30,352944,29373459
20170623,NANO,Oslo Børs,86.25,87.75,85.55,85.55,159981,13787920
20170622,NANO,Oslo Børs,84.45,87.50,83.55,86.25,383726,33080680
20170621,NANO,Oslo Børs,86.00,86.00,82.50,84.45,362024,30406707
20170620,NANO,Oslo Børs,88.50,88.75,86.15,86.15,266871,23246795
20170619,NANO,Oslo Børs,86.50,88.95,84.00,88.25,435479,37787160
20170616,NANO,Oslo Børs,92.00,92.05,84.60,86.90,886472,77788730
20170615,NANO,Oslo Børs,88.50,93.50,87.00,91.25,1207702,109041462
