quote_date,paper,exch,open,high,low,close,volume,value
20171011,NAVA,Oslo Børs,11.75,11.75,11.45,11.60,4379,50683
20171010,NAVA,Oslo Børs,11.00,11.70,10.90,11.00,23807,263990
20171009,NAVA,Oslo Børs,11.45,11.45,10.60,10.60,2770,29654
20171006,NAVA,Oslo Børs,11.45,11.50,10.60,11.30,3293,36494
20171004,NAVA,Oslo Børs,11.00,11.65,11.00,11.45,1269,14565
20171003,NAVA,Oslo Børs,11.25,11.60,10.95,11.00,6200,69153
20171002,NAVA,Oslo Børs,11.20,11.25,11.00,11.25,2221,24716
20170929,NAVA,Oslo Børs,11.00,11.25,11.00,11.20,2200,24329
20170928,NAVA,Oslo Børs,10.30,11.40,10.30,11.00,21522,233273
20170927,NAVA,Oslo Børs,10.90,11.95,10.70,10.70,18478,205509
20170926,NAVA,Oslo Børs,10.80,11.00,10.80,11.00,5320,57848
20170925,NAVA,Oslo Børs,10.60,10.80,10.60,10.80,300,3230
20170922,NAVA,Oslo Børs,10.00,10.90,10.00,10.60,67977,723033
20170921,NAVA,Oslo Børs,10.15,10.75,9.99,10.00,8700,88222
20170920,NAVA,Oslo Børs,10.40,10.40,10.30,10.30,1300,13420
20170919,NAVA,Oslo Børs,10.80,10.80,10.30,10.30,700,7360
20170918,NAVA,Oslo Børs,10.45,10.85,10.25,10.25,1190,12457
20170915,NAVA,Oslo Børs,10.00,10.25,9.99,9.99,3500,35016
20170914,NAVA,Oslo Børs,9.97,9.97,9.97,9.97,1500,14955
20170913,NAVA,Oslo Børs,10.00,10.20,10.00,10.20,4100,41090
20170911,NAVA,Oslo Børs,10.00,10.25,10.00,10.25,1100,11025
20170908,NAVA,Oslo Børs,10.00,10.40,10.00,10.40,1200,12260
20170907,NAVA,Oslo Børs,10.20,10.20,9.80,10.15,5388,53413
20170906,NAVA,Oslo Børs,10.20,10.20,9.95,9.95,7411,74385
20170905,NAVA,Oslo Børs,10.00,10.05,10.00,10.05,3218,32190
20170904,NAVA,Oslo Børs,10.60,10.60,10.00,10.00,13131,132812
20170901,NAVA,Oslo Børs,10.85,10.90,10.30,10.30,37082,385998
20170831,NAVA,Oslo Børs,10.75,10.95,10.60,10.85,2069,22294
20170830,NAVA,Oslo Børs,10.70,11.30,10.40,10.60,18338,196060
20170829,NAVA,Oslo Børs,11.15,11.40,10.30,10.30,15707,165668
20170828,NAVA,Oslo Børs,11.15,11.70,11.00,11.40,6175,68325
20170825,NAVA,Oslo Børs,11.05,11.90,11.00,11.00,28243,323342
20170824,NAVA,Oslo Børs,11.10,11.10,10.20,11.00,13020,137775
20170823,NAVA,Oslo Børs,10.80,10.95,10.55,10.95,11226,121847
20170822,NAVA,Oslo Børs,10.50,10.90,10.30,10.80,20640,219734
20170821,NAVA,Oslo Børs,10.70,10.75,9.50,10.65,25747,270269
20170818,NAVA,Oslo Børs,10.25,10.85,10.15,10.70,7552,78197
20170817,NAVA,Oslo Børs,10.30,10.40,9.90,10.40,35454,359972
20170816,NAVA,Oslo Børs,10.45,11.00,10.30,10.40,13819,145213
20170815,NAVA,Oslo Børs,11.00,11.20,10.50,10.50,19356,211992
20170814,NAVA,Oslo Børs,11.20,11.20,10.65,11.10,1900,20643
20170811,NAVA,Oslo Børs,11.10,11.10,11.10,11.10,300,3330
20170810,NAVA,Oslo Børs,11.15,11.15,10.75,11.00,2700,29830
20170809,NAVA,Oslo Børs,11.15,11.15,11.10,11.15,9379,104517
20170808,NAVA,Oslo Børs,10.75,11.15,10.70,11.15,10056,109340
20170807,NAVA,Oslo Børs,11.15,11.15,10.90,11.15,5800,64095
20170804,NAVA,Oslo Børs,11.30,11.30,11.30,11.30,296,3344
20170803,NAVA,Oslo Børs,11.10,11.15,11.00,11.15,12055,133733
20170802,NAVA,Oslo Børs,11.00,11.15,10.80,11.15,25144,275216
20170801,NAVA,Oslo Børs,11.00,11.00,10.50,11.00,20743,223883
20170731,NAVA,Oslo Børs,11.45,11.45,10.90,11.10,1980,21820
20170728,NAVA,Oslo Børs,11.30,11.45,10.65,10.90,50029,558456
20170727,NAVA,Oslo Børs,10.40,11.35,10.25,10.80,25898,279444
20170726,NAVA,Oslo Børs,11.20,11.20,10.20,10.30,64530,681682
20170725,NAVA,Oslo Børs,11.35,11.70,10.90,11.70,21572,241179
20170724,NAVA,Oslo Børs,11.90,11.90,11.90,11.90,300,3570
20170721,NAVA,Oslo Børs,10.75,11.55,10.75,11.55,11245,125200
20170720,NAVA,Oslo Børs,11.05,11.20,10.60,10.75,35231,379501
20170719,NAVA,Oslo Børs,11.20,12.00,11.20,11.50,18388,208836
20170718,NAVA,Oslo Børs,12.50,12.50,11.00,11.20,34245,384499
20170717,NAVA,Oslo Børs,12.50,12.50,12.50,12.50,212,2650
20170713,NAVA,Oslo Børs,12.30,12.30,11.30,12.15,2625,31322
20170712,NAVA,Oslo Børs,11.90,12.30,11.90,12.00,17810,218143
20170710,NAVA,Oslo Børs,12.30,12.30,12.30,12.30,3200,39360
20170707,NAVA,Oslo Børs,12.45,12.45,12.00,12.30,28930,354432
20170706,NAVA,Oslo Børs,10.75,13.20,10.75,13.00,32459,377735
20170703,NAVA,Oslo Børs,10.95,10.95,10.95,10.95,10,109
20170630,NAVA,Oslo Børs,10.50,10.95,10.50,10.95,1501,16435
20170629,NAVA,Oslo Børs,10.95,10.95,10.75,10.95,11000,119241
20170628,NAVA,Oslo Børs,10.60,11.00,10.60,11.00,1138,12318
20170627,NAVA,Oslo Børs,11.25,11.25,11.25,11.25,300,3375
20170626,NAVA,Oslo Børs,11.00,11.00,10.80,11.00,4003,43908
20170623,NAVA,Oslo Børs,11.30,11.30,10.50,10.80,23240,245512
20170622,NAVA,Oslo Børs,10.95,11.35,10.95,11.00,8400,92720
20170621,NAVA,Oslo Børs,11.00,11.05,10.45,10.85,16499,180226
20170620,NAVA,Oslo Børs,11.50,11.65,11.50,11.65,600,6915
20170619,NAVA,Oslo Børs,11.75,11.75,11.10,11.20,17094,191033
20170616,NAVA,Oslo Børs,11.65,11.75,11.65,11.75,300,3496
20170614,NAVA,Oslo Børs,11.40,11.70,11.40,11.40,14700,169446
20170613,NAVA,Oslo Børs,11.15,11.50,11.05,11.35,6491,73181
20170612,NAVA,Oslo Børs,11.50,11.75,11.15,11.70,8285,93677
20170609,NAVA,Oslo Børs,11.65,11.90,11.65,11.90,4668,54762
20170607,NAVA,Oslo Børs,11.90,11.90,11.90,11.90,300,3570
20170606,NAVA,Oslo Børs,12.15,12.15,10.70,11.70,41523,469285
20170602,NAVA,Oslo Børs,12.45,12.55,11.70,12.35,4375,54305
20170601,NAVA,Oslo Børs,12.70,12.70,11.55,12.40,12606,154386
20170531,NAVA,Oslo Børs,12.20,12.95,12.10,12.70,53491,673026
20170530,NAVA,Oslo Børs,11.40,12.20,11.35,12.00,58919,694734
20170529,NAVA,Oslo Børs,10.35,10.50,10.10,10.40,16956,176451
20170526,NAVA,Oslo Børs,10.10,10.50,10.00,10.40,40192,413089
20170524,NAVA,Oslo Børs,10.75,10.75,9.90,10.10,50120,507846
20170523,NAVA,Oslo Børs,10.95,10.95,10.40,10.55,15276,162162
20170522,NAVA,Oslo Børs,11.80,12.00,10.55,10.75,96913,1060333
20170519,NAVA,Oslo Børs,11.50,12.00,11.15,11.70,50337,579378
20170516,NAVA,Oslo Børs,12.00,12.30,12.00,12.20,9856,119079
20170515,NAVA,Oslo Børs,12.30,12.50,12.25,12.30,30020,370130
20170512,NAVA,Oslo Børs,12.95,12.95,12.15,12.50,37695,467730
20170511,NAVA,Oslo Børs,12.65,13.00,12.50,12.90,10746,137189
20170510,NAVA,Oslo Børs,13.00,13.00,12.65,13.00,7545,96564
20170509,NAVA,Oslo Børs,13.30,13.30,12.55,13.00,52776,685413
20170508,NAVA,Oslo Børs,14.35,14.45,13.40,14.10,22912,314523
20170505,NAVA,Oslo Børs,14.40,14.40,13.80,14.00,24652,348158
20170504,NAVA,Oslo Børs,13.85,14.40,13.60,14.00,24852,349261
20170503,NAVA,Oslo Børs,13.90,14.05,13.50,13.85,14847,201613
20170502,NAVA,Oslo Børs,13.00,14.45,13.00,13.90,41707,568050
20170428,NAVA,Oslo Børs,13.10,13.45,12.90,13.00,71053,924852
20170427,NAVA,Oslo Børs,14.45,14.50,13.20,13.40,93950,1310818
20170426,NAVA,Oslo Børs,14.30,14.45,13.95,14.45,28612,402288
20170425,NAVA,Oslo Børs,13.60,14.30,13.60,14.15,34536,481019
20170424,NAVA,Oslo Børs,13.25,13.60,13.25,13.60,3929,52905
20170421,NAVA,Oslo Børs,13.65,13.65,13.05,13.05,7278,96828
20170420,NAVA,Oslo Børs,13.25,13.25,12.70,13.20,14617,188761
20170419,NAVA,Oslo Børs,13.20,13.40,13.15,13.25,10655,140293
20170418,NAVA,Oslo Børs,13.00,13.90,13.00,13.75,19804,264884
20170412,NAVA,Oslo Børs,13.40,13.75,13.35,13.40,7195,96720
20170411,NAVA,Oslo Børs,13.35,14.00,13.30,14.00,7331,99459
20170410,NAVA,Oslo Børs,13.80,14.00,13.70,14.00,11505,158566
20170407,NAVA,Oslo Børs,12.90,13.80,12.90,13.80,78241,1055888
20170406,NAVA,Oslo Børs,13.10,13.15,13.10,13.15,1000,13105
20170405,NAVA,Oslo Børs,12.90,12.90,12.90,12.90,831,10719
20170404,NAVA,Oslo Børs,13.15,13.15,13.10,13.15,510,6701
20170403,NAVA,Oslo Børs,13.40,13.40,13.15,13.15,493,6557
20170331,NAVA,Oslo Børs,13.00,13.20,12.00,12.75,39866,503759
20170330,NAVA,Oslo Børs,13.20,13.20,12.60,12.60,2826,35984
20170329,NAVA,Oslo Børs,12.60,13.20,12.60,13.00,5860,75231
20170328,NAVA,Oslo Børs,12.80,13.10,11.95,12.60,10000,124823
20170327,NAVA,Oslo Børs,13.10,13.45,12.70,13.25,16940,222633
20170324,NAVA,Oslo Børs,13.45,13.85,13.00,13.25,6961,91432
20170323,NAVA,Oslo Børs,13.70,13.75,13.15,13.20,11517,154068
20170320,NAVA,Oslo Børs,13.50,13.95,13.50,13.95,2462,33874
20170317,NAVA,Oslo Børs,13.45,13.95,13.10,13.95,13021,174979
20170316,NAVA,Oslo Børs,13.30,13.80,13.25,13.40,6930,92765
20170315,NAVA,Oslo Børs,13.50,13.50,13.30,13.50,40465,544777
20170314,NAVA,Oslo Børs,13.30,13.95,13.20,13.40,11215,149061
20170313,NAVA,Oslo Børs,13.45,13.50,13.35,13.35,9270,124289
20170310,NAVA,Oslo Børs,13.45,13.75,12.80,13.50,20000,263212
20170309,NAVA,Oslo Børs,13.40,13.45,13.40,13.45,3416,45863
20170308,NAVA,Oslo Børs,13.75,13.75,13.60,13.60,1524,20832
20170306,NAVA,Oslo Børs,13.70,13.70,13.45,13.70,2096,28344
20170303,NAVA,Oslo Børs,13.85,13.85,13.00,13.55,18888,246836
20170302,NAVA,Oslo Børs,13.95,13.95,13.15,13.50,10050,134891
20170301,NAVA,Oslo Børs,14.00,14.00,13.00,13.75,53494,731829
20170228,NAVA,Oslo Børs,13.40,13.95,13.40,13.95,10484,144510
20170227,NAVA,Oslo Børs,13.85,14.00,13.50,13.60,6774,92950
20170224,NAVA,Oslo Børs,13.15,13.20,12.75,13.20,4903,64094
20170223,NAVA,Oslo Børs,13.20,13.20,13.00,13.20,6050,79360
20170222,NAVA,Oslo Børs,13.10,13.20,13.10,13.20,14274,187450
20170221,NAVA,Oslo Børs,12.65,13.20,12.65,13.15,13288,173230
20170220,NAVA,Oslo Børs,13.20,13.25,12.85,13.25,34527,453733
20170217,NAVA,Oslo Børs,12.70,13.30,12.45,13.00,25629,330095
20170216,NAVA,Oslo Børs,13.40,13.40,12.55,12.70,32688,415327
20170215,NAVA,Oslo Børs,13.50,13.85,12.90,13.25,49599,664249
20170214,NAVA,Oslo Børs,12.30,13.90,12.05,13.50,108206,1408119
20170213,NAVA,Oslo Børs,12.45,12.50,12.45,12.45,65185,814564
20170210,NAVA,Oslo Børs,12.00,12.75,11.95,12.65,15341,188407
20170209,NAVA,Oslo Børs,12.45,12.55,12.00,12.50,14052,174730
20170208,NAVA,Oslo Børs,12.25,12.50,12.00,12.25,5400,66348
20170207,NAVA,Oslo Børs,12.30,12.55,12.00,12.00,9677,117885
20170206,NAVA,Oslo Børs,12.60,12.60,12.00,12.00,5940,71769
20170203,NAVA,Oslo Børs,12.40,12.65,12.40,12.55,7954,99864
20170202,NAVA,Oslo Børs,12.60,12.60,12.00,12.40,6981,86321
20170201,NAVA,Oslo Børs,12.50,12.70,12.35,12.55,12071,150822
20170131,NAVA,Oslo Børs,12.80,12.80,11.75,12.30,29218,355818
20170130,NAVA,Oslo Børs,12.15,12.70,12.15,12.45,13987,172652
20170127,NAVA,Oslo Børs,12.15,12.15,12.10,12.10,2373,28751
20170126,NAVA,Oslo Børs,12.25,12.55,12.00,12.00,14946,182972
20170125,NAVA,Oslo Børs,11.90,12.40,11.90,12.15,15878,191418
20170124,NAVA,Oslo Børs,12.60,12.70,12.10,12.55,39531,484570
20170123,NAVA,Oslo Børs,13.10,13.10,12.05,12.60,29176,359630
20170120,NAVA,Oslo Børs,13.00,13.30,12.80,13.10,116184,1517946
20170119,NAVA,Oslo Børs,12.85,12.90,12.85,12.85,2809,36124
20170118,NAVA,Oslo Børs,12.90,12.90,12.60,12.90,29273,374392
20170117,NAVA,Oslo Børs,12.90,12.90,12.85,12.90,9517,122579
20170116,NAVA,Oslo Børs,13.00,13.25,12.95,12.95,4304,56289
20170113,NAVA,Oslo Børs,13.05,13.05,12.90,13.00,16965,219926
20170112,NAVA,Oslo Børs,12.95,13.00,12.95,13.00,15238,197994
20170111,NAVA,Oslo Børs,12.85,13.00,12.30,13.00,8873,112335
20170110,NAVA,Oslo Børs,12.40,12.95,12.30,12.90,18408,230885
20170109,NAVA,Oslo Børs,12.80,13.00,12.50,12.85,7619,98184
20170106,NAVA,Oslo Børs,12.95,13.10,12.05,12.90,20525,258421
20170105,NAVA,Oslo Børs,12.30,13.00,12.30,13.00,4836,60314
20170102,NAVA,Oslo Børs,12.10,13.10,12.10,13.10,460,6001
20161230,NAVA,Oslo Børs,13.00,13.10,12.30,13.10,8118,104797
20161229,NAVA,Oslo Børs,12.20,13.00,12.05,12.30,9523,116594
