quote_date,paper,exch,open,high,low,close,volume,value
20170922,NEL,Oslo Børs,2.54,2.80,2.50,2.70,29978677,79871287
20170921,NEL,Oslo Børs,2.50,2.51,2.46,2.47,4434753,10996321
20170920,NEL,Oslo Børs,2.53,2.53,2.47,2.48,5267811,13189626
20170919,NEL,Oslo Børs,2.60,2.60,2.52,2.55,5788942,14836874
20170918,NEL,Oslo Børs,2.52,2.59,2.51,2.56,7107249,18125832
20170915,NEL,Oslo Børs,2.48,2.50,2.45,2.48,2888424,7152224
20170914,NEL,Oslo Børs,2.51,2.51,2.46,2.48,2071659,5141809
20170913,NEL,Oslo Børs,2.50,2.51,2.46,2.50,2396372,5955540
20170912,NEL,Oslo Børs,2.59,2.60,2.48,2.48,5949110,15002040
20170911,NEL,Oslo Børs,2.43,2.59,2.42,2.56,11773397,29736642
20170908,NEL,Oslo Børs,2.43,2.46,2.40,2.43,2835297,6878910
20170907,NEL,Oslo Børs,2.47,2.49,2.42,2.43,2568020,6285354
20170906,NEL,Oslo Børs,2.46,2.50,2.45,2.46,2622379,6484592
20170905,NEL,Oslo Børs,2.40,2.54,2.37,2.50,4796624,11763225
20170904,NEL,Oslo Børs,2.37,2.44,2.36,2.40,5140927,12293523
20170901,NEL,Oslo Børs,2.39,2.43,2.35,2.36,6448221,15336125
20170831,NEL,Oslo Børs,2.49,2.50,2.39,2.40,6195000,15108711
20170830,NEL,Oslo Børs,2.48,2.52,2.46,2.48,2937569,7335057
20170829,NEL,Oslo Børs,2.52,2.52,2.44,2.47,4906349,12097330
20170828,NEL,Oslo Børs,2.56,2.58,2.51,2.52,2258059,5743808
20170825,NEL,Oslo Børs,2.56,2.60,2.55,2.55,5524379,14209999
20170824,NEL,Oslo Børs,2.53,2.62,2.40,2.55,5848847,14698418
20170823,NEL,Oslo Børs,2.58,2.58,2.50,2.55,2860418,7246032
20170822,NEL,Oslo Børs,2.43,2.64,2.43,2.55,5182495,13099376
20170821,NEL,Oslo Børs,2.52,2.52,2.43,2.43,4206076,10366872
20170818,NEL,Oslo Børs,2.52,2.54,2.48,2.50,5082137,12727163
20170817,NEL,Oslo Børs,2.60,2.61,2.51,2.57,5342963,13694101
20170816,NEL,Oslo Børs,2.72,2.72,2.55,2.61,9546491,25106104
20170815,NEL,Oslo Børs,2.74,2.79,2.71,2.73,3442778,9474555
20170814,NEL,Oslo Børs,2.74,2.75,2.65,2.74,5604672,15131132
20170811,NEL,Oslo Børs,2.75,2.77,2.65,2.73,7540215,20499917
20170810,NEL,Oslo Børs,2.82,2.85,2.79,2.80,4259409,12000704
20170809,NEL,Oslo Børs,2.76,2.83,2.76,2.80,5824703,16361438
20170808,NEL,Oslo Børs,2.75,2.78,2.72,2.76,4167794,11474296
20170807,NEL,Oslo Børs,2.65,2.77,2.65,2.75,6862758,18728238
20170804,NEL,Oslo Børs,2.59,2.65,2.59,2.64,4261627,11191745
20170803,NEL,Oslo Børs,2.58,2.62,2.57,2.59,3698442,9610829
20170802,NEL,Oslo Børs,2.60,2.61,2.56,2.57,2026308,5239478
20170801,NEL,Oslo Børs,2.55,2.62,2.55,2.59,2685460,6956799
20170731,NEL,Oslo Børs,2.64,2.67,2.56,2.59,4171408,10895355
20170728,NEL,Oslo Børs,2.60,2.65,2.59,2.62,4677346,12287401
20170727,NEL,Oslo Børs,2.58,2.61,2.53,2.59,3361073,8666758
20170726,NEL,Oslo Børs,2.70,2.70,2.57,2.57,7628824,20130109
20170725,NEL,Oslo Børs,2.52,2.67,2.49,2.65,10270414,26539452
20170724,NEL,Oslo Børs,2.43,2.48,2.40,2.47,2381169,5850886
20170721,NEL,Oslo Børs,2.48,2.48,2.43,2.43,2613679,6400210
20170720,NEL,Oslo Børs,2.48,2.49,2.43,2.48,2960445,7279361
20170719,NEL,Oslo Børs,2.50,2.50,2.47,2.48,2123172,5263084
20170718,NEL,Oslo Børs,2.50,2.54,2.48,2.50,5584974,13972396
20170717,NEL,Oslo Børs,2.40,2.51,2.40,2.50,4947581,12234413
20170714,NEL,Oslo Børs,2.51,2.51,2.36,2.41,10054372,24140997
20170713,NEL,Oslo Børs,2.55,2.57,2.44,2.49,6035941,14997077
20170712,NEL,Oslo Børs,2.55,2.57,2.52,2.55,5158032,13129889
20170711,NEL,Oslo Børs,2.55,2.60,2.51,2.56,8615989,21961028
20170710,NEL,Oslo Børs,2.47,2.62,2.47,2.55,12058433,30873572
20170707,NEL,Oslo Børs,2.35,2.47,2.34,2.47,9370706,22629630
20170706,NEL,Oslo Børs,2.29,2.40,2.26,2.35,10708599,25255091
20170705,NEL,Oslo Børs,2.22,2.32,2.20,2.27,7929323,17987778
20170704,NEL,Oslo Børs,2.19,2.25,2.19,2.22,4130850,9158243
20170703,NEL,Oslo Børs,2.29,2.29,2.20,2.23,7657035,17097362
20170630,NEL,Oslo Børs,2.17,2.38,2.13,2.30,17741770,40779182
20170629,NEL,Oslo Børs,2.17,2.18,2.15,2.16,887772,1919576
20170628,NEL,Oslo Børs,2.17,2.17,2.14,2.17,963992,2080809
20170627,NEL,Oslo Børs,2.22,2.22,2.17,2.17,1421648,3112386
20170626,NEL,Oslo Børs,2.20,2.22,2.13,2.22,3628706,7856367
20170623,NEL,Oslo Børs,2.22,2.24,2.17,2.18,2963740,6538001
20170622,NEL,Oslo Børs,2.19,2.21,2.17,2.21,2747733,6018032
20170621,NEL,Oslo Børs,2.17,2.22,2.16,2.20,2229044,4878899
20170620,NEL,Oslo Børs,2.26,2.27,2.17,2.18,5471900,12132307
20170619,NEL,Oslo Børs,2.17,2.28,2.14,2.25,6101301,13603951
20170616,NEL,Oslo Børs,2.20,2.20,2.13,2.17,7209392,15591167
20170615,NEL,Oslo Børs,2.30,2.31,2.14,2.22,10521376,23234473
20170614,NEL,Oslo Børs,2.33,2.51,2.26,2.30,40525546,96413314
20170613,NEL,Oslo Børs,2.15,2.28,1.99,2.26,52418485,112788704
20170612,NEL,Oslo Børs,1.88,1.96,1.67,1.68,18475609,32767485
20170609,NEL,Oslo Børs,1.86,1.88,1.80,1.87,5421534,10066659
20170608,NEL,Oslo Børs,1.99,2.00,1.82,1.89,6629346,12643118
20170607,NEL,Oslo Børs,2.10,2.11,1.75,1.98,11726881,23558434
