quote_date,paper,exch,open,high,low,close,volume,value
20171010,NHY,Oslo Børs,60.50,60.75,59.90,60.15,3465653,208522183
20171009,NHY,Oslo Børs,60.30,60.40,59.65,60.40,4745344,285527739
20171006,NHY,Oslo Børs,60.50,60.85,60.05,60.35,4457614,269528793
20171005,NHY,Oslo Børs,59.90,60.35,59.85,60.30,3170305,190871763
20171004,NHY,Oslo Børs,59.90,60.00,59.45,59.80,3535971,211280478
20171003,NHY,Oslo Børs,58.55,60.05,58.50,59.80,4724639,281688726
20171002,NHY,Oslo Børs,58.00,58.60,57.90,58.25,3842726,224039932
20170929,NHY,Oslo Børs,58.20,58.40,57.80,57.90,5787637,335742509
20170928,NHY,Oslo Børs,58.00,58.40,57.70,57.90,4386745,254744828
20170927,NHY,Oslo Børs,57.45,58.50,57.25,58.35,4290787,249600051
20170926,NHY,Oslo Børs,57.30,57.55,56.40,57.40,5848569,333246928
20170925,NHY,Oslo Børs,57.10,57.85,56.85,57.30,5481776,314252437
20170922,NHY,Oslo Børs,58.60,58.60,57.55,57.80,7783013,436560252
20170921,NHY,Oslo Børs,58.50,59.10,58.25,59.10,7718077,452925601
20170920,NHY,Oslo Børs,58.20,58.60,58.05,58.50,6403443,374226536
20170919,NHY,Oslo Børs,57.95,58.05,57.60,58.00,3422873,198192196
20170918,NHY,Oslo Børs,57.70,58.00,57.25,57.85,4155224,239849850
20170915,NHY,Oslo Børs,58.25,58.40,57.45,57.50,6093810,352091714
20170914,NHY,Oslo Børs,57.90,58.50,57.75,58.25,5377149,312744994
20170913,NHY,Oslo Børs,58.30,58.40,57.80,58.00,5979647,347283882
20170912,NHY,Oslo Børs,57.70,58.40,57.40,58.40,9644443,559933434
20170911,NHY,Oslo Børs,57.15,58.00,56.60,58.00,6834269,393536857
20170908,NHY,Oslo Børs,57.00,57.85,56.85,57.00,6646899,381460710
20170907,NHY,Oslo Børs,57.25,57.65,56.75,57.25,7557348,428914084
20170906,NHY,Oslo Børs,56.85,57.25,56.55,57.00,4758263,271218271
20170905,NHY,Oslo Børs,56.90,57.20,56.65,56.85,3704053,210699768
20170904,NHY,Oslo Børs,56.40,57.05,56.15,56.95,3725661,211650249
20170901,NHY,Oslo Børs,56.05,57.00,55.90,56.90,4769327,269701324
20170831,NHY,Oslo Børs,55.40,56.15,55.20,56.00,21476439,1197794330
20170830,NHY,Oslo Børs,54.35,55.15,54.15,55.00,6466185,353406886
20170829,NHY,Oslo Børs,53.80,54.00,52.65,53.90,5797432,310400630
20170828,NHY,Oslo Børs,54.60,54.60,53.60,53.95,3536322,190803597
20170825,NHY,Oslo Børs,54.35,55.00,54.35,54.65,4862059,266082607
20170824,NHY,Oslo Børs,54.35,54.60,53.80,54.20,4872303,263862100
20170823,NHY,Oslo Børs,53.00,54.35,52.80,54.10,11408724,612433083
20170822,NHY,Oslo Børs,51.55,53.10,51.55,53.05,6170788,325236881
20170821,NHY,Oslo Børs,51.50,51.90,51.05,51.20,3416298,175340995
20170818,NHY,Oslo Børs,50.95,52.15,50.85,51.50,8348732,419342419
20170817,NHY,Oslo Børs,52.50,53.10,51.25,51.25,7940605,409719748
20170816,NHY,Oslo Børs,51.90,52.50,51.75,52.45,5501611,287439956
20170815,NHY,Oslo Børs,51.00,51.85,50.60,51.60,5825557,298986019
20170814,NHY,Oslo Børs,51.05,51.40,50.65,50.80,5353429,272470470
