quote_date,paper,exch,open,high,low,close,volume,value
20171011,NRS,Oslo Børs,168.50,171.50,166.50,169.50,93093,15751732
20171010,NRS,Oslo Børs,162.00,169.00,161.50,169.00,89441,14899204
20171009,NRS,Oslo Børs,160.50,162.00,159.50,161.00,30378,4883174
20171006,NRS,Oslo Børs,160.50,162.00,159.00,160.50,42472,6801462
20171005,NRS,Oslo Børs,165.00,165.00,161.00,162.00,56655,9225003
20171004,NRS,Oslo Børs,162.50,165.00,160.00,164.00,64382,10547266
20171003,NRS,Oslo Børs,166.50,169.50,156.00,162.50,117788,19278846
20171002,NRS,Oslo Børs,170.00,170.50,165.50,166.50,34521,5794386
20170929,NRS,Oslo Børs,164.50,168.50,164.00,167.50,69253,11530687
20170928,NRS,Oslo Børs,163.50,164.50,160.50,164.50,27036,4406826
20170927,NRS,Oslo Børs,159.50,163.50,159.50,161.00,68812,11083905
20170926,NRS,Oslo Børs,165.00,167.00,159.50,159.50,59277,9609275
20170925,NRS,Oslo Børs,163.00,167.50,163.00,164.50,39161,6484530
20170922,NRS,Oslo Børs,162.00,166.00,160.50,165.50,50785,8308618
20170921,NRS,Oslo Børs,165.00,166.00,159.00,162.00,95218,15384891
20170920,NRS,Oslo Børs,167.00,169.00,165.00,165.00,44835,7486328
20170919,NRS,Oslo Børs,170.00,170.00,167.00,169.00,50383,8520415
20170918,NRS,Oslo Børs,167.00,169.50,167.00,168.00,48629,8171647
20170915,NRS,Oslo Børs,167.50,170.00,166.00,167.00,97306,16332797
20170914,NRS,Oslo Børs,171.50,172.50,165.00,168.00,139585,23445571
20170913,NRS,Oslo Børs,174.00,174.50,172.50,172.50,72877,12631008
20170912,NRS,Oslo Børs,177.00,177.50,173.50,174.00,71781,12604409
20170911,NRS,Oslo Børs,173.00,177.50,172.00,176.50,49810,8734129
20170908,NRS,Oslo Børs,177.00,177.00,173.00,174.50,64330,11218891
20170907,NRS,Oslo Børs,177.50,178.00,175.50,176.50,89059,15705437
20170906,NRS,Oslo Børs,178.00,178.00,175.50,177.50,56902,10049915
20170905,NRS,Oslo Børs,175.00,179.00,174.00,178.00,87946,15532374
20170904,NRS,Oslo Børs,176.00,176.00,173.50,175.50,75943,13310673
20170901,NRS,Oslo Børs,172.00,175.50,171.00,174.50,90370,15646233
