quote_date,paper,exch,open,high,low,close,volume,value
20171006,ODFB,Oslo Børs,26.00,26.00,25.60,25.60,519,13363
20171005,ODFB,Oslo Børs,26.00,26.00,26.00,26.00,407,10582
20171004,ODFB,Oslo Børs,26.00,26.00,26.00,26.00,2800,72800
20171003,ODFB,Oslo Børs,26.00,26.00,26.00,26.00,4093,106418
20170929,ODFB,Oslo Børs,26.30,26.40,25.60,26.40,2839,74379
20170928,ODFB,Oslo Børs,25.60,25.60,25.60,25.60,21,537
20170927,ODFB,Oslo Børs,26.10,26.10,26.00,26.00,255,6635
20170926,ODFB,Oslo Børs,25.70,25.70,25.70,25.70,793,20380
20170925,ODFB,Oslo Børs,26.10,26.10,25.90,25.90,2237,58199
20170922,ODFB,Oslo Børs,26.20,26.90,26.10,26.90,2500,65671
20170921,ODFB,Oslo Børs,26.00,26.10,25.50,25.50,1261,32423
20170920,ODFB,Oslo Børs,26.00,26.00,26.00,26.00,400,10400
20170919,ODFB,Oslo Børs,26.40,26.40,26.40,26.40,44,1161
20170918,ODFB,Oslo Børs,26.20,26.30,26.20,26.30,1064,27889
20170915,ODFB,Oslo Børs,26.10,26.10,26.10,26.10,10,261
20170914,ODFB,Oslo Børs,25.40,25.40,25.40,25.40,29,736
20170913,ODFB,Oslo Børs,25.80,26.20,24.90,26.20,4644,119245
20170912,ODFB,Oslo Børs,26.60,26.60,25.40,25.80,16219,415412
20170911,ODFB,Oslo Børs,26.70,27.00,26.50,26.50,4029,107825
20170908,ODFB,Oslo Børs,26.90,27.00,26.70,27.00,7311,196790
20170907,ODFB,Oslo Børs,26.50,26.50,26.20,26.20,1080,28501
20170906,ODFB,Oslo Børs,26.50,26.50,26.50,26.50,609,16138
20170905,ODFB,Oslo Børs,26.50,26.90,26.40,26.90,2167,57597
20170904,ODFB,Oslo Børs,25.70,26.50,25.50,26.50,5222,134394
20170831,ODFB,Oslo Børs,25.80,26.00,25.70,25.70,1946,50217
20170830,ODFB,Oslo Børs,26.50,26.50,25.60,25.60,13979,362117
20170829,ODFB,Oslo Børs,26.00,26.50,26.00,26.10,16026,417946
20170828,ODFB,Oslo Børs,26.80,26.80,26.30,26.30,8509,223896
20170825,ODFB,Oslo Børs,26.80,26.80,26.80,26.80,3190,85492
20170824,ODFB,Oslo Børs,27.10,27.40,27.00,27.20,1521,41269
20170823,ODFB,Oslo Børs,28.00,28.00,28.00,28.00,108,3024
20170822,ODFB,Oslo Børs,28.50,28.50,27.50,27.90,4201,116144
20170821,ODFB,Oslo Børs,28.30,28.30,27.80,28.00,55750,1561309
20170818,ODFB,Oslo Børs,28.40,28.50,28.40,28.50,9810,279582
20170817,ODFB,Oslo Børs,28.90,28.90,28.40,28.50,32892,940795
20170815,ODFB,Oslo Børs,29.20,29.50,29.20,29.50,3170,92615
20170811,ODFB,Oslo Børs,29.40,29.50,29.10,29.50,680,19967
20170809,ODFB,Oslo Børs,29.60,29.60,29.00,29.40,12450,362646
20170804,ODFB,Oslo Børs,29.90,30.00,29.90,30.00,5015,150209
20170803,ODFB,Oslo Børs,29.40,29.40,29.40,29.40,1030,30282
20170802,ODFB,Oslo Børs,29.00,29.30,29.00,29.30,6148,178342
20170801,ODFB,Oslo Børs,28.60,29.50,28.60,29.50,3038,87786
20170731,ODFB,Oslo Børs,28.60,28.60,28.60,28.60,100,2860
20170728,ODFB,Oslo Børs,29.20,29.50,29.20,29.50,3506,102384
20170727,ODFB,Oslo Børs,29.80,29.80,29.80,29.80,1007,30008
20170726,ODFB,Oslo Børs,29.60,29.60,29.60,29.60,779,23058
20170724,ODFB,Oslo Børs,29.70,29.80,29.70,29.70,253,7515
