quote_date,paper,exch,open,high,low,close,volume,value
20170922,OLT,Oslo Børs,162.50,163.50,161.00,162.50,36429,5926798
20170921,OLT,Oslo Børs,162.50,164.00,162.00,163.00,14153,2305440
20170920,OLT,Oslo Børs,165.00,165.00,162.00,162.00,25601,4171529
20170919,OLT,Oslo Børs,166.00,166.00,162.50,163.50,12276,2011536
20170918,OLT,Oslo Børs,163.00,164.50,161.00,163.50,16257,2652082
20170915,OLT,Oslo Børs,163.00,164.00,160.00,160.00,190540,30783188
20170914,OLT,Oslo Børs,164.50,164.50,162.00,163.00,409500,67353419
20170913,OLT,Oslo Børs,166.00,166.00,164.00,164.50,157655,26006844
20170912,OLT,Oslo Børs,165.00,165.50,164.00,164.50,7669,1264392
20170911,OLT,Oslo Børs,165.00,165.50,163.00,165.00,22648,3728234
20170908,OLT,Oslo Børs,165.50,168.50,162.00,165.00,125951,20779523
20170907,OLT,Oslo Børs,169.00,169.00,165.50,165.50,7978,1327522
20170906,OLT,Oslo Børs,168.50,168.50,166.00,168.00,18172,3021128
20170905,OLT,Oslo Børs,168.00,168.50,166.00,166.00,6336,1056280
20170904,OLT,Oslo Børs,169.00,169.00,167.00,169.00,13909,2332373
20170901,OLT,Oslo Børs,169.00,170.00,169.00,170.00,3492,592274
20170831,OLT,Oslo Børs,170.00,170.00,167.50,169.00,2704,457611
20170830,OLT,Oslo Børs,169.00,170.00,167.00,169.50,2288,385719
20170829,OLT,Oslo Børs,169.50,169.50,167.00,169.00,3711,623053
20170828,OLT,Oslo Børs,170.50,170.50,168.50,169.50,2199,372702
20170825,OLT,Oslo Børs,170.00,170.50,169.00,169.50,78186,13288225
20170824,OLT,Oslo Børs,168.00,170.00,165.50,169.50,10577,1787268
20170823,OLT,Oslo Børs,164.00,168.00,164.00,165.50,2248,372764
20170822,OLT,Oslo Børs,166.50,168.00,164.00,164.00,21042,3497259
20170821,OLT,Oslo Børs,167.00,168.50,167.00,167.00,2248,376293
20170818,OLT,Oslo Børs,166.50,168.50,166.50,167.00,403,67400
20170817,OLT,Oslo Børs,167.50,168.00,166.50,166.50,5517,922626
20170816,OLT,Oslo Børs,167.50,169.00,167.50,167.50,72259,12121371
20170815,OLT,Oslo Børs,170.00,170.00,167.50,167.50,6556,1103375
20170814,OLT,Oslo Børs,167.50,170.00,167.50,170.00,1915,324484
20170811,OLT,Oslo Børs,169.00,169.00,167.00,167.00,1057,177065
20170810,OLT,Oslo Børs,167.50,169.00,167.50,169.00,3367,565700
20170809,OLT,Oslo Børs,169.50,170.00,167.00,167.00,1746,295717
20170808,OLT,Oslo Børs,169.00,170.00,169.00,169.50,6722,1141088
20170807,OLT,Oslo Børs,169.50,171.50,169.00,169.00,1039,176555
20170804,OLT,Oslo Børs,171.50,172.00,169.50,169.50,1478,253815
20170803,OLT,Oslo Børs,168.50,172.00,167.00,171.50,4575,780067
20170802,OLT,Oslo Børs,168.50,170.00,168.50,168.50,29735,5032859
20170801,OLT,Oslo Børs,168.00,169.00,167.50,168.50,1359,228765
20170731,OLT,Oslo Børs,169.00,169.00,166.50,168.00,2682,450500
20170728,OLT,Oslo Børs,166.50,169.00,165.50,169.00,6900,1160518
20170727,OLT,Oslo Børs,168.00,168.00,165.50,165.50,2853,476027
20170726,OLT,Oslo Børs,165.50,166.50,165.50,166.50,6885,1145599
20170725,OLT,Oslo Børs,164.50,167.00,164.50,165.50,4164,688974
20170724,OLT,Oslo Børs,166.00,168.50,164.50,164.50,3281,544275
20170721,OLT,Oslo Børs,167.00,167.50,166.00,166.00,2015,336514
20170720,OLT,Oslo Børs,168.50,169.00,166.00,167.00,1414,236439
20170719,OLT,Oslo Børs,166.50,168.50,165.50,165.50,995,165929
20170718,OLT,Oslo Børs,169.00,169.00,164.50,166.50,3765,630360
20170717,OLT,Oslo Børs,164.50,167.00,164.50,167.00,1938,322984
20170714,OLT,Oslo Børs,167.50,167.50,164.00,164.00,11573,1932567
20170713,OLT,Oslo Børs,163.50,167.00,163.50,167.00,4606,765186
20170712,OLT,Oslo Børs,163.50,164.50,163.00,163.50,11442,1875908
20170711,OLT,Oslo Børs,164.00,165.00,163.00,163.00,24733,4051125
20170710,OLT,Oslo Børs,167.50,167.50,163.00,163.00,24861,4127971
20170707,OLT,Oslo Børs,166.00,166.00,164.00,165.00,6952,1151885
20170706,OLT,Oslo Børs,166.00,167.00,164.00,164.00,2333,387736
20170705,OLT,Oslo Børs,166.00,168.00,166.00,166.00,4074,681431
20170704,OLT,Oslo Børs,162.50,168.00,162.50,165.50,4854,808343
20170703,OLT,Oslo Børs,168.00,169.00,160.50,160.50,4499,739151
20170630,OLT,Oslo Børs,167.50,168.50,167.00,168.00,4366,733062
20170629,OLT,Oslo Børs,168.00,168.50,167.00,167.50,2186,366833
20170628,OLT,Oslo Børs,168.00,168.50,165.50,168.50,31155,5226355
20170627,OLT,Oslo Børs,166.50,167.50,165.50,165.50,5756,959659
20170626,OLT,Oslo Børs,169.00,169.00,166.50,166.50,12283,2059410
20170623,OLT,Oslo Børs,169.00,169.00,168.00,168.00,922,155509
20170622,OLT,Oslo Børs,166.50,169.00,166.50,167.00,4502,753248
20170621,OLT,Oslo Børs,167.00,167.50,166.50,166.50,692123,115584678
20170620,OLT,Oslo Børs,167.50,169.00,166.00,166.50,101978,17032888
20170619,OLT,Oslo Børs,168.50,168.50,166.50,167.50,10597,1771948
20170616,OLT,Oslo Børs,169.00,169.00,168.00,168.50,974,164083
20170615,OLT,Oslo Børs,168.50,170.00,167.00,169.00,77645,12946862
20170614,OLT,Oslo Børs,169.50,170.00,169.00,170.00,6887,1170094
20170613,OLT,Oslo Børs,170.00,170.00,168.50,169.00,77932,13171919
20170612,OLT,Oslo Børs,169.00,170.00,169.00,170.00,22905,3893583
20170609,OLT,Oslo Børs,170.00,170.50,169.00,169.00,3068,521559
20170608,OLT,Oslo Børs,171.00,172.50,168.50,170.00,16119,2754207
20170607,OLT,Oslo Børs,173.50,177.50,171.00,171.00,17366,3025786
20170606,OLT,Oslo Børs,170.00,173.50,170.00,173.50,11875,2035418
20170602,OLT,Oslo Børs,170.50,170.50,169.00,170.00,126862,21565933
20170601,OLT,Oslo Børs,169.00,170.00,168.00,169.50,132968,22580382
20170531,OLT,Oslo Børs,168.50,169.00,167.00,169.00,11122,1872135
20170530,OLT,Oslo Børs,169.00,169.00,167.00,168.50,24558,4101787
20170529,OLT,Oslo Børs,168.50,168.50,165.50,166.50,7647,1273583
20170526,OLT,Oslo Børs,169.50,169.50,166.00,168.50,8793,1469215
20170524,OLT,Oslo Børs,167.50,170.00,167.50,169.00,7851,1324151
20170523,OLT,Oslo Børs,168.50,170.00,168.50,169.50,15896,2693532
20170522,OLT,Oslo Børs,167.00,169.00,167.00,168.50,899,150942
20170519,OLT,Oslo Børs,168.00,169.50,167.00,167.00,2684,450941
20170518,OLT,Oslo Børs,169.50,170.00,167.00,168.00,6572,1107532
20170516,OLT,Oslo Børs,169.00,169.50,169.00,169.50,2518,426466
20170515,OLT,Oslo Børs,168.00,169.50,168.00,169.50,13011,2194851
20170512,OLT,Oslo Børs,169.00,169.00,168.00,168.00,6335,1064906
20170511,OLT,Oslo Børs,166.00,168.00,166.00,166.00,9713,1624126
20170510,OLT,Oslo Børs,168.00,169.00,165.50,165.50,9261,1546775
20170509,OLT,Oslo Børs,167.00,169.00,167.00,167.00,5136,864335
20170508,OLT,Oslo Børs,169.00,170.00,169.00,169.00,4341,737333
20170505,OLT,Oslo Børs,167.50,170.00,167.50,169.00,11137,1887526
