quote_date,paper,exch,open,high,low,close,volume,value
20170922,OTS,Oslo Børs,2.13,2.13,2.00,2.07,397583,809671
20170921,OTS,Oslo Børs,2.22,2.22,2.00,2.13,335425,694867
20170920,OTS,Oslo Børs,2.26,2.26,2.10,2.23,73593,159640
20170919,OTS,Oslo Børs,2.32,2.32,2.20,2.27,71897,159149
20170918,OTS,Oslo Børs,2.30,2.39,2.21,2.35,25500,57703
20170915,OTS,Oslo Børs,2.40,2.42,2.25,2.30,57381,133420
20170914,OTS,Oslo Børs,2.42,2.42,2.24,2.38,48614,111581
20170913,OTS,Oslo Børs,2.29,2.50,2.28,2.39,125455,297692
20170912,OTS,Oslo Børs,2.34,2.34,2.22,2.23,200974,454724
20170911,OTS,Oslo Børs,2.53,2.53,2.31,2.40,45780,107186
20170908,OTS,Oslo Børs,2.53,2.53,2.35,2.51,18026,44772
20170907,OTS,Oslo Børs,2.50,2.64,2.39,2.50,9170,22729
20170906,OTS,Oslo Børs,2.28,2.65,2.28,2.39,154698,383760
20170905,OTS,Oslo Børs,2.38,2.38,2.24,2.28,13571,31404
20170904,OTS,Oslo Børs,2.54,2.54,2.20,2.38,119086,283544
20170901,OTS,Oslo Børs,2.64,2.70,2.50,2.55,109865,286168
20170831,OTS,Oslo Børs,2.90,2.95,2.60,2.61,408757,1129593
20170830,OTS,Oslo Børs,3.20,3.75,2.79,2.83,827467,2617695
20170829,OTS,Oslo Børs,2.87,2.99,2.75,2.82,27787,77719
20170828,OTS,Oslo Børs,2.80,3.09,2.42,3.03,24266,70114
20170825,OTS,Oslo Børs,2.79,2.90,2.64,2.90,71982,199185
20170824,OTS,Oslo Børs,2.80,2.80,2.79,2.79,6651,18605
20170823,OTS,Oslo Børs,2.86,2.98,2.85,2.95,39994,116702
20170822,OTS,Oslo Børs,2.80,2.99,2.80,2.91,19092,55856
20170821,OTS,Oslo Børs,2.90,2.90,2.82,2.82,3005,8690
20170818,OTS,Oslo Børs,3.00,3.23,2.85,2.97,35216,104544
20170817,OTS,Oslo Børs,3.00,3.19,3.00,3.00,18555,55682
20170816,OTS,Oslo Børs,3.14,3.19,2.90,3.10,11155,35011
20170815,OTS,Oslo Børs,3.09,3.15,3.00,3.15,4160,12952
20170814,OTS,Oslo Børs,2.98,3.10,2.96,3.10,25229,76363
20170811,OTS,Oslo Børs,2.97,3.10,2.87,2.97,62591,186407
20170810,OTS,Oslo Børs,3.12,3.12,2.91,2.97,29780,88481
20170809,OTS,Oslo Børs,3.00,3.18,2.94,3.14,5180,15476
20170808,OTS,Oslo Børs,3.10,3.14,3.01,3.12,56814,174051
20170807,OTS,Oslo Børs,3.20,3.20,3.05,3.14,85002,264444
20170804,OTS,Oslo Børs,3.19,3.47,3.19,3.30,19650,64183
20170803,OTS,Oslo Børs,3.22,3.39,3.20,3.39,4831,15604
20170802,OTS,Oslo Børs,3.58,3.58,3.44,3.44,350,1246
20170801,OTS,Oslo Børs,3.53,3.53,3.19,3.27,30183,101045
20170731,OTS,Oslo Børs,3.14,3.60,3.14,3.54,186996,628729
20170728,OTS,Oslo Børs,3.26,3.29,3.17,3.17,37600,122498
20170727,OTS,Oslo Børs,3.39,3.64,3.12,3.14,198321,670019
20170726,OTS,Oslo Børs,3.27,3.39,3.20,3.25,112930,373416
20170725,OTS,Oslo Børs,3.45,3.52,3.30,3.33,140584,469874
20170724,OTS,Oslo Børs,3.29,3.59,3.21,3.59,41029,134790
20170721,OTS,Oslo Børs,3.06,3.50,3.03,3.29,152296,502717
20170720,OTS,Oslo Børs,3.85,3.85,3.40,3.56,182833,642558
20170719,OTS,Oslo Børs,4.12,4.44,3.86,3.86,601790,2484723
20170718,OTS,Oslo Børs,3.00,3.79,2.91,3.79,324635,1106092
20170717,OTS,Oslo Børs,3.10,3.13,3.09,3.09,6903,21480
