quote_date,paper,exch,open,high,low,close,volume,value
20171013,RAKP,Oslo Børs,9.80,9.95,9.80,9.85,15179,148913
20171012,RAKP,Oslo Børs,9.80,10.05,9.40,9.65,120806,1172919
20171011,RAKP,Oslo Børs,10.15,10.15,9.80,9.99,9018,88472
20171010,RAKP,Oslo Børs,9.85,9.99,9.70,9.99,87958,859611
20171009,RAKP,Oslo Børs,9.70,10.00,9.70,10.00,3572,35420
20171006,RAKP,Oslo Børs,9.60,9.70,9.48,9.70,89648,859679
20171005,RAKP,Oslo Børs,9.79,9.79,9.15,9.46,35324,328110
20171004,RAKP,Oslo Børs,9.40,9.79,9.40,9.78,60,575
20171003,RAKP,Oslo Børs,9.34,9.35,9.22,9.22,4550,42421
20171002,RAKP,Oslo Børs,9.75,9.75,8.95,8.95,52456,482605
20170929,RAKP,Oslo Børs,10.35,10.35,9.82,9.88,100308,1001132
20170928,RAKP,Oslo Børs,10.40,10.40,10.00,10.10,102635,1028136
20170927,RAKP,Oslo Børs,10.40,10.40,10.30,10.35,6836,70504
20170926,RAKP,Oslo Børs,10.00,10.45,10.00,10.30,98287,1001750
20170925,RAKP,Oslo Børs,10.40,10.40,10.20,10.20,43905,451501
20170922,RAKP,Oslo Børs,10.35,10.50,10.30,10.35,271803,2815784
20170921,RAKP,Oslo Børs,10.35,10.50,10.30,10.35,109031,1131812
20170920,RAKP,Oslo Børs,10.35,10.40,10.20,10.30,633868,6532977
20170919,RAKP,Oslo Børs,10.10,10.15,9.99,10.00,24226,242682
20170918,RAKP,Oslo Børs,10.50,10.50,9.75,9.85,119512,1212102
20170915,RAKP,Oslo Børs,10.65,10.65,10.30,10.30,111793,1158359
20170914,RAKP,Oslo Børs,10.55,10.55,10.05,10.50,97726,1003276
20170913,RAKP,Oslo Børs,10.15,10.85,10.15,10.60,115534,1225758
20170912,RAKP,Oslo Børs,10.35,10.55,10.35,10.50,236118,2476661
20170911,RAKP,Oslo Børs,10.30,10.55,10.20,10.35,355003,3697693
20170908,RAKP,Oslo Børs,10.60,10.75,10.40,10.50,301212,3169130
