quote_date,paper,exch,open,high,low,close,volume,value
20171011,REC,Oslo Børs,0.9595,0.9595,0.929,0.936,21826298,20474868
20171010,REC,Oslo Børs,0.94,0.96,0.9325,0.9515,16333934,15470304
20171009,REC,Oslo Børs,0.955,0.964,0.8935,0.94,59578942,55020205
20171006,REC,Oslo Børs,0.997,1.004,0.947,0.947,41087213,40134971
20171005,REC,Oslo Børs,1.002,1.015,0.99,0.99,17982269,17907674
20171004,REC,Oslo Børs,1.004,1.013,0.99,1.007,19195123,19213370
20171003,REC,Oslo Børs,1.01,1.014,0.993,1.001,15217589,15240999
20171002,REC,Oslo Børs,1.021,1.021,0.998,1.003,15641847,15714311
20170929,REC,Oslo Børs,1.011,1.019,0.994,1.015,17772964,17916247
20170928,REC,Oslo Børs,1.01,1.021,0.994,1.00,21908712,22019309
20170927,REC,Oslo Børs,1.006,1.023,1.00,1.001,24597170,24786262
20170926,REC,Oslo Børs,1.041,1.041,1.001,1.005,28827976,29246967
20170925,REC,Oslo Børs,1.025,1.06,1.016,1.041,17506373,18161384
20170922,REC,Oslo Børs,1.03,1.044,1.02,1.04,17174960,17721043
20170921,REC,Oslo Børs,1.06,1.06,1.012,1.028,46247365,47618413
20170920,REC,Oslo Børs,1.113,1.116,1.062,1.064,38985266,41989029
20170919,REC,Oslo Børs,1.13,1.131,1.088,1.104,40112281,44313378
20170918,REC,Oslo Børs,1.111,1.139,1.095,1.116,26496907,29520971
20170915,REC,Oslo Børs,1.138,1.144,1.098,1.11,34908957,38883351
20170914,REC,Oslo Børs,1.075,1.149,1.075,1.14,41799044,46764154
20170913,REC,Oslo Børs,1.133,1.138,1.059,1.072,34513974,37558692
20170912,REC,Oslo Børs,1.074,1.138,1.074,1.138,27793402,31014601
20170911,REC,Oslo Børs,1.085,1.085,1.055,1.074,18824139,20201056
20170908,REC,Oslo Børs,1.16,1.171,1.065,1.066,48409278,53838071
20170907,REC,Oslo Børs,1.14,1.17,1.121,1.159,36309292,41780520
20170906,REC,Oslo Børs,1.099,1.165,1.085,1.14,95394668,108487885
20170905,REC,Oslo Børs,1.025,1.11,1.024,1.11,65884270,71017867
20170904,REC,Oslo Børs,1.033,1.035,1.017,1.025,9716738,9969650
20170901,REC,Oslo Børs,1.035,1.047,1.029,1.037,18036745,18715815
20170831,REC,Oslo Børs,1.049,1.049,1.023,1.037,15427645,15972436
20170830,REC,Oslo Børs,1.006,1.054,1.003,1.044,45123149,46760628
20170829,REC,Oslo Børs,0.999,1.005,0.985,1.005,22116177,22008552
20170828,REC,Oslo Børs,1.01,1.021,1.00,1.00,6413014,6448073
20170825,REC,Oslo Børs,1.003,1.014,0.9975,1.013,10500657,10553174
20170824,REC,Oslo Børs,1.009,1.016,1.004,1.006,11232200,11325685
20170823,REC,Oslo Børs,1.025,1.044,1.003,1.006,23588817,23999608
20170822,REC,Oslo Børs,1.015,1.023,1.013,1.023,6582999,6696973
20170821,REC,Oslo Børs,1.027,1.033,1.01,1.011,9803609,9974750
20170818,REC,Oslo Børs,1.028,1.033,1.008,1.03,11772988,12048087
20170817,REC,Oslo Børs,1.03,1.042,1.012,1.031,20905879,21396476
20170816,REC,Oslo Børs,1.05,1.10,1.014,1.03,49169836,52042986
20170815,REC,Oslo Børs,1.037,1.06,1.03,1.055,23060989,24096470
20170814,REC,Oslo Børs,1.008,1.046,1.008,1.037,22833260,23703666
20170811,REC,Oslo Børs,1.029,1.032,0.9965,1.019,28106061,28501405
20170810,REC,Oslo Børs,1.044,1.054,1.025,1.038,17625661,18299868
20170809,REC,Oslo Børs,1.01,1.046,1.01,1.044,29328301,30348671
20170808,REC,Oslo Børs,1.021,1.028,1.001,1.02,13970501,14168996
20170807,REC,Oslo Børs,1.03,1.05,1.013,1.013,15884708,16313942
20170804,REC,Oslo Børs,1.068,1.068,1.026,1.03,20161085,21023570
20170803,REC,Oslo Børs,1.048,1.069,1.028,1.069,32868581,34528106
20170802,REC,Oslo Børs,0.9915,1.05,0.977,1.049,47894856,49118192
20170801,REC,Oslo Børs,0.975,0.994,0.9675,0.9915,18631073,18259350
20170731,REC,Oslo Børs,0.9745,0.982,0.963,0.9705,18164748,17626359
