quote_date,paper,exch,open,high,low,close,volume,value
20170922,SAFE,Oslo Børs,29.00,29.40,29.00,29.00,11276,328782
20170921,SAFE,Oslo Børs,29.00,29.40,29.00,29.40,31530,916822
20170920,SAFE,Oslo Børs,28.90,29.20,28.50,29.20,67684,1967089
20170919,SAFE,Oslo Børs,28.80,28.90,28.80,28.80,115667,3332279
20170918,SAFE,Oslo Børs,28.70,29.00,28.60,28.80,21339,616004
20170915,SAFE,Oslo Børs,28.80,29.20,28.70,28.70,35725,1032815
20170914,SAFE,Oslo Børs,29.40,29.40,29.00,29.20,15570,454100
20170913,SAFE,Oslo Børs,28.80,29.60,28.80,29.40,13390,393496
20170912,SAFE,Oslo Børs,29.50,29.50,28.90,29.00,79952,2340256
20170911,SAFE,Oslo Børs,29.50,29.70,29.00,29.50,25987,760120
20170908,SAFE,Oslo Børs,29.50,29.70,29.40,29.70,917,27096
20170907,SAFE,Oslo Børs,29.70,29.90,29.50,29.80,51884,1536317
20170906,SAFE,Oslo Børs,29.20,29.70,29.20,29.70,22388,657422
20170905,SAFE,Oslo Børs,30.10,30.10,29.50,29.50,35680,1062084
20170904,SAFE,Oslo Børs,29.80,30.10,29.60,30.00,43532,1304287
20170901,SAFE,Oslo Børs,30.00,30.00,29.20,29.50,268765,8007404
20170831,SAFE,Oslo Børs,29.90,30.10,29.70,30.00,36136,1081466
20170830,SAFE,Oslo Børs,29.10,29.70,29.10,29.70,20820,613495
20170829,SAFE,Oslo Børs,29.80,29.90,28.00,29.00,179116,5234282
20170828,SAFE,Oslo Børs,29.10,30.10,29.10,30.00,22303,665222
20170825,SAFE,Oslo Børs,29.90,30.00,29.00,29.00,119997,3563552
20170824,SAFE,Oslo Børs,30.10,30.20,29.80,30.00,15099,453517
20170823,SAFE,Oslo Børs,30.10,30.30,29.80,29.80,244090,7323383
20170822,SAFE,Oslo Børs,30.00,30.10,29.70,29.70,149543,4481290
20170821,SAFE,Oslo Børs,30.00,30.10,29.00,29.60,100304,2967420
20170818,SAFE,Oslo Børs,27.50,29.50,27.50,29.50,397395,11450631
20170817,SAFE,Oslo Børs,28.10,28.10,26.90,27.00,77899,2140812
20170816,SAFE,Oslo Børs,28.50,28.50,28.00,28.00,104639,2952178
20170815,SAFE,Oslo Børs,29.10,29.20,28.30,28.50,58527,1683133
20170814,SAFE,Oslo Børs,29.20,29.40,29.20,29.30,7102,208165
20170811,SAFE,Oslo Børs,29.00,29.40,29.00,29.40,67396,1957110
20170810,SAFE,Oslo Børs,29.30,29.30,29.00,29.00,18264,532346
20170809,SAFE,Oslo Børs,29.00,29.70,29.00,29.40,63386,1852773
20170808,SAFE,Oslo Børs,29.00,29.00,28.70,28.90,6589,190736
20170807,SAFE,Oslo Børs,29.10,29.10,29.10,29.10,2428,70654
20170804,SAFE,Oslo Børs,29.00,29.80,29.00,29.00,30051,873886
20170803,SAFE,Oslo Børs,28.90,29.80,28.90,29.60,10704,314536
20170802,SAFE,Oslo Børs,30.10,30.10,30.10,30.10,25977,776882
20170801,SAFE,Oslo Børs,29.50,29.90,28.50,29.90,75751,2185611
20170731,SAFE,Oslo Børs,29.10,30.10,29.10,30.00,38891,1164400
20170728,SAFE,Oslo Børs,28.80,29.20,28.80,29.10,4170,121322
20170727,SAFE,Oslo Børs,29.30,29.30,29.10,29.10,2125,62246
20170726,SAFE,Oslo Børs,29.30,29.60,29.30,29.30,78287,2346438
20170725,SAFE,Oslo Børs,29.30,29.50,29.30,29.30,2704,79372
20170724,SAFE,Oslo Børs,29.50,29.80,29.50,29.50,2988,88295
20170721,SAFE,Oslo Børs,29.90,30.00,29.80,29.80,3896,116381
20170720,SAFE,Oslo Børs,30.00,30.50,29.90,29.90,85369,2561886
20170719,SAFE,Oslo Børs,30.80,30.90,30.00,30.80,48690,1467231
20170718,SAFE,Oslo Børs,30.90,31.00,29.80,30.80,8466,259484
20170717,SAFE,Oslo Børs,30.70,30.70,30.00,30.00,62896,1926642
20170714,SAFE,Oslo Børs,30.30,30.60,30.00,30.00,66890,2036968
20170713,SAFE,Oslo Børs,30.00,30.50,30.00,30.00,4366,131480
20170712,SAFE,Oslo Børs,29.30,30.10,29.30,30.00,111024,3330335
20170711,SAFE,Oslo Børs,30.50,30.80,30.00,30.10,49892,1516948
20170710,SAFE,Oslo Børs,30.00,30.00,29.20,29.50,71632,2121664
20170707,SAFE,Oslo Børs,29.40,30.50,29.40,30.20,47242,1408311
20170706,SAFE,Oslo Børs,29.10,30.00,29.10,29.50,84081,2498167
20170705,SAFE,Oslo Børs,29.00,29.90,29.00,29.10,81750,2437174
20170704,SAFE,Oslo Børs,29.80,30.20,29.40,29.50,319104,9551753
20170703,SAFE,Oslo Børs,29.30,30.00,29.30,29.90,37358,1117711
20170630,SAFE,Oslo Børs,29.00,29.80,29.00,29.80,75876,2242934
20170629,SAFE,Oslo Børs,29.00,30.30,29.00,29.70,35743,1062916
20170628,SAFE,Oslo Børs,28.60,29.20,28.60,29.00,174212,5051437
20170627,SAFE,Oslo Børs,29.90,30.10,29.50,30.00,301919,9056069
20170626,SAFE,Oslo Børs,30.00,30.40,30.00,30.40,124173,3739483
20170623,SAFE,Oslo Børs,30.10,30.10,30.00,30.00,129535,3886120
20170622,SAFE,Oslo Børs,30.20,30.30,30.00,30.30,218880,6604208
20170621,SAFE,Oslo Børs,29.70,30.20,29.50,30.00,115520,3460627
20170620,SAFE,Oslo Børs,29.50,29.90,28.70,29.80,253048,7472283
20170619,SAFE,Oslo Børs,29.40,29.80,29.10,29.80,868406,25765644
