quote_date,paper,exch,open,high,low,close,volume,value
20171010,SBVG,Oslo Børs,33.70,34.40,33.70,34.40,10600,361800
20171009,SBVG,Oslo Børs,34.00,34.00,33.50,34.00,46151,1562953
20171006,SBVG,Oslo Børs,34.00,34.00,34.00,34.00,27353,930002
20171005,SBVG,Oslo Børs,34.50,34.50,34.50,34.50,158,5451
20171004,SBVG,Oslo Børs,34.60,34.60,34.60,34.60,4410,152586
20171003,SBVG,Oslo Børs,34.60,34.70,34.20,34.60,10062,346529
20171002,SBVG,Oslo Børs,34.30,34.60,34.30,34.60,3076,105829
20170929,SBVG,Oslo Børs,34.30,34.60,34.30,34.60,30068,1028502
20170928,SBVG,Oslo Børs,34.30,34.60,34.00,34.60,25501,871027
20170927,SBVG,Oslo Børs,34.70,34.80,34.70,34.80,7000,243350
20170926,SBVG,Oslo Børs,34.70,34.70,34.30,34.50,13154,451696
20170925,SBVG,Oslo Børs,34.70,34.70,34.50,34.70,21327,736352
20170922,SBVG,Oslo Børs,34.50,34.70,34.40,34.60,52288,1803391
20170921,SBVG,Oslo Børs,34.10,34.80,34.00,34.50,4314061,145778290
20170920,SBVG,Oslo Børs,34.80,34.80,34.10,34.70,14132,488502
20170919,SBVG,Oslo Børs,34.50,34.50,34.50,34.50,126000,4322000
20170918,SBVG,Oslo Børs,34.80,34.80,34.80,34.80,3877,134919
20170915,SBVG,Oslo Børs,34.70,34.70,34.10,34.10,16515,570820
20170914,SBVG,Oslo Børs,34.80,34.80,34.60,34.70,5598,194495
20170913,SBVG,Oslo Børs,34.80,34.80,34.80,34.80,3700,128760
20170912,SBVG,Oslo Børs,34.80,34.80,34.80,34.80,2607,90723
20170911,SBVG,Oslo Børs,34.80,34.80,34.80,34.80,41,1426
20170908,SBVG,Oslo Børs,34.80,34.80,34.80,34.80,14031,488278
20170907,SBVG,Oslo Børs,34.80,34.80,34.40,34.40,5899,204393
20170906,SBVG,Oslo Børs,34.90,35.00,34.80,34.80,103207,3611659
20170905,SBVG,Oslo Børs,35.00,35.00,34.80,34.80,25529,893429
20170904,SBVG,Oslo Børs,34.50,35.00,33.80,35.00,42541,1455746
20170901,SBVG,Oslo Børs,34.70,34.70,34.50,34.50,1501,51785
20170831,SBVG,Oslo Børs,34.30,34.70,34.30,34.70,31860,1093280
20170830,SBVG,Oslo Børs,34.20,34.20,34.00,34.00,12000,408032
20170829,SBVG,Oslo Børs,34.70,34.80,34.00,34.00,24647,845102
20170828,SBVG,Oslo Børs,35.00,35.00,34.70,34.70,56450,1959160
20170825,SBVG,Oslo Børs,35.10,35.20,35.00,35.00,14226,500055
20170824,SBVG,Oslo Børs,34.90,35.00,34.90,35.00,255176,8921146
20170823,SBVG,Oslo Børs,34.90,35.00,34.90,35.00,4000,139851
20170822,SBVG,Oslo Børs,34.40,34.60,34.40,34.60,4500,155500
20170821,SBVG,Oslo Børs,34.30,34.90,34.20,34.90,13421,465879
20170818,SBVG,Oslo Børs,34.40,35.00,34.20,34.20,12725,442820
20170817,SBVG,Oslo Børs,35.00,35.00,34.40,34.40,51409,1788448
20170816,SBVG,Oslo Børs,34.00,35.50,34.00,35.20,95543,3357376
20170815,SBVG,Oslo Børs,33.20,34.40,32.80,34.00,52301,1755613
20170814,SBVG,Oslo Børs,33.20,33.40,32.00,33.40,32740,1064642
20170811,SBVG,Oslo Børs,33.50,33.70,33.00,33.70,20690,691086
20170810,SBVG,Oslo Børs,32.90,33.50,32.90,33.50,6301,209371
20170809,SBVG,Oslo Børs,33.00,33.00,31.90,33.00,14011,454931
20170808,SBVG,Oslo Børs,32.50,32.90,32.20,32.20,46282,1509711
20170807,SBVG,Oslo Børs,32.40,32.40,32.30,32.30,869,28154
20170804,SBVG,Oslo Børs,32.30,32.40,32.20,32.30,10601,342418
20170803,SBVG,Oslo Børs,32.50,32.50,31.80,32.00,3822,123187
20170802,SBVG,Oslo Børs,32.50,32.50,32.50,32.50,2000,65000
20170801,SBVG,Oslo Børs,31.90,31.90,31.50,31.50,5401,170913
20170731,SBVG,Oslo Børs,32.20,32.20,32.20,32.20,1300,41860
20170728,SBVG,Oslo Børs,32.30,32.30,31.70,32.00,14412,460689
20170727,SBVG,Oslo Børs,32.10,32.10,32.10,32.10,2240,71904
20170726,SBVG,Oslo Børs,32.00,32.30,32.00,32.00,6140,197202
20170725,SBVG,Oslo Børs,32.00,32.00,32.00,32.00,109134,3492288
