quote_date,paper,exch,open,high,low,close,volume,value
20171013,SBX,Oslo Børs,0.38,0.40,0.35,0.38,8904540,3345722
20171012,SBX,Oslo Børs,0.47,0.49,0.38,0.40,8215099,3601172
20171011,SBX,Oslo Børs,0.50,0.52,0.46,0.47,8156867,3930973
20171010,SBX,Oslo Børs,0.58,0.60,0.48,0.50,23491174,12573963
20171009,SBX,Oslo Børs,0.45,0.63,0.42,0.56,41360842,23140820
20171006,SBX,Oslo Børs,0.52,0.52,0.43,0.44,11533906,5429362
20171005,SBX,Oslo Børs,0.50,0.67,0.50,0.50,60811256,35387475
20171004,SBX,Oslo Børs,0.36,0.52,0.36,0.50,34812238,15742406
20171003,SBX,Oslo Børs,0.35,0.38,0.33,0.35,5250064,1866896
20171002,SBX,Oslo Børs,0.33,0.39,0.32,0.36,13785910,4855516
20170929,SBX,Oslo Børs,0.30,0.35,0.30,0.31,7108136,2342565
20170928,SBX,Oslo Børs,0.30,0.30,0.29,0.29,1558315,458637
20170927,SBX,Oslo Børs,0.29,0.32,0.28,0.30,5006791,1513662
20170926,SBX,Oslo Børs,0.29,0.29,0.27,0.28,1449294,406039
20170925,SBX,Oslo Børs,0.29,0.30,0.27,0.28,5141113,1453940
20170922,SBX,Oslo Børs,0.30,0.31,0.29,0.29,1389379,413173
20170921,SBX,Oslo Børs,0.30,0.33,0.29,0.30,3073925,948188
20170920,SBX,Oslo Børs,0.33,0.34,0.30,0.30,9117521,2871343
20170919,SBX,Oslo Børs,0.30,0.38,0.29,0.32,34693718,10983838
20170918,SBX,Oslo Børs,0.28,0.33,0.25,0.28,27522446,7975287
20170913,SBX,Oslo Børs,0.76,0.80,0.64,0.67,3438996,2402679
20170912,SBX,Oslo Børs,0.91,0.92,0.74,0.76,9909896,8258106
20170911,SBX,Oslo Børs,0.64,0.97,0.57,0.90,9898744,7816363
20170908,SBX,Oslo Børs,0.70,0.70,0.58,0.61,4491101,2867795
20170907,SBX,Oslo Børs,0.65,0.80,0.65,0.68,6385189,4589828
20170906,SBX,Oslo Børs,0.89,0.89,0.61,0.64,12499334,9340565
