quote_date,paper,exch,open,high,low,close,volume,value
20171012,SEVAN,Oslo Børs,10.60,11.50,10.20,11.00,147135,1556117
20171011,SEVAN,Oslo Børs,12.00,12.00,10.00,10.50,527231,5580010
20171010,SEVAN,Oslo Børs,12.00,12.00,11.25,12.00,20920,249582
20171009,SEVAN,Oslo Børs,13.50,13.50,11.75,12.00,16896,206808
20171006,SEVAN,Oslo Børs,13.70,13.70,13.00,13.50,34747,469981
20171005,SEVAN,Oslo Børs,13.55,14.00,13.50,14.00,17203,234222
20171004,SEVAN,Oslo Børs,13.55,14.00,13.55,14.00,34483,482537
20171003,SEVAN,Oslo Børs,14.00,14.00,13.85,14.00,100963,1413320
20171002,SEVAN,Oslo Børs,14.10,14.10,13.55,14.00,1504800,21066905
20170929,SEVAN,Oslo Børs,13.80,14.00,13.50,14.00,7143,99586
20170927,SEVAN,Oslo Børs,14.00,14.00,13.80,14.00,11500,160947
20170926,SEVAN,Oslo Børs,13.50,14.00,13.50,14.00,1110,15235
20170925,SEVAN,Oslo Børs,13.95,14.40,13.65,14.00,10917,153890
20170922,SEVAN,Oslo Børs,13.95,14.10,13.95,14.05,6317,88372
20170921,SEVAN,Oslo Børs,14.30,14.60,14.25,14.50,19572,283390
20170920,SEVAN,Oslo Børs,14.50,14.50,14.20,14.30,1880,26863
20170919,SEVAN,Oslo Børs,13.75,14.50,13.75,14.50,14392,206929
20170918,SEVAN,Oslo Børs,14.30,14.50,14.00,14.00,7900,113928
20170915,SEVAN,Oslo Børs,13.35,14.40,13.35,14.20,81711,1142058
20170914,SEVAN,Oslo Børs,13.10,13.75,13.10,13.60,6845,91994
20170913,SEVAN,Oslo Børs,12.90,13.75,12.90,13.75,6282,82975
20170912,SEVAN,Oslo Børs,13.60,13.60,12.70,13.55,5690,75468
20170911,SEVAN,Oslo Børs,13.00,13.60,13.00,13.60,3000,40020
20170908,SEVAN,Oslo Børs,13.70,13.80,13.50,13.65,46400,626510
20170907,SEVAN,Oslo Børs,13.00,13.50,13.00,13.50,4100,55232
20170906,SEVAN,Oslo Børs,13.50,13.50,13.50,13.50,1700,22950
20170905,SEVAN,Oslo Børs,13.50,13.50,12.70,13.50,860,11400
20170904,SEVAN,Oslo Børs,13.80,13.85,12.75,13.45,50428,680791
20170901,SEVAN,Oslo Børs,13.95,13.95,13.50,13.95,1500554,19579860
20170831,SEVAN,Oslo Børs,13.50,13.95,13.15,13.95,34957,473739
20170830,SEVAN,Oslo Børs,13.80,14.00,13.50,14.00,4214,58289
20170829,SEVAN,Oslo Børs,13.50,14.40,13.45,13.80,55165,764724
20170828,SEVAN,Oslo Børs,13.25,13.50,13.25,13.50,6694,90366
20170825,SEVAN,Oslo Børs,13.45,13.45,13.45,13.45,35,470
20170824,SEVAN,Oslo Børs,13.50,13.50,13.45,13.45,33714,454222
20170823,SEVAN,Oslo Børs,13.00,13.45,13.00,13.45,506,6803
20170821,SEVAN,Oslo Børs,13.45,13.45,13.45,13.45,500,6725
20170818,SEVAN,Oslo Børs,13.50,13.50,13.45,13.45,16760,225791
20170817,SEVAN,Oslo Børs,13.00,13.50,13.00,13.45,7401,99236
20170816,SEVAN,Oslo Børs,13.50,13.50,13.50,13.50,2000,27000
20170814,SEVAN,Oslo Børs,12.55,13.45,12.55,13.45,1555,20165
20170810,SEVAN,Oslo Børs,13.30,13.50,13.30,13.50,5000,66707
20170809,SEVAN,Oslo Børs,13.25,13.40,13.25,13.40,259320,3661232
20170808,SEVAN,Oslo Børs,13.25,13.25,13.25,13.25,2500,33125
20170807,SEVAN,Oslo Børs,13.90,13.90,13.10,13.25,3795,51201
20170804,SEVAN,Oslo Børs,12.80,13.50,12.80,13.50,33563,444897
20170803,SEVAN,Oslo Børs,13.95,14.00,13.20,13.50,30081,406116
20170802,SEVAN,Oslo Børs,13.00,13.80,13.00,13.80,1901,25537
20170801,SEVAN,Oslo Børs,13.10,14.95,12.90,13.00,39991,523047
20170731,SEVAN,Oslo Børs,12.80,13.40,12.80,13.00,1552747,20203736
20170728,SEVAN,Oslo Børs,13.00,13.00,12.50,13.00,171823,2233016
20170727,SEVAN,Oslo Børs,13.00,13.30,13.00,13.00,53670,697860
20170726,SEVAN,Oslo Børs,13.05,13.30,12.90,13.30,22491,292654
20170724,SEVAN,Oslo Børs,13.05,13.05,13.05,13.05,2500,32625
20170720,SEVAN,Oslo Børs,13.00,13.00,13.00,13.00,501900,6524700
20170719,SEVAN,Oslo Børs,13.00,13.00,12.70,12.85,22119,287236
20170718,SEVAN,Oslo Børs,13.00,13.05,12.95,13.00,282362,3670629
20170717,SEVAN,Oslo Børs,13.00,13.85,13.00,13.85,1520,20407
20170714,SEVAN,Oslo Børs,13.00,13.30,12.95,13.00,13815,179994
20170711,SEVAN,Oslo Børs,13.15,14.20,13.00,14.20,40671,529603
20170710,SEVAN,Oslo Børs,13.15,14.20,13.10,14.20,11382,155229
20170707,SEVAN,Oslo Børs,13.85,13.85,13.05,13.85,700,9617
20170706,SEVAN,Oslo Børs,13.50,13.85,13.50,13.85,1500,20425
20170705,SEVAN,Oslo Børs,13.25,13.25,13.00,13.00,10040,130530
20170704,SEVAN,Oslo Børs,13.00,13.50,13.00,13.50,1210,16182
20170703,SEVAN,Oslo Børs,14.35,14.35,12.75,13.45,7788,100744
20170630,SEVAN,Oslo Børs,13.95,14.35,13.95,14.35,6816,96039
20170629,SEVAN,Oslo Børs,13.40,13.60,13.00,13.60,21657,282076
20170628,SEVAN,Oslo Børs,13.00,13.45,13.00,13.40,29351,392122
20170627,SEVAN,Oslo Børs,12.20,13.00,12.20,12.60,10033,128805
20170626,SEVAN,Oslo Børs,13.40,13.40,13.00,13.00,700,9300
20170623,SEVAN,Oslo Børs,12.95,13.40,12.20,12.90,3706,47601
20170622,SEVAN,Oslo Børs,13.00,13.40,12.95,12.95,4500,58488
20170621,SEVAN,Oslo Børs,13.40,13.40,12.05,12.85,1621,21033
20170620,SEVAN,Oslo Børs,13.80,13.80,12.95,13.00,1502000,19451385
20170619,SEVAN,Oslo Børs,12.00,13.40,12.00,13.30,12877,164703
20170616,SEVAN,Oslo Børs,13.40,13.40,13.40,13.40,1000,13400
20170615,SEVAN,Oslo Børs,12.65,12.90,12.35,12.90,5705,72212
20170614,SEVAN,Oslo Børs,13.50,13.50,12.95,13.00,17621,234078
