quote_date,paper,exch,open,high,low,close,volume,value
20171010,SIOFF,Oslo Børs,1.90,1.95,1.90,1.90,8864,17199
20171009,SIOFF,Oslo Børs,1.90,1.95,1.87,1.89,36486,68507
20171006,SIOFF,Oslo Børs,1.93,1.93,1.89,1.89,15406,29165
20171005,SIOFF,Oslo Børs,1.83,1.98,1.83,1.98,7415,13929
20171004,SIOFF,Oslo Børs,1.96,1.96,1.88,1.88,20310,38476
20171003,SIOFF,Oslo Børs,1.95,1.99,1.95,1.95,1614,3167
20170929,SIOFF,Oslo Børs,1.95,1.95,1.95,1.95,5000,9750
20170928,SIOFF,Oslo Børs,1.90,1.94,1.90,1.90,20055,38870
20170927,SIOFF,Oslo Børs,1.89,1.92,1.89,1.90,17761,33940
20170926,SIOFF,Oslo Børs,1.89,1.89,1.89,1.89,18189,34377
20170925,SIOFF,Oslo Børs,1.86,1.86,1.86,1.86,30320,56395
20170922,SIOFF,Oslo Børs,1.92,1.94,1.87,1.87,20332,38164
20170921,SIOFF,Oslo Børs,1.82,1.82,1.82,1.82,13500,24570
20170920,SIOFF,Oslo Børs,1.85,1.89,1.85,1.85,27440,50789
20170919,SIOFF,Oslo Børs,1.90,1.90,1.80,1.85,11750,21700
20170918,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,6729,12785
20170915,SIOFF,Oslo Børs,1.83,1.88,1.80,1.88,14855,27610
20170913,SIOFF,Oslo Børs,1.87,1.90,1.87,1.87,60600,114324
20170908,SIOFF,Oslo Børs,1.87,1.87,1.87,1.87,45662,85387
20170907,SIOFF,Oslo Børs,1.90,1.90,1.87,1.87,27586,51585
20170905,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,28218,53614
20170904,SIOFF,Oslo Børs,1.88,1.89,1.88,1.89,13833,26019
20170901,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,16137,30660
20170831,SIOFF,Oslo Børs,1.89,1.89,1.86,1.86,1419,2640
20170830,SIOFF,Oslo Børs,1.91,1.91,1.91,1.91,7500,14325
20170828,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,41450,78755
20170825,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,10000,19000
20170824,SIOFF,Oslo Børs,1.87,1.87,1.87,1.87,300,561
20170822,SIOFF,Oslo Børs,1.88,1.88,1.87,1.87,35391,66281
20170818,SIOFF,Oslo Børs,1.95,1.95,1.89,1.89,1200,2328
20170817,SIOFF,Oslo Børs,1.88,1.88,1.88,1.88,4974,9351
20170816,SIOFF,Oslo Børs,1.86,1.87,1.86,1.87,12783,23839
20170815,SIOFF,Oslo Børs,1.87,1.87,1.87,1.87,40306,75372
20170814,SIOFF,Oslo Børs,1.87,1.87,1.86,1.86,5000,9339
20170811,SIOFF,Oslo Børs,1.84,1.84,1.84,1.84,20000,36800
20170810,SIOFF,Oslo Børs,1.90,1.90,1.83,1.85,4226,8025
20170809,SIOFF,Oslo Børs,1.94,1.94,1.94,1.94,1500,2910
20170808,SIOFF,Oslo Børs,2.00,2.00,1.95,1.95,8833,17391
20170804,SIOFF,Oslo Børs,1.87,1.94,1.87,1.90,9736,18580
20170803,SIOFF,Oslo Børs,1.86,1.86,1.86,1.86,10000,18600
20170802,SIOFF,Oslo Børs,1.86,1.86,1.86,1.86,103333,195932
20170801,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,850,1615
20170731,SIOFF,Oslo Børs,1.85,1.85,1.85,1.85,750,1387
20170727,SIOFF,Oslo Børs,1.86,1.86,1.85,1.85,4900,9073
20170724,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,2000,3800
20170720,SIOFF,Oslo Børs,1.85,1.85,1.85,1.85,195,360
20170719,SIOFF,Oslo Børs,1.90,1.90,1.85,1.85,646278,1195614
20170717,SIOFF,Oslo Børs,1.94,1.94,1.90,1.90,28050,53297
20170714,SIOFF,Oslo Børs,1.95,1.95,1.92,1.95,51057,99070
20170713,SIOFF,Oslo Børs,1.81,1.81,1.81,1.81,2640,4778
20170712,SIOFF,Oslo Børs,1.85,1.85,1.84,1.84,5120,9470
20170711,SIOFF,Oslo Børs,1.94,1.94,1.94,1.94,1200,2328
20170710,SIOFF,Oslo Børs,1.85,1.98,1.85,1.94,1761,3445
20170704,SIOFF,Oslo Børs,1.81,1.81,1.81,1.81,40,72
20170703,SIOFF,Oslo Børs,1.82,1.82,1.81,1.81,12300,22373
20170630,SIOFF,Oslo Børs,1.82,1.82,1.82,1.82,132,240
20170629,SIOFF,Oslo Børs,1.85,1.85,1.82,1.82,16077,29307
20170628,SIOFF,Oslo Børs,1.85,1.85,1.85,1.85,611,1130
20170627,SIOFF,Oslo Børs,1.99,1.99,1.99,1.99,1171,2330
20170626,SIOFF,Oslo Børs,1.87,1.99,1.87,1.99,8400,16650
20170622,SIOFF,Oslo Børs,1.84,1.84,1.84,1.84,400,736
20170621,SIOFF,Oslo Børs,2.05,2.05,1.84,1.84,8518,16667
20170620,SIOFF,Oslo Børs,1.97,1.97,1.97,1.97,60,118
20170619,SIOFF,Oslo Børs,1.88,1.88,1.88,1.88,60,112
20170616,SIOFF,Oslo Børs,1.88,1.89,1.88,1.89,500,944
20170615,SIOFF,Oslo Børs,1.85,1.85,1.85,1.85,3100,5735
20170614,SIOFF,Oslo Børs,1.97,1.97,1.85,1.85,8900,17055
20170613,SIOFF,Oslo Børs,1.99,1.99,1.97,1.97,850,1688
20170612,SIOFF,Oslo Børs,1.90,1.90,1.85,1.85,26552,49294
20170609,SIOFF,Oslo Børs,1.90,1.90,1.90,1.90,28252,53678
20170608,SIOFF,Oslo Børs,1.90,1.91,1.90,1.90,86900,165210
20170607,SIOFF,Oslo Børs,1.97,1.98,1.89,1.90,27764,53437
20170606,SIOFF,Oslo Børs,1.86,1.95,1.86,1.93,16855,32639
20170602,SIOFF,Oslo Børs,1.86,1.86,1.86,1.86,120,223
20170601,SIOFF,Oslo Børs,1.90,1.90,1.85,1.85,10000,18737
20170531,SIOFF,Oslo Børs,2.00,2.00,1.90,1.90,18550,35306
20170530,SIOFF,Oslo Børs,1.96,1.96,1.91,1.91,2058,3980
20170529,SIOFF,Oslo Børs,2.19,2.19,2.12,2.12,2016,4355
20170526,SIOFF,Oslo Børs,2.19,2.19,2.12,2.12,5220,11378
20170524,SIOFF,Oslo Børs,1.94,1.94,1.94,1.94,1000,1940
20170523,SIOFF,Oslo Børs,1.92,2.06,1.92,2.06,25928,51118
20170522,SIOFF,Oslo Børs,1.92,1.92,1.91,1.91,160000,311623
20170519,SIOFF,Oslo Børs,1.90,1.92,1.85,1.90,191668,371422
20170518,SIOFF,Oslo Børs,2.03,2.03,1.95,1.95,13010,26169
20170516,SIOFF,Oslo Børs,2.20,2.20,2.05,2.05,7630,15656
20170512,SIOFF,Oslo Børs,2.00,2.05,2.00,2.05,13048,26348
20170511,SIOFF,Oslo Børs,2.05,2.05,2.00,2.00,13815,28091
20170510,SIOFF,Oslo Børs,2.05,2.05,2.05,2.05,200,410
20170509,SIOFF,Oslo Børs,2.06,2.06,2.05,2.05,4160,8563
20170508,SIOFF,Oslo Børs,2.04,2.06,2.00,2.06,13036,26428
20170505,SIOFF,Oslo Børs,2.00,2.00,2.00,2.00,2631,5262
20170504,SIOFF,Oslo Børs,2.10,2.10,2.10,2.10,5000,10500
20170503,SIOFF,Oslo Børs,2.20,2.20,2.18,2.18,4018,8839
20170502,SIOFF,Oslo Børs,2.17,2.18,2.17,2.17,5410,11759
20170428,SIOFF,Oslo Børs,2.16,2.16,2.14,2.14,17350,37229
20170427,SIOFF,Oslo Børs,2.15,2.17,2.15,2.17,4000,8660
20170426,SIOFF,Oslo Børs,2.20,2.20,2.14,2.14,5812,12710
20170425,SIOFF,Oslo Børs,2.25,2.25,2.15,2.20,39305,85563
20170424,SIOFF,Oslo Børs,2.26,2.26,2.15,2.15,12315,27617
20170421,SIOFF,Oslo Børs,2.19,2.50,2.13,2.13,302896,693008
20170420,SIOFF,Oslo Børs,2.06,2.19,2.06,2.19,6101,12711
20170419,SIOFF,Oslo Børs,2.10,2.10,2.10,2.10,5000,10500
20170418,SIOFF,Oslo Børs,2.20,2.20,2.14,2.14,11776,25553
20170411,SIOFF,Oslo Børs,2.14,2.14,2.14,2.14,3434,7348
20170410,SIOFF,Oslo Børs,2.00,2.10,2.00,2.10,7240,14880
20170407,SIOFF,Oslo Børs,1.88,2.20,1.88,1.95,71881,143687
20170406,SIOFF,Oslo Børs,1.86,2.19,1.86,2.19,170,369
20170405,SIOFF,Oslo Børs,2.05,2.05,2.05,2.05,10105,20715
20170404,SIOFF,Oslo Børs,2.15,2.15,2.05,2.05,320,672
20170403,SIOFF,Oslo Børs,2.15,2.15,2.15,2.15,3000,6450
20170331,SIOFF,Oslo Børs,2.19,2.20,2.19,2.20,22000,48390
20170330,SIOFF,Oslo Børs,2.25,2.25,2.15,2.20,33146,72058
20170329,SIOFF,Oslo Børs,2.28,2.29,2.25,2.25,3100,7067
20170328,SIOFF,Oslo Børs,2.17,2.28,2.17,2.28,30199,68356
20170327,SIOFF,Oslo Børs,2.25,2.25,2.01,2.16,17876,39246
20170324,SIOFF,Oslo Børs,2.21,2.21,2.20,2.20,2000,4403
20170323,SIOFF,Oslo Børs,2.26,2.26,2.20,2.26,13050,29287
20170322,SIOFF,Oslo Børs,2.23,2.25,2.21,2.25,21505,47750
20170321,SIOFF,Oslo Børs,2.21,2.23,2.21,2.23,10239,22768
20170320,SIOFF,Oslo Børs,2.23,2.23,2.23,2.23,10000,22300
20170317,SIOFF,Oslo Børs,2.30,2.30,2.21,2.21,21000,46680
20170313,SIOFF,Oslo Børs,2.29,2.29,2.29,2.29,500,1145
20170310,SIOFF,Oslo Børs,2.29,2.29,2.27,2.28,10919,24835
20170309,SIOFF,Oslo Børs,2.25,2.26,2.25,2.26,12600,28450
20170308,SIOFF,Oslo Børs,2.24,2.24,2.23,2.24,8023,17961
20170307,SIOFF,Oslo Børs,2.26,2.26,2.22,2.23,21524,48263
20170306,SIOFF,Oslo Børs,2.20,2.20,2.16,2.18,68157,148993
20170303,SIOFF,Oslo Børs,2.29,2.29,2.20,2.22,20158,45367
20170302,SIOFF,Oslo Børs,2.26,2.29,2.26,2.26,107804,240697
20170301,SIOFF,Oslo Børs,2.21,2.25,2.20,2.25,6184,13727
20170228,SIOFF,Oslo Børs,2.29,2.29,2.20,2.20,10300,23470
20170227,SIOFF,Oslo Børs,2.20,2.25,2.20,2.25,11786,26371
20170224,SIOFF,Oslo Børs,2.20,2.25,2.20,2.20,51219,113227
20170223,SIOFF,Oslo Børs,2.21,2.30,2.21,2.28,22461,50651
20170222,SIOFF,Oslo Børs,2.20,2.20,2.20,2.20,26299,57857
20170221,SIOFF,Oslo Børs,2.25,2.30,2.20,2.30,51025,115441
20170220,SIOFF,Oslo Børs,2.25,2.25,2.25,2.25,26057,58628
20170217,SIOFF,Oslo Børs,2.25,2.27,2.25,2.25,105942,238431
20170216,SIOFF,Oslo Børs,2.30,2.30,2.25,2.25,303945,698910
20170215,SIOFF,Oslo Børs,2.25,2.30,2.25,2.30,11983,27072
20170214,SIOFF,Oslo Børs,2.25,2.26,2.25,2.26,6013,13585
20170213,SIOFF,Oslo Børs,2.30,2.39,2.24,2.25,70924,163516
