quote_date,paper,exch,open,high,low,close,volume,value
20171010,SKBN,Oslo Børs,87.25,87.75,86.75,87.25,306797,26807436
20171009,SKBN,Oslo Børs,86.50,88.00,86.50,87.25,74111,6471389
20171006,SKBN,Oslo Børs,87.00,87.25,86.50,86.50,113751,9867820
20171005,SKBN,Oslo Børs,87.50,87.50,86.50,87.00,68051,5928934
20171004,SKBN,Oslo Børs,87.50,87.75,87.25,87.50,76623,6701140
20171003,SKBN,Oslo Børs,86.50,88.50,86.25,87.25,165066,14454690
20171002,SKBN,Oslo Børs,88.00,88.00,86.50,86.50,172055,14975419
20170929,SKBN,Oslo Børs,87.75,88.75,86.50,88.00,115345,10139582
20170928,SKBN,Oslo Børs,86.25,87.25,85.50,87.25,96708,8373599
20170927,SKBN,Oslo Børs,86.00,87.00,85.00,87.00,161018,13817460
20170926,SKBN,Oslo Børs,85.75,86.25,85.25,86.00,102193,8771135
20170925,SKBN,Oslo Børs,85.25,86.25,85.25,85.75,34327,2947686
20170922,SKBN,Oslo Børs,86.00,86.00,85.25,85.25,68078,5827192
20170921,SKBN,Oslo Børs,82.75,86.00,82.50,86.00,480501,40384343
20170920,SKBN,Oslo Børs,82.50,83.50,82.50,82.75,46602,3867378
20170919,SKBN,Oslo Børs,83.75,83.75,82.50,82.50,148838,12389618
20170918,SKBN,Oslo Børs,82.50,84.00,82.50,84.00,116142,9726396
20170915,SKBN,Oslo Børs,82.75,82.75,82.00,82.50,97705,8061109
20170914,SKBN,Oslo Børs,82.00,82.50,81.25,82.25,88049,7233642
20170913,SKBN,Oslo Børs,81.50,82.00,81.00,81.75,143209,11690136
20170912,SKBN,Oslo Børs,82.25,82.25,81.00,81.00,136964,11139136
20170911,SKBN,Oslo Børs,81.50,81.50,80.50,81.50,160755,12973795
20170908,SKBN,Oslo Børs,80.75,81.00,80.00,80.50,162873,13118376
20170907,SKBN,Oslo Børs,80.50,81.50,80.25,80.25,174539,14130811
20170906,SKBN,Oslo Børs,80.25,81.50,80.25,80.50,124832,10109080
20170905,SKBN,Oslo Børs,82.25,82.50,80.75,81.00,157716,12844680
20170904,SKBN,Oslo Børs,82.00,82.75,81.50,81.50,83048,6794362
20170901,SKBN,Oslo Børs,80.50,82.00,80.50,82.00,76901,6256312
20170831,SKBN,Oslo Børs,80.25,81.00,80.00,80.00,253611,20393204
20170830,SKBN,Oslo Børs,80.25,80.75,80.25,80.25,54389,4372285
20170829,SKBN,Oslo Børs,82.00,82.00,80.25,80.25,101576,8210951
20170828,SKBN,Oslo Børs,83.00,83.25,81.00,81.25,63740,5221647
20170825,SKBN,Oslo Børs,81.25,82.75,81.25,82.50,61841,5094046
20170824,SKBN,Oslo Børs,83.00,83.00,81.00,81.25,45796,3755184
20170823,SKBN,Oslo Børs,83.25,83.25,82.50,83.00,40202,3337321
20170822,SKBN,Oslo Børs,83.50,84.00,81.75,83.25,369661,30445623
20170821,SKBN,Oslo Børs,84.50,84.50,83.00,83.25,41078,3429524
20170818,SKBN,Oslo Børs,81.50,83.00,80.25,83.00,58609,4786031
20170817,SKBN,Oslo Børs,82.50,82.75,81.75,82.00,137439,11281623
20170816,SKBN,Oslo Børs,81.50,83.00,81.50,83.00,638546,53220940
20170815,SKBN,Oslo Børs,83.00,83.25,82.00,82.00,66227,5456313
20170814,SKBN,Oslo Børs,82.25,84.75,82.25,83.00,175464,14622308
20170811,SKBN,Oslo Børs,85.75,85.75,81.25,84.50,348522,29366497
20170810,SKBN,Oslo Børs,86.50,86.50,85.50,86.25,221086,18990745
20170809,SKBN,Oslo Børs,87.50,87.75,86.00,86.25,175485,15186757
20170808,SKBN,Oslo Børs,88.50,89.00,87.25,87.75,179279,15770955
20170807,SKBN,Oslo Børs,86.50,87.50,86.25,87.00,139649,12133954
20170804,SKBN,Oslo Børs,89.50,89.50,85.50,86.00,96664,8366061
20170803,SKBN,Oslo Børs,90.00,90.25,86.75,86.75,77877,6896922
20170802,SKBN,Oslo Børs,89.50,90.00,89.25,90.00,51406,4616491
20170801,SKBN,Oslo Børs,89.00,89.00,87.50,89.00,54562,4832140
20170731,SKBN,Oslo Børs,87.75,88.75,87.75,88.50,68904,6086725
20170728,SKBN,Oslo Børs,89.00,89.00,88.00,88.25,55177,4868933
20170727,SKBN,Oslo Børs,88.50,89.00,87.75,88.25,85575,7537775
20170726,SKBN,Oslo Børs,88.00,88.25,87.00,87.75,53109,4657491
20170725,SKBN,Oslo Børs,85.00,87.50,84.75,87.50,59087,5136633
20170724,SKBN,Oslo Børs,86.00,86.00,85.00,85.00,40419,3441268
20170721,SKBN,Oslo Børs,86.50,86.75,85.75,86.00,30979,2669299
20170720,SKBN,Oslo Børs,87.00,88.50,86.25,87.00,45120,3944009
20170719,SKBN,Oslo Børs,87.00,87.25,86.00,87.00,688349,59860801
20170718,SKBN,Oslo Børs,85.25,87.00,85.25,87.00,89229,7710825
20170717,SKBN,Oslo Børs,86.00,86.00,84.75,85.25,33982,2899143
20170714,SKBN,Oslo Børs,85.50,86.25,85.00,85.75,38014,3255199
20170713,SKBN,Oslo Børs,87.00,87.00,85.00,85.50,68799,5896509
20170712,SKBN,Oslo Børs,85.00,86.50,85.00,86.00,248026,21318257
20170711,SKBN,Oslo Børs,85.00,86.25,84.25,85.00,87142,7402376
20170710,SKBN,Oslo Børs,83.75,85.25,83.75,85.25,131626,11141396
20170707,SKBN,Oslo Børs,84.75,84.75,82.75,83.50,84551,7061316
20170706,SKBN,Oslo Børs,82.00,84.25,81.50,83.25,142029,11802529
20170705,SKBN,Oslo Børs,81.00,82.00,80.75,81.75,1302494,105963768
20170704,SKBN,Oslo Børs,81.00,81.00,80.25,80.50,1257053,101773116
20170703,SKBN,Oslo Børs,79.00,81.00,78.75,81.00,1218734,98528349
20170630,SKBN,Oslo Børs,79.50,80.25,78.75,79.00,97797,7759499
20170629,SKBN,Oslo Børs,77.75,80.50,77.25,79.25,274820,21815347
20170628,SKBN,Oslo Børs,76.25,78.25,76.25,77.25,728613,56750148
20170627,SKBN,Oslo Børs,78.00,78.00,77.00,77.75,177501,13795819
20170626,SKBN,Oslo Børs,77.50,78.25,77.25,77.50,93796,7285047
20170623,SKBN,Oslo Børs,78.00,79.00,77.25,78.00,83972,6552574
20170622,SKBN,Oslo Børs,78.25,79.25,75.50,77.00,267663,20853370
20170621,SKBN,Oslo Børs,80.00,80.75,77.75,78.00,199596,15813942
20170620,SKBN,Oslo Børs,79.25,79.75,79.25,79.50,55987,4452207
20170619,SKBN,Oslo Børs,79.50,79.75,78.00,79.00,164036,12984760
20170616,SKBN,Oslo Børs,81.25,81.25,78.25,78.25,259202,20337163
20170615,SKBN,Oslo Børs,80.00,81.00,78.50,81.00,60726,4860439
20170614,SKBN,Oslo Børs,79.50,81.25,78.75,80.50,107202,8574811
20170613,SKBN,Oslo Børs,79.25,79.25,78.25,78.50,30244,2375412
20170612,SKBN,Oslo Børs,80.25,80.25,77.75,78.50,95965,7601653
20170609,SKBN,Oslo Børs,81.25,81.50,80.00,80.25,85983,6905279
20170608,SKBN,Oslo Børs,80.50,81.75,80.50,81.25,68841,5590349
20170607,SKBN,Oslo Børs,79.50,80.75,78.75,80.50,26895,2144830
20170606,SKBN,Oslo Børs,79.50,80.25,77.50,79.50,81542,6433168
20170602,SKBN,Oslo Børs,80.50,80.50,79.25,79.50,118884,9472032
20170601,SKBN,Oslo Børs,80.25,81.00,78.50,79.50,294613,23657402
20170531,SKBN,Oslo Børs,81.00,81.25,79.50,80.25,168066,13499757
20170530,SKBN,Oslo Børs,81.25,81.50,80.00,81.00,232835,18802571
20170529,SKBN,Oslo Børs,81.50,82.25,80.75,81.25,34400,2799373
20170526,SKBN,Oslo Børs,81.75,82.00,81.00,81.50,99677,8138431
20170524,SKBN,Oslo Børs,80.75,81.75,80.75,81.75,69060,5627561
20170523,SKBN,Oslo Børs,81.50,81.50,80.25,80.75,73931,5972251
20170522,SKBN,Oslo Børs,80.75,82.00,80.75,81.00,263987,21435517
20170519,SKBN,Oslo Børs,80.25,81.00,79.75,79.75,93674,7525647
20170518,SKBN,Oslo Børs,80.75,81.00,79.75,80.25,140261,11258279
20170516,SKBN,Oslo Børs,80.75,81.50,80.75,81.00,1057004,86039681
20170515,SKBN,Oslo Børs,79.25,81.50,79.25,80.75,86258,6973767
20170512,SKBN,Oslo Børs,79.75,80.25,79.00,79.00,894719,71167984
20170511,SKBN,Oslo Børs,80.00,80.00,79.00,79.50,47111,3739964
20170510,SKBN,Oslo Børs,79.75,80.00,79.00,79.00,136255,10796506
20170509,SKBN,Oslo Børs,79.75,80.00,77.75,79.75,237384,18745454
20170508,SKBN,Oslo Børs,79.75,80.25,79.00,79.50,118547,9462527
20170505,SKBN,Oslo Børs,79.00,79.50,78.75,79.50,270120,21408233
20170504,SKBN,Oslo Børs,79.00,79.75,78.75,79.25,201687,15969951
20170503,SKBN,Oslo Børs,78.75,79.00,77.25,79.00,128506,10090386
20170502,SKBN,Oslo Børs,76.75,78.50,75.75,78.50,178558,13857030
20170428,SKBN,Oslo Børs,75.00,77.25,75.00,76.75,135994,10415522
20170427,SKBN,Oslo Børs,76.25,76.50,74.75,74.75,47467,3574644
20170426,SKBN,Oslo Børs,76.75,76.75,75.75,76.25,53574,4084009
20170425,SKBN,Oslo Børs,76.50,77.00,75.50,76.75,146936,11218641
20170424,SKBN,Oslo Børs,73.50,76.75,73.50,76.50,274326,20842890
20170421,SKBN,Oslo Børs,74.25,74.50,73.25,73.25,30794,2269838
20170420,SKBN,Oslo Børs,73.75,74.75,73.00,74.25,177202,13061228
20170419,SKBN,Oslo Børs,73.50,74.00,72.75,73.75,62409,4568252
20170418,SKBN,Oslo Børs,73.75,74.00,72.50,73.50,112287,8201995
20170412,SKBN,Oslo Børs,72.50,73.25,71.75,72.75,30104,2190201
20170411,SKBN,Oslo Børs,71.00,71.75,70.50,71.75,131509,9348359
20170410,SKBN,Oslo Børs,71.00,72.50,71.00,71.25,152133,10904477
20170407,SKBN,Oslo Børs,73.75,73.75,71.25,72.00,68266,4914684
20170406,SKBN,Oslo Børs,73.75,75.00,72.25,73.75,102792,7586704
20170405,SKBN,Oslo Børs,70.25,74.25,70.25,74.25,74592,5415453
20170404,SKBN,Oslo Børs,70.25,70.75,70.00,70.25,83052,5840745
20170403,SKBN,Oslo Børs,69.75,70.25,69.25,70.25,277258,19424051
20170331,SKBN,Oslo Børs,70.00,70.75,69.25,69.25,94496,6621951
20170330,SKBN,Oslo Børs,70.50,71.00,70.00,70.00,143965,10116274
