quote_date,paper,exch,open,high,low,close,volume,value
20171013,SONG,Oslo Børs,57.00,59.00,56.25,58.25,608035,35400106
20171012,SONG,Oslo Børs,56.00,57.75,55.50,56.75,277913,15786717
20171011,SONG,Oslo Børs,57.00,57.50,56.25,56.50,210829,11942317
20171010,SONG,Oslo Børs,56.25,58.75,56.00,57.50,483579,27755285
20171009,SONG,Oslo Børs,55.50,56.75,55.00,56.25,369999,20750050
20171006,SONG,Oslo Børs,56.50,57.00,55.50,56.00,542983,30430814
20171005,SONG,Oslo Børs,54.75,56.75,54.50,56.50,330631,18441527
20171004,SONG,Oslo Børs,55.00,56.25,54.75,56.00,284228,15867367
20171003,SONG,Oslo Børs,55.00,56.50,53.75,56.25,310295,17178023
20171002,SONG,Oslo Børs,56.00,56.50,55.00,55.50,283664,15817640
20170929,SONG,Oslo Børs,57.00,57.25,54.75,56.75,285209,15960856
20170928,SONG,Oslo Børs,53.50,57.00,53.50,57.00,482962,26860303
20170927,SONG,Oslo Børs,52.75,53.75,52.25,53.50,200914,10672735
20170926,SONG,Oslo Børs,51.50,52.50,50.50,52.50,370154,19196361
20170925,SONG,Oslo Børs,48.30,51.75,48.10,51.50,579590,29512347
20170922,SONG,Oslo Børs,48.60,48.90,47.40,48.90,290478,13984668
20170921,SONG,Oslo Børs,49.70,51.25,48.30,48.80,562889,28201476
20170920,SONG,Oslo Børs,48.00,50.00,48.00,50.00,537104,26270201
20170919,SONG,Oslo Børs,48.00,48.30,47.20,48.20,497911,23834367
20170918,SONG,Oslo Børs,47.40,48.50,47.00,48.30,602461,28715000
20170915,SONG,Oslo Børs,47.00,47.70,46.60,47.50,835157,39543706
20170914,SONG,Oslo Børs,46.60,47.70,46.50,47.50,2946516,138306663
20170913,SONG,Oslo Børs,45.90,46.80,45.60,46.50,1021209,47279338
20170912,SONG,Oslo Børs,45.50,46.40,45.10,46.00,303874,13934348
20170911,SONG,Oslo Børs,45.60,45.60,44.90,45.50,121761,5497863
20170908,SONG,Oslo Børs,45.50,45.80,45.30,45.60,181784,8296927
20170907,SONG,Oslo Børs,45.80,45.90,45.30,45.60,379310,17358733
20170906,SONG,Oslo Børs,45.70,46.00,45.10,46.00,408739,18648447
20170905,SONG,Oslo Børs,44.60,45.90,44.20,45.90,716947,32319409
20170904,SONG,Oslo Børs,44.10,44.60,44.10,44.60,275825,12266241
20170901,SONG,Oslo Børs,44.00,44.50,43.60,44.50,666120,29369478
20170831,SONG,Oslo Børs,43.50,44.30,43.10,44.30,774263,33691869
