quote_date,paper,exch,open,high,low,close,volume,value
20171013,SPOL,Oslo Børs,88.00,88.25,87.00,87.50,59148,5156153
20171012,SPOL,Oslo Børs,86.75,87.75,86.50,87.75,53712,4673691
20171011,SPOL,Oslo Børs,88.25,88.50,86.00,86.75,24370,2139352
20171010,SPOL,Oslo Børs,87.75,88.25,87.50,88.25,69480,6107609
20171009,SPOL,Oslo Børs,86.25,87.75,86.25,87.75,44078,3836301
20171006,SPOL,Oslo Børs,86.75,87.25,86.50,87.00,27705,2400137
20171005,SPOL,Oslo Børs,86.50,86.75,86.50,86.75,10618,919643
20171004,SPOL,Oslo Børs,86.50,86.50,86.00,86.50,49807,4294503
20171003,SPOL,Oslo Børs,86.50,86.75,86.50,86.50,37881,3279411
20171002,SPOL,Oslo Børs,85.00,86.50,85.00,86.50,10268,886963
20170929,SPOL,Oslo Børs,85.50,86.25,85.00,86.00,18078,1553057
20170928,SPOL,Oslo Børs,85.50,85.75,85.00,85.50,25361,2166923
20170927,SPOL,Oslo Børs,85.75,86.00,84.25,85.25,11594,990358
20170926,SPOL,Oslo Børs,85.00,86.00,84.50,85.75,10771,921464
20170925,SPOL,Oslo Børs,85.50,86.00,85.00,85.00,89537,7644216
20170922,SPOL,Oslo Børs,85.75,86.00,85.00,85.50,44577,3828569
20170921,SPOL,Oslo Børs,85.75,85.75,85.00,85.75,215797,18428010
20170920,SPOL,Oslo Børs,86.00,86.00,85.00,85.75,14764,1265394
20170919,SPOL,Oslo Børs,84.75,85.75,84.75,85.75,44489,3793104
20170918,SPOL,Oslo Børs,84.75,85.00,83.50,85.00,9698,819814
20170915,SPOL,Oslo Børs,83.75,84.75,83.50,84.75,5623,474080
20170914,SPOL,Oslo Børs,85.00,85.00,84.00,84.00,227263,19238157
20170913,SPOL,Oslo Børs,85.00,85.00,84.25,85.00,3260,276564
20170912,SPOL,Oslo Børs,83.75,85.00,83.50,85.00,153886,12920674
20170911,SPOL,Oslo Børs,83.00,84.00,82.50,83.25,63458,5278937
20170908,SPOL,Oslo Børs,84.50,84.50,82.50,82.50,29202,2454837
20170907,SPOL,Oslo Børs,84.75,85.00,84.50,84.50,9895,839193
20170906,SPOL,Oslo Børs,85.25,85.25,84.75,85.00,78882,6721283
20170905,SPOL,Oslo Børs,84.75,85.50,84.50,85.50,14701,1247251
20170904,SPOL,Oslo Børs,84.75,85.25,84.50,85.25,40233,3417381
20170901,SPOL,Oslo Børs,85.50,86.00,84.50,84.50,9055,775688
20170831,SPOL,Oslo Børs,85.50,85.50,84.00,85.50,66410,5657660
20170830,SPOL,Oslo Børs,84.50,85.75,84.50,85.50,11749,996496
20170829,SPOL,Oslo Børs,84.00,85.00,84.00,85.00,8076,684929
20170828,SPOL,Oslo Børs,84.75,84.75,82.00,84.00,162162,13620740
20170825,SPOL,Oslo Børs,84.75,84.75,84.00,84.25,35008,2951516
20170824,SPOL,Oslo Børs,85.00,85.00,84.50,84.75,20058,1701929
20170823,SPOL,Oslo Børs,86.00,86.00,85.00,85.00,19357,1663594
20170822,SPOL,Oslo Børs,85.75,86.00,85.50,85.75,11749,1009980
20170821,SPOL,Oslo Børs,84.75,85.50,84.00,85.50,34240,2881611
20170818,SPOL,Oslo Børs,85.75,85.75,84.00,84.50,20325,1718871
20170817,SPOL,Oslo Børs,87.00,87.00,85.50,85.50,24643,2128980
20170816,SPOL,Oslo Børs,86.25,87.25,86.25,87.00,38818,3374641
20170815,SPOL,Oslo Børs,85.75,87.00,85.00,86.25,44458,3837878
20170814,SPOL,Oslo Børs,85.25,86.00,85.25,85.75,17868,1531259
20170811,SPOL,Oslo Børs,85.50,85.50,84.75,85.00,51212,4360662
20170810,SPOL,Oslo Børs,85.25,86.00,84.00,85.50,55906,4777369
20170809,SPOL,Oslo Børs,84.25,86.00,84.25,85.00,37659,3210823
20170808,SPOL,Oslo Børs,85.00,85.00,84.00,84.50,93346,7861369
20170807,SPOL,Oslo Børs,84.75,84.75,84.25,84.25,35805,3018745
20170804,SPOL,Oslo Børs,84.00,84.50,84.00,84.50,13536,1140434
20170803,SPOL,Oslo Børs,84.25,84.50,83.50,84.25,21923,1849057
20170802,SPOL,Oslo Børs,84.50,84.50,84.25,84.50,55031,4645033
20170801,SPOL,Oslo Børs,84.00,84.50,83.75,84.25,29948,2517652
20170731,SPOL,Oslo Børs,84.00,84.00,83.50,83.75,45419,3798792
20170728,SPOL,Oslo Børs,83.75,83.75,83.50,83.50,8772,732720
20170727,SPOL,Oslo Børs,83.75,84.00,83.50,83.50,36256,3036934
20170726,SPOL,Oslo Børs,83.25,83.75,83.25,83.50,16438,1372470
20170725,SPOL,Oslo Børs,82.75,83.00,82.50,83.00,26064,2156354
20170724,SPOL,Oslo Børs,85.00,85.00,82.50,82.50,12885,1064927
20170721,SPOL,Oslo Børs,83.00,83.25,82.00,82.50,21940,1818083
20170720,SPOL,Oslo Børs,84.00,84.375,83.00,83.00,20187,1693936
20170719,SPOL,Oslo Børs,81.00,85.00,81.00,84.50,58334,4818102
20170718,SPOL,Oslo Børs,81.25,81.50,81.00,81.25,16230,1318318
20170717,SPOL,Oslo Børs,81.00,81.50,81.00,81.25,35894,2915719
20170714,SPOL,Oslo Børs,80.50,81.50,80.50,81.00,47649,3860989
20170713,SPOL,Oslo Børs,81.00,81.50,80.75,80.75,17162,1392023
20170712,SPOL,Oslo Børs,79.00,81.50,78.75,80.50,194179,15393844
20170711,SPOL,Oslo Børs,78.75,79.00,78.50,79.00,7618,600729
20170710,SPOL,Oslo Børs,79.00,79.25,78.50,79.00,103049,8140010
20170707,SPOL,Oslo Børs,78.75,79.00,78.75,79.00,8111,638816
20170706,SPOL,Oslo Børs,79.00,79.00,78.50,78.75,7546,594353
20170705,SPOL,Oslo Børs,79.00,79.00,78.75,79.00,44137,3479294
20170704,SPOL,Oslo Børs,78.75,79.00,78.75,78.75,23684,1867759
20170703,SPOL,Oslo Børs,78.75,79.00,78.25,78.75,19630,1545559
20170630,SPOL,Oslo Børs,79.00,79.00,78.25,78.75,16837,1324457
20170629,SPOL,Oslo Børs,78.50,79.00,78.00,78.25,74236,5828601
