quote_date,paper,exch,open,high,low,close,volume,value
20171006,TIL,Oslo Børs,40.40,41.00,39.00,40.20,36520,1460551
20171005,TIL,Oslo Børs,39.50,40.30,39.10,40.30,6705,268668
20171004,TIL,Oslo Børs,39.10,40.50,39.10,40.50,31483,1264151
20171003,TIL,Oslo Børs,40.10,40.40,39.80,39.80,149388,6016581
20171002,TIL,Oslo Børs,39.70,40.50,39.70,40.50,43455,1755299
20170929,TIL,Oslo Børs,40.00,40.70,40.00,40.70,55603,2245034
20170928,TIL,Oslo Børs,40.80,40.80,40.60,40.80,23682,965641
20170927,TIL,Oslo Børs,40.00,41.00,38.60,40.60,94773,3785080
20170926,TIL,Oslo Børs,40.00,40.50,39.00,40.00,26057,1038100
20170925,TIL,Oslo Børs,39.00,42.00,39.00,40.00,48729,1946079
20170922,TIL,Oslo Børs,41.30,41.30,39.70,40.00,18406,735609
20170921,TIL,Oslo Børs,39.50,40.20,39.10,40.20,49799,1970727
20170920,TIL,Oslo Børs,38.40,39.90,38.40,39.50,34761,1371237
20170919,TIL,Oslo Børs,39.90,39.90,37.40,39.40,73589,2874595
20170918,TIL,Oslo Børs,39.00,39.90,38.00,39.90,17196,671268
20170915,TIL,Oslo Børs,35.30,38.30,35.30,38.00,84159,3092234
20170914,TIL,Oslo Børs,34.50,35.50,34.50,35.40,4645,164508
20170913,TIL,Oslo Børs,34.90,35.60,34.90,35.60,4310,151840
20170912,TIL,Oslo Børs,34.70,34.80,34.50,34.80,23715,824653
20170911,TIL,Oslo Børs,34.30,35.30,34.30,34.50,3324,115851
20170908,TIL,Oslo Børs,34.70,34.90,34.40,34.40,5011,173841
20170907,TIL,Oslo Børs,34.00,35.00,34.00,34.80,25165,871878
20170906,TIL,Oslo Børs,35.00,35.00,34.00,34.40,4862,167745
20170905,TIL,Oslo Børs,34.00,34.50,34.00,34.40,7807,267373
20170904,TIL,Oslo Børs,34.60,34.60,33.40,34.00,5158,176313
20170901,TIL,Oslo Børs,36.00,37.00,33.70,34.60,19831,681443
20170831,TIL,Oslo Børs,35.50,35.50,35.00,35.30,23200,818624
20170830,TIL,Oslo Børs,36.00,36.00,35.10,36.00,27379,973980
20170829,TIL,Oslo Børs,37.50,37.50,36.00,36.50,10063,364771
20170828,TIL,Oslo Børs,38.30,38.30,36.50,37.10,8077,298656
20170825,TIL,Oslo Børs,37.00,37.60,36.00,37.60,10641,389611
20170824,TIL,Oslo Børs,36.70,37.90,36.20,37.90,17914,666118
20170823,TIL,Oslo Børs,36.50,38.00,36.10,37.00,15807,581180
20170822,TIL,Oslo Børs,36.00,36.40,35.70,36.30,5810,209967
20170821,TIL,Oslo Børs,37.90,37.90,36.00,37.30,5061,188561
20170818,TIL,Oslo Børs,39.00,39.00,37.70,37.90,4195,159372
20170817,TIL,Oslo Børs,39.00,39.60,39.00,39.60,615,24018
20170816,TIL,Oslo Børs,40.80,40.80,39.00,40.00,17400,694365
20170815,TIL,Oslo Børs,39.40,41.30,39.00,41.30,2281,91738
20170814,TIL,Oslo Børs,39.90,40.60,39.50,40.60,8836,352244
20170811,TIL,Oslo Børs,39.10,39.90,38.30,39.90,7746,300291
20170810,TIL,Oslo Børs,41.00,41.00,39.10,40.00,8488,340026
20170809,TIL,Oslo Børs,41.40,42.00,40.30,42.00,4190,172995
20170808,TIL,Oslo Børs,42.70,42.70,41.20,41.40,1484,61990
20170807,TIL,Oslo Børs,41.60,42.50,41.60,41.90,3436,144789
20170804,TIL,Oslo Børs,42.30,42.30,40.80,42.10,9427,394981
20170803,TIL,Oslo Børs,43.00,43.50,42.20,42.60,6820,291694
20170802,TIL,Oslo Børs,44.00,44.00,42.90,43.20,4642,202497
20170801,TIL,Oslo Børs,44.40,44.40,43.80,44.00,13385,589477
20170731,TIL,Oslo Børs,44.40,44.40,43.70,43.70,16372,720422
20170728,TIL,Oslo Børs,44.50,44.50,43.50,44.20,22554,987905
20170727,TIL,Oslo Børs,42.80,44.50,42.40,44.50,7877,340862
20170726,TIL,Oslo Børs,43.60,44.00,42.50,42.70,9467,405127
20170725,TIL,Oslo Børs,43.20,43.50,42.80,43.10,21775,939842
20170724,TIL,Oslo Børs,43.20,43.70,43.20,43.70,11818,512848
20170721,TIL,Oslo Børs,43.20,43.20,43.20,43.20,924,39916
20170720,TIL,Oslo Børs,43.00,43.90,43.00,43.90,6330,276128
20170719,TIL,Oslo Børs,42.50,44.00,42.50,43.00,8753,376158
20170718,TIL,Oslo Børs,43.30,43.30,42.30,42.50,30601,1317227
20170717,TIL,Oslo Børs,44.60,44.80,43.80,44.20,5106,225043
20170714,TIL,Oslo Børs,44.50,44.80,44.20,44.50,3892,172369
20170713,TIL,Oslo Børs,44.20,44.60,44.00,44.50,17266,764532
20170712,TIL,Oslo Børs,44.00,44.80,44.00,44.80,23698,1056235
20170711,TIL,Oslo Børs,44.10,44.90,44.10,44.70,25173,1118692
20170710,TIL,Oslo Børs,44.90,45.00,44.00,45.00,11718,522187
20170707,TIL,Oslo Børs,46.00,47.00,43.10,45.00,11933,533930
20170706,TIL,Oslo Børs,46.20,46.50,46.20,46.30,12087,560071
20170705,TIL,Oslo Børs,46.10,47.00,46.10,46.80,10953,511373
20170704,TIL,Oslo Børs,46.50,47.40,46.50,46.70,8545,401662
20170703,TIL,Oslo Børs,47.00,47.30,46.80,46.80,8348,392483
20170630,TIL,Oslo Børs,47.10,47.60,47.00,47.00,8683,409754
20170629,TIL,Oslo Børs,46.90,47.90,46.60,47.00,199562,9379118
20170628,TIL,Oslo Børs,44.90,48.70,44.90,48.70,25874,1235356
20170627,TIL,Oslo Børs,46.30,47.30,46.00,47.20,15773,737027
20170626,TIL,Oslo Børs,45.10,46.30,45.00,46.00,13830,633633
20170623,TIL,Oslo Børs,45.00,46.00,44.60,44.70,8932,401767
20170622,TIL,Oslo Børs,45.90,46.20,45.00,45.70,10992,503815
20170621,TIL,Oslo Børs,47.50,47.50,45.60,46.30,8151,378334
