quote_date,paper,exch,open,high,low,close,volume,value
20171006,WEIFA,Oslo Børs,34.90,34.90,34.80,34.80,17597,613576
20171005,WEIFA,Oslo Børs,34.80,34.90,34.80,34.90,9082,316851
20171004,WEIFA,Oslo Børs,34.80,34.90,34.60,34.90,30287,1054939
20171003,WEIFA,Oslo Børs,34.80,34.80,34.80,34.80,5342,185901
20171002,WEIFA,Oslo Børs,34.80,35.00,34.80,34.80,12008,418002
20170929,WEIFA,Oslo Børs,34.80,35.00,34.70,34.80,26589,926518
20170928,WEIFA,Oslo Børs,35.00,35.20,34.90,34.90,116053,4070714
20170927,WEIFA,Oslo Børs,35.00,35.50,35.00,35.10,500545,17542662
20170926,WEIFA,Oslo Børs,34.30,34.80,33.60,34.80,28554,984993
20170925,WEIFA,Oslo Børs,34.30,34.30,34.30,34.30,3867,132638
20170922,WEIFA,Oslo Børs,34.80,34.80,33.60,34.30,97036,3360194
20170921,WEIFA,Oslo Børs,34.90,35.00,34.80,34.80,101672,3543357
20170920,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,127461,4451481
20170919,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,172624,6029350
20170918,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,302966,10586652
20170915,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,173184,6050036
20170914,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,140978,4922260
20170913,WEIFA,Oslo Børs,34.90,35.00,34.90,34.90,156099,5451850
20170912,WEIFA,Oslo Børs,34.90,35.10,34.90,34.90,579349,20273335
20170911,WEIFA,Oslo Børs,34.80,35.00,34.80,34.90,645967,22542507
20170908,WEIFA,Oslo Børs,34.90,34.90,34.80,34.80,200442,6983377
20170907,WEIFA,Oslo Børs,34.90,34.90,34.80,34.90,43680,1523792
20170906,WEIFA,Oslo Børs,34.90,34.90,34.80,34.80,309644,10793974
20170905,WEIFA,Oslo Børs,34.90,34.90,34.80,34.80,254419,8865248
20170904,WEIFA,Oslo Børs,34.80,34.90,34.80,34.80,128088,4463406
20170901,WEIFA,Oslo Børs,34.80,34.90,34.80,34.80,338584,11795816
20170831,WEIFA,Oslo Børs,34.90,34.90,34.80,34.80,405898,14152605
20170830,WEIFA,Oslo Børs,34.80,35.00,34.80,34.80,919441,32068398
20170829,WEIFA,Oslo Børs,34.80,34.90,34.80,34.80,368716,12854127
20170828,WEIFA,Oslo Børs,34.80,34.90,34.80,34.90,160894,5600558
20170825,WEIFA,Oslo Børs,34.90,35.00,34.80,34.80,478331,16671539
20170824,WEIFA,Oslo Børs,34.90,35.00,34.80,34.90,2776106,96875846
20170823,WEIFA,Oslo Børs,32.00,32.00,31.50,31.80,16873,534182
20170822,WEIFA,Oslo Børs,31.80,32.00,31.30,31.50,41979,1331510
20170821,WEIFA,Oslo Børs,31.10,31.80,31.10,31.80,18374,578707
20170818,WEIFA,Oslo Børs,31.50,31.50,31.00,31.00,7494,233776
20170817,WEIFA,Oslo Børs,31.80,31.80,31.10,31.10,34159,1075584
20170816,WEIFA,Oslo Børs,30.60,32.00,30.50,31.50,55611,1734521
20170815,WEIFA,Oslo Børs,30.50,30.60,29.80,30.60,74915,2264196
20170814,WEIFA,Oslo Børs,30.40,30.50,30.20,30.50,19912,606340
20170811,WEIFA,Oslo Børs,30.30,30.60,29.90,30.40,27158,819805
20170810,WEIFA,Oslo Børs,30.20,30.50,30.20,30.50,263545,7985643
20170809,WEIFA,Oslo Børs,30.70,30.80,30.10,30.10,118817,3623166
20170808,WEIFA,Oslo Børs,31.10,31.20,30.80,30.90,48511,1502076
20170807,WEIFA,Oslo Børs,30.50,31.10,30.50,31.10,115633,3566325
20170804,WEIFA,Oslo Børs,30.80,30.90,30.60,30.80,17255,530398
20170803,WEIFA,Oslo Børs,30.50,30.80,30.50,30.80,29848,913751
20170802,WEIFA,Oslo Børs,30.20,30.50,30.10,30.40,28715,868810
20170801,WEIFA,Oslo Børs,30.30,30.30,30.00,30.20,12908,388928
20170731,WEIFA,Oslo Børs,30.40,30.40,30.00,30.00,33549,1011097
20170728,WEIFA,Oslo Børs,30.10,30.40,30.00,30.40,14678,444951
20170727,WEIFA,Oslo Børs,30.70,30.70,28.00,30.10,57445,1697813
20170726,WEIFA,Oslo Børs,30.80,30.80,30.20,30.20,31682,970893
20170725,WEIFA,Oslo Børs,30.60,30.90,30.30,30.80,31170,955496
20170724,WEIFA,Oslo Børs,30.10,30.60,29.80,30.60,35336,1066305
20170721,WEIFA,Oslo Børs,30.40,30.60,30.10,30.40,15389,467685
20170720,WEIFA,Oslo Børs,30.40,30.60,30.40,30.60,37673,1150213
20170719,WEIFA,Oslo Børs,30.50,30.50,30.20,30.40,34509,1045817
20170718,WEIFA,Oslo Børs,30.00,30.50,30.00,30.20,35697,1078912
20170717,WEIFA,Oslo Børs,30.40,30.50,29.80,30.20,77660,2341700
20170714,WEIFA,Oslo Børs,28.80,29.60,28.00,29.60,137644,3954957
20170713,WEIFA,Oslo Børs,28.80,28.80,28.30,28.30,42813,1219429
20170712,WEIFA,Oslo Børs,28.20,28.30,27.70,27.80,24073,671650
20170711,WEIFA,Oslo Børs,28.50,28.50,27.80,27.80,30075,843176
20170710,WEIFA,Oslo Børs,27.90,28.40,27.60,28.40,14329,399089
20170707,WEIFA,Oslo Børs,28.50,28.50,27.90,27.90,36410,1030880
20170706,WEIFA,Oslo Børs,28.70,28.80,28.50,28.60,45194,1294365
20170705,WEIFA,Oslo Børs,28.20,28.80,28.10,28.70,15299,434348
20170704,WEIFA,Oslo Børs,28.30,28.60,28.10,28.30,29641,838239
20170703,WEIFA,Oslo Børs,28.20,28.70,28.20,28.20,14231,404078
20170630,WEIFA,Oslo Børs,28.90,29.00,28.20,28.50,31191,887754
20170629,WEIFA,Oslo Børs,29.50,29.50,28.40,28.40,41706,1208674
20170628,WEIFA,Oslo Børs,28.70,29.10,28.30,29.10,62924,1810129
20170627,WEIFA,Oslo Børs,28.60,28.60,27.90,28.40,38605,1091485
20170626,WEIFA,Oslo Børs,27.90,28.70,27.90,28.30,79278,2251057
20170623,WEIFA,Oslo Børs,27.40,27.90,27.40,27.90,72224,2002871
20170622,WEIFA,Oslo Børs,27.40,27.40,27.10,27.40,17455,477263
20170621,WEIFA,Oslo Børs,27.00,27.50,26.50,27.50,21725,586490
20170620,WEIFA,Oslo Børs,26.70,27.80,26.10,26.90,73541,1990562
20170619,WEIFA,Oslo Børs,26.80,26.80,26.10,26.70,102434,2717476
20170616,WEIFA,Oslo Børs,25.40,26.70,25.20,26.70,318470,8302871
20170615,WEIFA,Oslo Børs,25.20,25.50,25.00,25.50,36213,912739
20170614,WEIFA,Oslo Børs,25.10,25.20,24.90,25.20,18538,464547
20170613,WEIFA,Oslo Børs,24.90,25.10,24.80,25.00,333999,8322483
