quote_date,paper,exch,open,high,low,close,volume,value
20171012,WRL,Oslo Børs,2.74,2.76,2.65,2.65,387251,1040949
20171011,WRL,Oslo Børs,2.70,2.78,2.69,2.75,127564,348679
20171010,WRL,Oslo Børs,2.67,2.70,2.65,2.68,92031,246817
20171009,WRL,Oslo Børs,2.70,2.75,2.67,2.67,37752,101915
20171006,WRL,Oslo Børs,2.58,2.75,2.57,2.74,383374,1030520
20171005,WRL,Oslo Børs,2.60,2.69,2.54,2.63,398256,1044526
20171004,WRL,Oslo Børs,2.70,2.70,2.57,2.64,290807,760829
20171003,WRL,Oslo Børs,2.71,2.79,2.65,2.70,529797,1430384
20171002,WRL,Oslo Børs,2.87,2.88,2.71,2.71,441419,1230096
20170929,WRL,Oslo Børs,2.86,2.97,2.84,2.88,237419,691425
20170928,WRL,Oslo Børs,3.03,3.03,2.83,2.90,220311,645462
20170927,WRL,Oslo Børs,2.99,3.17,2.94,3.04,1257939,3839324
20170926,WRL,Oslo Børs,2.79,2.95,2.75,2.95,1136530,3251062
20170925,WRL,Oslo Børs,2.65,2.77,2.65,2.75,1280242,3471304
20170922,WRL,Oslo Børs,2.43,2.67,2.42,2.63,1017194,2606487
20170921,WRL,Oslo Børs,2.37,2.45,2.37,2.43,245946,593592
20170920,WRL,Oslo Børs,2.41,2.43,2.35,2.37,419125,1001125
20170919,WRL,Oslo Børs,2.40,2.43,2.30,2.42,586805,1375424
20170918,WRL,Oslo Børs,2.34,2.48,2.34,2.40,901762,2184753
20170915,WRL,Oslo Børs,2.19,2.36,2.19,2.28,810755,1833159
20170914,WRL,Oslo Børs,2.17,2.20,2.17,2.19,109949,239752
20170913,WRL,Oslo Børs,2.25,2.25,2.17,2.18,125140,275712
20170912,WRL,Oslo Børs,2.17,2.21,2.17,2.21,80118,174626
20170911,WRL,Oslo Børs,2.19,2.19,2.16,2.19,76200,166181
20170908,WRL,Oslo Børs,2.20,2.26,2.20,2.20,195827,437093
20170907,WRL,Oslo Børs,2.20,2.20,2.17,2.20,118630,259944
20170906,WRL,Oslo Børs,2.19,2.20,2.18,2.20,55205,120431
20170905,WRL,Oslo Børs,2.20,2.20,2.13,2.18,310198,671297
20170904,WRL,Oslo Børs,2.17,2.17,2.14,2.17,98059,211002
20170901,WRL,Oslo Børs,2.18,2.23,2.14,2.20,235368,516901
20170831,WRL,Oslo Børs,2.16,2.19,2.12,2.18,82851,176927
20170830,WRL,Oslo Børs,2.13,2.20,2.11,2.16,153696,328154
20170829,WRL,Oslo Børs,2.14,2.14,2.12,2.14,102243,217902
20170828,WRL,Oslo Børs,2.15,2.20,2.12,2.12,304384,661715
20170825,WRL,Oslo Børs,2.15,2.18,2.13,2.17,225183,484075
20170824,WRL,Oslo Børs,2.19,2.20,2.15,2.17,87770,189783
20170823,WRL,Oslo Børs,2.17,2.20,2.16,2.20,117942,257734
20170822,WRL,Oslo Børs,2.22,2.22,2.16,2.16,77200,168446
20170821,WRL,Oslo Børs,2.18,2.22,2.18,2.22,66200,144589
20170818,WRL,Oslo Børs,2.19,2.20,2.18,2.20,127508,279640
20170817,WRL,Oslo Børs,2.24,2.26,2.17,2.19,603799,1329428
20170816,WRL,Oslo Børs,2.24,2.24,2.18,2.24,609385,1342396
20170815,WRL,Oslo Børs,2.23,2.26,2.19,2.26,267494,590743
20170814,WRL,Oslo Børs,2.22,2.26,2.22,2.25,97954,217990
20170811,WRL,Oslo Børs,2.22,2.28,2.22,2.22,162283,364069
20170810,WRL,Oslo Børs,2.18,2.28,2.16,2.25,458386,1017986
20170809,WRL,Oslo Børs,2.24,2.27,2.22,2.27,115401,258855
20170808,WRL,Oslo Børs,2.26,2.26,2.21,2.25,107559,241973
20170807,WRL,Oslo Børs,2.27,2.29,2.20,2.22,71893,159923
20170804,WRL,Oslo Børs,2.28,2.29,2.25,2.27,96675,218353
20170803,WRL,Oslo Børs,2.25,2.28,2.25,2.28,35200,79207
20170802,WRL,Oslo Børs,2.29,2.29,2.25,2.28,44521,101359
20170801,WRL,Oslo Børs,2.30,2.30,2.27,2.30,41576,95433
20170731,WRL,Oslo Børs,2.30,2.32,2.27,2.30,357813,814248
20170728,WRL,Oslo Børs,2.19,2.29,2.19,2.27,142480,319433
20170727,WRL,Oslo Børs,2.17,2.20,2.16,2.19,82352,180022
20170726,WRL,Oslo Børs,2.20,2.21,2.15,2.17,202355,442015
20170725,WRL,Oslo Børs,2.20,2.25,2.11,2.21,324624,704417
