quote_date,paper,exch,open,high,low,close,volume,value
20171011,ZAL,Oslo Børs,46.40,47.00,46.40,47.00,1507,70817
20171010,ZAL,Oslo Børs,46.90,47.00,46.80,46.80,5544,260495
20171009,ZAL,Oslo Børs,47.00,47.00,46.90,46.90,6052,284422
20171006,ZAL,Oslo Børs,47.70,47.70,47.00,47.00,288,13567
20171005,ZAL,Oslo Børs,48.50,48.50,47.30,47.30,3440,164309
20171004,ZAL,Oslo Børs,48.00,48.50,48.00,48.50,6433,310939
20171003,ZAL,Oslo Børs,48.50,48.50,47.90,47.90,9308,451225
20171002,ZAL,Oslo Børs,48.40,48.80,48.00,48.20,58113,2814889
20170929,ZAL,Oslo Børs,48.00,48.50,47.90,48.40,8010,384116
20170928,ZAL,Oslo Børs,48.00,48.00,46.00,47.70,26955,1275752
20170927,ZAL,Oslo Børs,48.90,48.90,47.70,47.70,9863,475825
20170926,ZAL,Oslo Børs,49.50,49.50,48.40,48.40,18118,888101
20170925,ZAL,Oslo Børs,47.00,49.50,47.00,49.50,28946,1416637
20170922,ZAL,Oslo Børs,46.50,47.50,46.50,47.00,3305,156210
20170921,ZAL,Oslo Børs,45.00,46.50,45.00,46.50,33017,1518391
20170920,ZAL,Oslo Børs,44.00,45.00,43.40,45.00,40242,1771462
20170919,ZAL,Oslo Børs,45.00,45.00,43.50,43.50,32378,1426500
20170918,ZAL,Oslo Børs,43.90,45.00,43.90,44.40,9498,422622
20170915,ZAL,Oslo Børs,42.80,43.50,42.70,43.40,15123,649537
20170914,ZAL,Oslo Børs,42.40,43.30,42.40,42.70,22439,957242
20170913,ZAL,Oslo Børs,43.50,43.50,42.60,42.70,5271,226542
20170912,ZAL,Oslo Børs,42.50,43.00,42.50,43.00,674892,28751689
20170911,ZAL,Oslo Børs,43.10,44.00,42.40,42.40,33270,1433130
20170908,ZAL,Oslo Børs,45.50,45.50,43.40,43.50,4581,199784
20170907,ZAL,Oslo Børs,44.90,44.90,43.90,43.90,4629,204055
20170906,ZAL,Oslo Børs,45.80,45.80,45.20,45.20,2251,102009
20170905,ZAL,Oslo Børs,44.00,45.90,44.00,44.60,13681,605012
20170904,ZAL,Oslo Børs,46.00,46.00,44.60,44.60,54340,2453019
20170901,ZAL,Oslo Børs,41.80,47.00,41.80,46.00,2641,114224
20170831,ZAL,Oslo Børs,45.60,46.20,45.00,45.00,5404,246026
20170830,ZAL,Oslo Børs,46.00,46.00,45.70,45.70,485,22300
20170829,ZAL,Oslo Børs,46.00,46.00,45.60,46.00,590,27126
20170828,ZAL,Oslo Børs,46.40,46.80,46.40,46.80,12067,561647
20170825,ZAL,Oslo Børs,46.50,46.80,46.50,46.80,33517,1559227
20170824,ZAL,Oslo Børs,46.50,46.50,45.90,46.40,3537,163365
20170823,ZAL,Oslo Børs,46.00,46.90,46.00,46.40,9668,449471
20170822,ZAL,Oslo Børs,46.10,46.10,46.10,46.10,170,7837
20170821,ZAL,Oslo Børs,47.00,47.00,46.00,46.10,4422,204134
20170818,ZAL,Oslo Børs,47.10,47.10,46.60,47.00,10012,468240
20170817,ZAL,Oslo Børs,48.90,48.90,47.00,47.10,13782,652096
20170816,ZAL,Oslo Børs,48.00,50.00,43.00,48.90,289774,13279960
20170815,ZAL,Oslo Børs,50.00,50.00,49.80,49.80,1410,70498
20170814,ZAL,Oslo Børs,49.00,49.80,49.00,49.80,9269,455299
20170811,ZAL,Oslo Børs,50.00,50.25,49.00,49.00,57577,2847715
20170810,ZAL,Oslo Børs,50.25,52.00,49.50,49.50,3982,200067
20170809,ZAL,Oslo Børs,50.50,51.75,49.10,49.70,4406,221024
20170808,ZAL,Oslo Børs,51.00,52.00,50.50,50.50,9994,517420
20170807,ZAL,Oslo Børs,49.50,50.50,49.50,50.50,103903,5196101
20170804,ZAL,Oslo Børs,50.00,50.50,50.00,50.50,16427,827919
20170803,ZAL,Oslo Børs,49.00,50.00,49.00,50.00,51947,2590568
20170802,ZAL,Oslo Børs,47.50,49.50,47.50,49.50,10533,510250
20170801,ZAL,Oslo Børs,47.60,48.40,47.60,48.40,475,22670
20170731,ZAL,Oslo Børs,48.00,48.00,46.70,47.00,3548,167415
20170728,ZAL,Oslo Børs,44.40,47.00,44.00,47.00,7032,317193
20170727,ZAL,Oslo Børs,43.70,44.50,43.00,44.50,1092,48074
20170726,ZAL,Oslo Børs,43.10,44.10,43.00,44.10,12018,522898
20170725,ZAL,Oslo Børs,44.00,44.00,43.20,43.50,15718,683705
20170724,ZAL,Oslo Børs,45.10,45.10,44.00,44.00,7307,324768
20170721,ZAL,Oslo Børs,46.80,46.80,45.10,45.10,27900,1270849
20170720,ZAL,Oslo Børs,48.10,48.10,46.80,47.10,13579,641835
20170719,ZAL,Oslo Børs,47.50,48.00,47.30,48.00,7882,376353
20170718,ZAL,Oslo Børs,48.40,48.40,46.60,47.50,9570,454905
20170717,ZAL,Oslo Børs,49.20,49.20,48.40,48.40,8628,421423
20170714,ZAL,Oslo Børs,50.00,50.00,49.00,49.00,3708,182958
20170713,ZAL,Oslo Børs,50.00,50.00,50.00,50.00,2053,102650
20170712,ZAL,Oslo Børs,50.00,50.25,50.00,50.00,1675,83775
20170711,ZAL,Oslo Børs,49.50,49.80,48.50,48.60,4251,207993
20170710,ZAL,Oslo Børs,50.25,50.50,50.25,50.25,900,45240
20170707,ZAL,Oslo Børs,50.50,50.50,49.60,50.25,715,35933
20170706,ZAL,Oslo Børs,50.50,51.00,50.00,50.25,9938,503275
20170705,ZAL,Oslo Børs,49.90,51.00,49.90,51.00,7059,355807
20170704,ZAL,Oslo Børs,51.00,51.50,49.20,50.00,4416,220535
20170703,ZAL,Oslo Børs,52.00,52.25,51.00,51.00,12032,625124
20170630,ZAL,Oslo Børs,50.00,52.00,50.00,52.00,22434,1141657
20170629,ZAL,Oslo Børs,50.00,51.00,50.00,51.00,21498,1096358
20170628,ZAL,Oslo Børs,51.75,51.75,49.50,49.80,196482,9829855
20170627,ZAL,Oslo Børs,51.00,51.50,49.80,51.00,43071,2202104
20170626,ZAL,Oslo Børs,51.50,51.50,48.70,48.80,7642,384069
20170623,ZAL,Oslo Børs,51.25,51.50,50.50,51.50,2250,115832
20170622,ZAL,Oslo Børs,51.00,51.50,50.75,51.50,13409,686895
20170621,ZAL,Oslo Børs,50.25,51.00,50.25,51.00,14596,739933
20170620,ZAL,Oslo Børs,50.50,51.00,50.25,51.00,4928,250370
20170619,ZAL,Oslo Børs,50.00,51.00,50.00,50.50,14754,740048
