DATA IS FROM 06.12.2017.

Software has been developed by Fredrik Bakken.
 
Email:   fredrik.bakken(at)gmail.com
Website: https://www.fredrikbakken.no/
Github:  https://www.github.com/FredrikBakken

Thank you for trying out this free stock rating software.
+---------------+------------+-----------+------------------+----------------+------------------------------+-------------------+-----------------+
| Loss / Profit |   Ticker   | Total (%) | From stock value | To stock value | Total dividend (After split) | Dividend to start | Dividend to end |
+---------------+------------+-----------+------------------+----------------+------------------------------+-------------------+-----------------+
|     PROFIT    |    AFG     | 2347.013% |       7.50       |     127.50     |           48.53 kr           |      647.013%     |     38.060%     |
|     PROFIT    |    NOD     | 2345.238% |       1.68       |     38.80      |           0.60 kr            |      35.714%      |      1.546%     |
|     PROFIT    |    ITE     | 2001.913% |       0.45       |      6.22      |           2.76 kr            |      615.287%     |     44.373%     |
|     PROFIT    |    AEGA    | 1719.518% |       2.80       |      0.94      |           47.21 kr           |     1685.946%     |    5021.968%    |
|     PROFIT    |    LSG     | 1711.562% |       3.20       |     45.73      |           9.04 kr            |      282.500%     |     19.768%     |
|     PROFIT    |    HEX     | 1339.806% |       2.06       |     26.20      |           1.40 kr            |      67.961%      |      5.344%     |
|     PROFIT    |    BMA     | 1253.000% |      10.00       |     90.50      |           34.80 kr           |      348.000%     |     38.453%     |
|     PROFIT    |   BAKKA    | 1055.373% |      34.40       |     316.60     |           46.45 kr           |      135.024%     |     14.671%     |
|     PROFIT    |    ASC     |  982.632% |       1.90       |      5.67      |           13.00 kr           |      684.211%     |     229.277%    |
|     PROFIT    |    KOG     |  968.774% |      19.38       |     145.50     |           42.20 kr           |      217.806%     |     29.003%     |
|     PROFIT    |    OLT     |  894.950% |      20.00       |     158.00     |           20.99 kr           |      104.950%     |     13.285%     |
|     PROFIT    |    YAR     |  893.333% |      51.00       |     362.00     |           93.60 kr           |      183.529%     |     25.856%     |
|     PROFIT    |    AFK     |  870.727% |      550.00      |    3525.00     |          1264.00 kr          |      229.818%     |     35.858%     |
|     PROFIT    |    TGS     |  846.714% |      28.75       |     202.00     |           41.43 kr           |      144.105%     |     20.510%     |
|     PROFIT    |    MEDI    |  839.320% |      10.30       |     75.50      |           10.95 kr           |      106.311%     |     14.503%     |
|     PROFIT    |    AKER    |  822.222% |      63.00       |     365.00     |          153.00 kr           |      242.857%     |     41.918%     |
|     PROFIT    |    SALM    |  758.974% |      39.00       |     247.90     |           48.10 kr           |      123.333%     |     19.403%     |
|     PROFIT    |    NRS     |  707.385% |      21.80       |     136.50     |           17.71 kr           |      81.239%      |     12.974%     |
|     PROFIT    |   PROTCT   |  658.667% |      15.00       |     87.50      |           11.30 kr           |      75.333%      |     12.914%     |
|     PROFIT    |    LINK    |  649.718% |      17.70       |     115.00     |              -               |       0.000%      |      0.000%     |
|     PROFIT    |    DNO     |  636.299% |       1.76       |      9.30      |           1.88 kr            |      106.762%     |     20.161%     |
|     PROFIT    |    TEL     |  612.750% |      40.00       |     186.70     |           58.40 kr           |      146.000%     |     31.280%     |
|     PROFIT    |    NAS     |  587.078% |      29.57       |     173.60     |              -               |       0.000%      |      0.000%     |
|     PROFIT    |    WWI     |  508.487% |      67.75       |     246.00     |           98.50 kr           |      145.387%     |     40.041%     |
|     PROFIT    |    NOFI    |  501.429% |      17.50       |     87.75      |              -               |       0.000%      |      0.000%     |
|     PROFIT    |    VEI     |  497.233% |      26.20       |     86.25      |           44.02 kr           |      168.034%     |     51.043%     |
|     PROFIT    |    DNB     |  477.389% |      42.90       |     149.60     |           55.20 kr           |      128.671%     |     36.898%     |
|     PROFIT    |    NEL     |  468.056% |       0.72       |      3.37      |              -               |       0.000%      |      0.000%     |
